Name of Issuer,CUSIP,Value,Shares
AECOM,00766T100,130753,3952635
AECOM,00766T100,27259,824025
AECOM,00766T100,57455,1736844
AERCAP HOLDINGS NV,N00985106,152037,3320300
AERCAP HOLDINGS NV,N00985106,32726,714700
AERCAP HOLDINGS NV,N00985106,67829,1481300
AERCAP HOLDINGS NV,N00985106,2999,65500
APPLE INC,037833100,606149,4832759
APPLE INC,037833100,64001,510272
APPLE INC,037833100,248768,1983400
APPLE INC,037833100,7041,56140
APPLIED MATLS INC,038222105,92402,4807600
APPLIED MATLS INC,038222105,19745,1027300
APPLIED MATLS INC,038222105,41613,2165100
BANK NEW YORK MELLON CORP,064058100,100887,2403800
BANK NEW YORK MELLON CORP,064058100,21556,513600
BANK NEW YORK MELLON CORP,064058100,45437,1082600
CHICAGO BRIDGE & IRON CO N V,167250109,202089,4038557
CHICAGO BRIDGE & IRON CO N V,167250109,43185,863000
CHICAGO BRIDGE & IRON CO N V,167250109,91168,1821900
CITIZENS FINL GROUP INC,174610105,207176,7586100
CITIZENS FINL GROUP INC,174610105,42691,1563200
CITIZENS FINL GROUP INC,174610105,93113,3409500
CONSOL ENERGY INC,20854P109,296640,13644886
CONSOL ENERGY INC,20854P109,63679,2929100
CONSOL ENERGY INC,20854P109,133429,6137500
CONSOL ENERGY INC,20854P109,2804,129000
DILLARDS INC,254067101,23699,225300
DILLARDS INC,254067101,5081,48300
DILLARDS INC,254067101,10666,101400
FIFTH STR ASSET MGMT INC,31679P109,3978,387000
FIFTH STR ASSET MGMT INC,31679P109,885,86100
FIFTH STR ASSET MGMT INC,31679P109,1294,125900
GENERAL MTRS CO,37045V100,293349,8801363
GENERAL MTRS CO,37045V100,62680,1880600
GENERAL MTRS CO,37045V100,132113,3963800
GREEN BRICK PARTNERS INC,392709101,188250,17191821
GREEN BRICK PARTNERS INC,392709101,37961,3466793
GREEN BRICK PARTNERS INC,392709101,37888,3460054
HALYARD HEALTH INC,40650V100,3100,76532
HALYARD HEALTH INC,40650V100,660,16300
HALYARD HEALTH INC,40650V100,1405,34700
HERTZ GLOBAL HOLDINGS INC,42805T105,58787,3244300
HERTZ GLOBAL HOLDINGS INC,42805T105,12619,696400
HERTZ GLOBAL HOLDINGS INC,42805T105,26443,1459300
IAC INTERACTIVECORP,44919P508,76499,960313
IAC INTERACTIVECORP,44919P508,16408,205981
IAC INTERACTIVECORP,44919P508,34421,432096
INGRAM MICRO INC,457153104,18192,726804
INGRAM MICRO INC,457153104,3877,154900
INGRAM MICRO INC,457153104,8172,326500
KAPSTONE PAPER & PACKAGING C,48562P103,13054,564598
KAPSTONE PAPER & PACKAGING C,48562P103,2791,120700
KAPSTONE PAPER & PACKAGING C,48562P103,5889,254700
LAM RESEARCH CORP,512807108,81041,996200
LAM RESEARCH CORP,512807108,15945,196000
LAM RESEARCH CORP,512807108,36160,444500
LIBERTY GLOBAL PLC,G5480U104,40145,742467
LIBERTY GLOBAL PLC,G5480U104,5391,99709
LIBERTY GLOBAL PLC,G5480U104,17640,326242
LIBERTY GLOBAL PLC,G5480U120,93731,1851303
LIBERTY GLOBAL PLC,G5480U120,22497,444347
LIBERTY GLOBAL PLC,G5480U120,41184,813430
MACYS INC,55616P104,41359,613000
MACYS INC,55616P104,8812,130600
MACYS INC,55616P104,18595,275600
MARKET VECTORS ETF TR,57060U100,91838,5171080
MARKET VECTORS ETF TR,57060U100,19082,1074450
MARKET VECTORS ETF TR,57060U100,40355,2272266
MICHAEL KORS HLDGS LTD,G60754101,91537,2174800
MICHAEL KORS HLDGS LTD,G60754101,19652,466900
MICHAEL KORS HLDGS LTD,G60754101,41177,978300
MICRON TECHNOLOGY INC,595112103,428014,22718346
MICRON TECHNOLOGY INC,595112103,91883,4877000
MICRON TECHNOLOGY INC,595112103,192526,10219000
MICRON TECHNOLOGY INC,595112103,2547,135200
NORTHSTAR ASSET MGMT GROUP I,66705Y104,33952,1836224
NORTHSTAR ASSET MGMT GROUP I,66705Y104,7270,393200
NORTHSTAR ASSET MGMT GROUP I,66705Y104,15255,825050
OIL STS INTL INC,678026105,6729,180728
OIL STS INTL INC,678026105,819,22000
OIL STS INTL INC,678026105,2319,62300
ON SEMICONDUCTOR CORP,682189105,123434,10558900
ON SEMICONDUCTOR CORP,682189105,24631,2107000
ON SEMICONDUCTOR CORP,682189105,54238,4639700
OWENS ILL INC,690768403,59665,2600933
OWENS ILL INC,690768403,12810,558400
OWENS ILL INC,690768403,26842,1170100
SANTANDER CONSUMER USA HDG I,80283M101,33368,1304951
SANTANDER CONSUMER USA HDG I,80283M101,7108,278000
SANTANDER CONSUMER USA HDG I,80283M101,15068,589300
SCIENTIFIC GAMES CORP,80874P109,19023,1224100
SCIENTIFIC GAMES CORP,80874P109,4053,260800
SCIENTIFIC GAMES CORP,80874P109,8549,550100
SPIRIT AEROSYSTEMS HLDGS INC,848574109,74067,1343985
SPIRIT AEROSYSTEMS HLDGS INC,848574109,11143,202200
SPIRIT AEROSYSTEMS HLDGS INC,848574109,32542,590500
SUNEDISON INC,86732Y109,441794,14770788
