Name of Issuer,CUSIP,Value,Shares
ADIENT PLC,G0084W101,7771,599600
ADIENT PLC,G0084W101,11948,921913
ADIENT PLC,G0084W101,5972,460779
AERCAP HOLDINGS NV,N00985106,46465,998392
AERCAP HOLDINGS NV,N00985106,58047,1247243
AERCAP HOLDINGS NV,N00985106,89238,1917443
ALTICE USA INC,02156K103,19865,924800
ALTICE USA INC,02156K103,26983,1256200
ALTICE USA INC,02156K103,41489,1931540
BRIGHTHOUSE FINL INC,10922N103,26559,731863
BRIGHTHOUSE FINL INC,10922N103,37698,1038800
BRIGHTHOUSE FINL INC,10922N103,1390,38300
BRIGHTHOUSE FINL INC,10922N103,53846,1483756
CNX RESOURCES CORPORATION,12653C108,15276,1418365
CNX RESOURCES CORPORATION,12653C108,26233,2435729
CNX RESOURCES CORPORATION,12653C108,20662,1918506
CNX RESOURCES CORPORATION,12653C108,188,17500
CONSOL COAL RES LP,20855T100,12710,719300
CONSOL COAL RES LP,20855T100,31905,1805600
CONSOL COAL RES LP,20855T100,52366,2963538
CONSOL ENERGY INC NEW,20854L108,2642,77200
CONSOL ENERGY INC NEW,20854L108,4425,129300
CONSOL ENERGY INC NEW,20854L108,4568,133500
ECHOSTAR CORP,278768106,6594,180900
ECHOSTAR CORP,278768106,5792,158900
ECHOSTAR CORP,278768106,9484,260200
ENSCO PLC,G3157S106,25951,6603300
ENSCO PLC,G3157S106,16594,4222400
ENSCO PLC,G3157S106,16877,4294300
EXELA TECHNOLOGIES INC,30162V102,8410,2518107
EXELA TECHNOLOGIES INC,30162V102,13776,4124621
EXELA TECHNOLOGIES INC,30162V102,4610,1380200
GENERAL MTRS CO,37045V100,95089,2563039
GENERAL MTRS CO,37045V100,92613,2496302
GENERAL MTRS CO,37045V100,1603,43200
GENERAL MTRS CO,37045V100,149001,4016200
GREEN BRICK PARTNERS INC,392709101,30334,3466793
GREEN BRICK PARTNERS INC,392709101,68417,7819054
GREEN BRICK PARTNERS INC,392709101,112287,12832821
HILTON GRAND VACATIONS INC,43283X105,16227,526000
HILTON GRAND VACATIONS INC,43283X105,7771,251900
HILTON GRAND VACATIONS INC,43283X105,10554,342100
MEDICINES CO,584688105,12723,455200
MEDICINES CO,584688105,6071,217200
MEDICINES CO,584688105,7725,276400
SEADRILL LTD,G7998G106,1954,235091
SEADRILL LTD,G7998G106,2515,302700
SEADRILL LTD,G7998G106,4230,509009
TEEKAY LNG PARTNERS L P,Y8564M105,2254,150700
TEEKAY LNG PARTNERS L P,Y8564M105,1981,132400
TEEKAY LNG PARTNERS L P,Y8564M105,3245,216900
TEMPUR SEALY INTL INC,88023U101,10807,187400
TEMPUR SEALY INTL INC,88023U101,10421,180700
TEMPUR SEALY INTL INC,88023U101,16801,291325
VOYA FINL INC,929089100,16247,325205
VOYA FINL INC,929089100,10507,210300
VOYA FINL INC,929089100,10039,200941
