Name of Issuer,CUSIP,Value,Shares
AECOM,00766T100,59273,1925067
AECOM,00766T100,13068,424425
AECOM,00766T100,27256,885214
AERCAP HOLDINGS NV,N00985106,199449,5145754
AERCAP HOLDINGS NV,N00985106,47415,1223300
AERCAP HOLDINGS NV,N00985106,95548,2465126
AERCAP HOLDINGS NV,N00985106,8024,207030
ALLERGAN PLC,G0177J108,70304,262300
ALLERGAN PLC,G0177J108,14420,53800
ALLERGAN PLC,G0177J108,32458,121100
AMERICAN CAPITAL AGENCY CORP,02503X105,52706,2829100
AMERICAN CAPITAL AGENCY CORP,02503X105,12467,669200
AMERICAN CAPITAL AGENCY CORP,02503X105,24251,1301700
APPLE INC,037833100,530424,4866724
APPLE INC,037833100,111592,1023876
APPLE INC,037833100,247612,2271880
APPLE INC,037833100,5511,50560
AVANGRID INC,05351W103,81768,2038600
AVANGRID INC,05351W103,19441,484700
AVANGRID INC,05351W103,39175,976700
BAXTER INTL INC,071813109,28960,704963
BAXTER INTL INC,071813109,6860,167000
BAXTER INTL INC,071813109,13421,326700
CHEMOURS CO,163851108,36597,5228100
CHEMOURS CO,163851108,8607,1229500
CHEMOURS CO,163851108,16695,2385000
CIGNA CORPORATION,125509109,35202,256500
CIGNA CORPORATION,125509109,8317,60600
CIGNA CORPORATION,125509109,16181,117900
CNX COAL RES LP,12592V100,23325,3248638
CNX COAL RES LP,12592V100,5165,719300
CNX COAL RES LP,12592V100,10917,1520500
COMMUNITY HEALTH SYS INC NEW,203668108,12128,655232
COMMUNITY HEALTH SYS INC NEW,203668108,2867,154900
COMMUNITY HEALTH SYS INC NEW,203668108,5790,312800
CONSOL ENERGY INC,20854P109,197007,17449716
CONSOL ENERGY INC,20854P109,43621,3863700
CONSOL ENERGY INC,20854P109,92207,8167149
CONSOL ENERGY INC,20854P109,1456,129000
DILLARDS INC,254067101,76113,896394
DILLARDS INC,254067101,17984,211800
DILLARDS INC,254067101,36333,427900
DILLARDS INC,254067101,2813,33130
DSW INC,23334L102,57453,2078600
DSW INC,23334L102,12734,460700
DSW INC,23334L102,26554,960700
E M C CORP MASS,268648102,38874,1458700
E M C CORP MASS,268648102,9197,345100
E M C CORP MASS,268648102,17887,671200
GENERAL MTRS CO,37045V100,279732,8900164
GENERAL MTRS CO,37045V100,64793,2061500
GENERAL MTRS CO,37045V100,134008,4263702
GENERAL MTRS CO,37045V100,2235,71100
GLOBALSTAR INC,378973408,9649,6563615
GLOBALSTAR INC,378973408,2293,1560200
GLOBALSTAR INC,378973408,4616,3139900
GREEN BRICK PARTNERS INC,392709101,130486,17191821
GREEN BRICK PARTNERS INC,392709101,26313,3466793
GREEN BRICK PARTNERS INC,392709101,26262,3460054
HATTERAS FINL CORP,41902R103,52392,3663800
HATTERAS FINL CORP,41902R103,12455,871000
HATTERAS FINL CORP,41902R103,25099,1755200
HUMANA INC,444859102,42170,230500
HUMANA INC,444859102,8654,47300
HUMANA INC,444859102,19484,106500
IAC INTERACTIVECORP,44919P508,32749,695602
IAC INTERACTIVECORP,44919P508,5720,121500
IAC INTERACTIVECORP,44919P508,15635,332096
IAC INTERACTIVECORP,44919P508,572,12150
INGRAM MICRO INC,457153104,26100,726804
INGRAM MICRO INC,457153104,11725,326500
LAMAR ADVERTISING CO NEW,512816109,5312,86372
LAMAR ADVERTISING CO NEW,512816109,1255,20400
LAMAR ADVERTISING CO NEW,512816109,2540,41300
LIBERTY GLOBAL PLC,G5480U104,30110,782065
LIBERTY GLOBAL PLC,G5480U104,3839,99709
LIBERTY GLOBAL PLC,G5480U104,13908,361244
LIBERTY GLOBAL PLC,G5480U120,73239,1949918
LIBERTY GLOBAL PLC,G5480U120,16690,444347
LIBERTY GLOBAL PLC,G5480U120,33823,900515
MACYS INC,55616P104,188436,4273900
MACYS INC,55616P104,32807,744100
MACYS INC,55616P104,87025,1973800
MACYS INC,55616P104,2848,64600
MARKET VECTORS ETF TR,57060U100,101087,5061935
MARKET VECTORS ETF TR,57060U100,16794,840950
