Name of Issuer,CUSIP,Value,Shares
AECOM TECHNOLOGY CORP DELAWA,00766T100,120042,3952635
AECOM TECHNOLOGY CORP DELAWA,00766T100,29268,963725
AECOM TECHNOLOGY CORP DELAWA,00766T100,52748,1736844
AERCAP HOLDINGS NV,N00985106,85650,2206339
AERCAP HOLDINGS NV,N00985106,19488,502000
AERCAP HOLDINGS NV,N00985106,37609,968800
AERCAP HOLDINGS NV,N00985106,2543,65500
AETNA INC NEW,00817Y108,72691,818311
AETNA INC NEW,00817Y108,15290,172130
AETNA INC NEW,00817Y108,31900,359110
AMDOCS LTD,G02602103,36422,780745
AMDOCS LTD,G02602103,8322,178400
AMDOCS LTD,G02602103,16006,343100
APPLE INC,037833100,620210,5618859
APPLE INC,037833100,65714,595343
APPLE INC,037833100,256324,2322200
APPLE INC,037833100,7632,69140
CALIFORNIA RES CORP,13057Q107,6577,1193622
CALIFORNIA RES CORP,13057Q107,1385,251300
CALIFORNIA RES CORP,13057Q107,2886,523800
CHICAGO BRIDGE & IRON CO N V,167250109,74855,1783100
CHICAGO BRIDGE & IRON CO N V,167250109,16817,400600
CHICAGO BRIDGE & IRON CO N V,167250109,31749,756300
CITIZENS FINL GROUP INC,174610105,150085,6037200
CITIZENS FINL GROUP INC,174610105,35050,1409900
CITIZENS FINL GROUP INC,174610105,65951,2652900
CIVEO CORP,178787107,27450,6678807
CIVEO CORP,178787107,6233,1516522
CIVEO CORP,178787107,10125,2463600
CONNS INC,208242107,38903,2081500
CONNS INC,208242107,9416,503800
CONNS INC,208242107,17096,914700
CONNS INC,208242107,1177,63000
CONSOL ENERGY INC,20854P109,276127,8167028
CONSOL ENERGY INC,20854P109,60500,1789400
CONSOL ENERGY INC,20854P109,107090,3167400
CONSOL ENERGY INC,20854P109,4470,132200
COVIDIEN PLC,G2554F113,60493,591441
COVIDIEN PLC,G2554F113,26583,259900
E M C CORP MASS,268648102,142794,4801400
E M C CORP MASS,268648102,33279,1119000
E M C CORP MASS,268648102,62745,2109800
FCB FINL HLDGS INC,30255G103,21023,853215
FCB FINL HLDGS INC,30255G103,4765,193375
FCB FINL HLDGS INC,30255G103,7402,300403
FIFTH STR ASSET MGMT INC,31679P109,5399,387000
FIFTH STR ASSET MGMT INC,31679P109,1201,86100
FIFTH STR ASSET MGMT INC,31679P109,1756,125900
GREEN BRICK PARTNERS INC,392709101,91426,11149501
GREEN BRICK PARTNERS INC,392709101,18436,2248337
GREEN BRICK PARTNERS INC,392709101,18401,2243967
GREEN DOT CORP,39304D102,15529,757900
GREEN DOT CORP,39304D102,3268,159500
GREEN DOT CORP,39304D102,6815,332600
HALYARD HEALTH INC,40650V100,64226,1412481
HALYARD HEALTH INC,40650V100,14550,320000
HALYARD HEALTH INC,40650V100,28223,620700
IAC INTERACTIVECORP,44919P508,108088,1778053
IAC INTERACTIVECORP,44919P508,26479,435581
IAC INTERACTIVECORP,44919P508,47495,781296
KAPSTONE PAPER & PACKAGING C,48562P103,15874,541600
KAPSTONE PAPER & PACKAGING C,48562P103,3403,116100
