Name of Issuer,CUSIP,Value,Shares
ADIENT PLC,G0084W101,16231,248261
ADIENT PLC,G0084W101,4446,68000
ADIENT PLC,G0084W101,8035,122900
AERCAP HOLDINGS NV,N00985106,330918,7127235
AERCAP HOLDINGS NV,N00985106,77710,1673700
AERCAP HOLDINGS NV,N00985106,160302,3452543
AERCAP HOLDINGS NV,N00985106,9612,207030
ALCOA CORP,013872106,23893,731800
ALCOA CORP,013872106,6190,189600
ALCOA CORP,013872106,11545,353600
AMAYA INC,02314M108,40361,2257384
AMAYA INC,02314M108,9748,545200
AMAYA INC,02314M108,20742,1160100
ALTABA INC,021346101,135889,2494300
ALTABA INC,021346101,31756,582900
ALTABA INC,021346101,65643,1204900
AMERCO,023586100,45977,125600
AMERCO,023586100,11018,30100
AMERCO,023586100,23538,64300
APPLE INC,037833100,335780,2331484
APPLE INC,037833100,49554,344076
APPLE INC,037833100,176422,1224980
APPLE INC,037833100,4041,28060
CALPINE CORP,131347304,86704,6408300
CALPINE CORP,131347304,19715,1457100
CALPINE CORP,131347304,41883,3095600
CARS COM INC,14575E105,8275,310733
CARS COM INC,14575E105,2243,84233
CARS COM INC,14575E105,4086,153433
CHEMOURS CO,163851108,78304,2064970
CHEMOURS CO,163851108,18433,486100
CHEMOURS CO,163851108,39892,1052000
CLIPPER RLTY INC,18885T306,7068,591900
CLIPPER RLTY INC,18885T306,1564,131000
CLIPPER RLTY INC,18885T306,3309,277100
CNX COAL RES LP,12592V100,48567,3248638
CNX COAL RES LP,12592V100,10754,719300
CNX COAL RES LP,12592V100,22731,1520500
CONDUENT INC,206787103,53951,3384600
CONDUENT INC,206787103,14325,898700
CONDUENT INC,206787103,26727,1676700
CONSOL ENERGY INC,20854P109,188072,12588510
CONSOL ENERGY INC,20854P109,53086,3553265
CONSOL ENERGY INC,20854P109,96078,6430906
CONSOL ENERGY INC,20854P109,1351,90400
DILLARDS INC,254067101,79100,1371117
DILLARDS INC,254067101,21651,375300
DILLARDS INC,254067101,39097,677700
DILLARDS INC,254067101,5263,91230
DSW INC,23334L102,22624,1278206
DSW INC,23334L102,6133,346500
DSW INC,23334L102,11176,631400
FREDS INC,356108100,7869,852600
FREDS INC,356108100,2085,225900
FREDS INC,356108100,3890,421500
GENERAL MTRS CO,37045V100,1128148,32297398
GENERAL MTRS CO,37045V100,207369,5936700
GENERAL MTRS CO,37045V100,567637,16250702
GENERAL MTRS CO,37045V100,9438,270200
GREEN BRICK PARTNERS INC,392709101,196846,17191821
GREEN BRICK PARTNERS INC,392709101,39695,3466793
GREEN BRICK PARTNERS INC,392709101,39618,3460054
HEWLETT PACKARD ENTERPRISE C,42824C109,41755,2516900
HEWLETT PACKARD ENTERPRISE C,42824C109,11431,689000
HEWLETT PACKARD ENTERPRISE C,42824C109,20640,1244100
MICRON TECHNOLOGY INC,595112103,44832,1501400
MICRON TECHNOLOGY INC,595112103,12153,407000
MICRON TECHNOLOGY INC,595112103,22144,741600
MONSANTO CO NEW,61166W101,27720,234200
MONSANTO CO NEW,61166W101,3788,32000
MONSANTO CO NEW,61166W101,14049,118700
MYLAN N V,N59465109,234475,6040059
MYLAN N V,N59465109,63073,1624748
MYLAN N V,N59465109,115315,2970500
MYLAN N V,N59465109,2578,66400
NEW YORK REIT INC,64976L109,5784,669400
NEW YORK REIT INC,64976L109,2856,330600
PERRIGO CO PLC,G97822103,107933,1429200
PERRIGO CO PLC,G97822103,29551,391300
PERRIGO CO PLC,G97822103,53355,706500
PVH CORP,693656100,26545,231837
PVH CORP,693656100,4317,37700
PVH CORP,693656100,13431,117300
QUORUM HEALTH CORP,74909E106,3237,780016
QUORUM HEALTH CORP,74909E106,1315,316975
RITE AID CORP,767754104,28315,9598289
RITE AID CORP,767754104,7456,2527600
RITE AID CORP,767754104,13727,4653100
TEGNA INC,87901J105,19560,1357400
TEGNA INC,87901J105,5355,371600
TEGNA INC,87901J105,9669,671000
TEMPUR SEALY INTL INC,88023U101,12077,226200
TEMPUR SEALY INTL INC,88023U101,3305,61900
TEMPUR SEALY INTL INC,88023U101,5974,111900
VANECK VECTORS ETF TR,92189F106,107243,4857035
VANECK VECTORS ETF TR,92189F106,16376,741650
VANECK VECTORS ETF TR,92189F106,51804,2346211
VAREX IMAGING CORP,92214X106,12861,380500
VAREX IMAGING CORP,92214X106,3383,100100
VAREX IMAGING CORP,92214X106,6233,184400
VOYA FINL INC,929089100,126518,3429612
VOYA FINL INC,929089100,30788,834600
VOYA FINL INC,929089100,61113,1656641
