Name of Issuer,CUSIP,Value,Shares
AERCAP HOLDINGS NV,N00985106,21579,856643
AERCAP HOLDINGS NV,N00985106,1060,42100
AERCAP HOLDINGS NV,N00985106,35095,1393220
AERCAP HOLDINGS NV,N00985106,18155,720717
AMARIN CORP PLC,023111206,64,15100
AMARIN CORP PLC,023111206,140,33300
AMARIN CORP PLC,023111206,217,51600
AMERCO,023586100,2029,5700
AMERCO,023586100,3111,8739
API GROUP CORP,00187Y100,1386,97400
API GROUP CORP,00187Y100,2934,206200
API GROUP CORP,00187Y100,4802,337470
ATLAS AIR WORLDWIDE HLDGS IN,049164205,10219,167800
ATLAS AIR WORLDWIDE HLDGS IN,049164205,48887,802745
ATLAS AIR WORLDWIDE HLDGS IN,049164205,30712,504300
ATLAS AIR WORLDWIDE HLDGS IN,049164205,1906,31300
BRIGHTHOUSE FINL INC,10922N103,12541,466037
BRIGHTHOUSE FINL INC,10922N103,34706,1289703
BRIGHTHOUSE FINL INC,10922N103,4906,182300
BRIGHTHOUSE FINL INC,10922N103,45809,1702292
CHANGE HEALTHCARE INC,15912K100,10912,752000
CHANGE HEALTHCARE INC,15912K100,23019,1586400
CHANGE HEALTHCARE INC,15912K100,5205,358700
CHANGE HEALTHCARE INC,15912K100,37674,2596405
CHEMOURS CO,163851108,795,38000
CHEMOURS CO,163851108,18100,865600
CHEMOURS CO,163851108,16404,784501
CHEMOURS CO,163851108,28414,1358848
CNX RES CORP,12653C108,294,31105
CNX RES CORP,12653C108,9914,1050206
CNX RES CORP,12653C108,92,9780
CNX RES CORP,12653C108,16224,1718594
CONSOL COAL RESOURCES LP,20855T100,2395,719300
CONSOL COAL RESOURCES LP,20855T100,6013,1805600
CONSOL COAL RESOURCES LP,20855T100,9869,2963538
CROWN HLDGS INC,228368106,2460,32000
CROWN HLDGS INC,228368106,5326,69300
CROWN HLDGS INC,228368106,8624,112200
CRYOLIFE INC,228903100,279,15131
CRYOLIFE INC,228903100,616,33340
CRYOLIFE INC,228903100,961,52056
DILLARDS INC,254067101,1330,36430
DILLARDS INC,254067101,2337,64000
DILLARDS INC,254067101,3636,99570
GRAHAM HLDGS CO,384637104,517,1280
GRAHAM HLDGS CO,384637104,1140,2820
GRAHAM HLDGS CO,384637104,1778,4400
GREEN BRICK PARTNERS INC,392709101,55815,3466793
GREEN BRICK PARTNERS INC,392709101,125887,7819054
GREEN BRICK PARTNERS INC,392709101,206608,12832821
GULFPORT ENERGY CORP,402635304,193,366400
GULFPORT ENERGY CORP,402635304,0,551
GULFPORT ENERGY CORP,402635304,151,287000
INGREDION INC,457187102,4420,58400
INGREDION INC,457187102,7061,93300
INGREDION INC,457187102,984,13000
INTEL CORP,458140100,2340,45200
INTEL CORP,458140100,5157,99600
INTEL CORP,458140100,8036,155200
INTERCEPT PHARMACEUTICALS IN,45845P108,1650,39790
INTERCEPT PHARMACEUTICALS IN,45845P108,2496,60210
JACK IN THE BOX INC,466367109,2348,29600
JACK IN THE BOX INC,466367109,5266,66400
JACK IN THE BOX INC,466367109,8367,105500
KENNEDY-WILSON HOLDINGS INC,489398107,603,41500
KENNEDY-WILSON HOLDINGS INC,489398107,938,64600
KENNEDY-WILSON HOLDINGS INC,489398107,274,18900
MEDICINOVA INC,58468P206,368,70300
MEDICINOVA INC,58468P206,573,109420
MEDICINOVA INC,58468P206,28,5280
NCR CORP NEW,62886E108,4578,206771
NCR CORP NEW,62886E108,10224,461785
NCR CORP NEW,62886E108,16266,734693
NEUBASE THERAPEUTICS INC,64132K102,1457,191900
NEUBASE THERAPEUTICS INC,64132K102,5374,708031
NEUBASE THERAPEUTICS INC,64132K102,8555,1127096
PANACEA ACQUISITION CORP,698102118,235,100000
PANACEA ACQUISITION CORP,698102100,3359,300000
PVH CORPORATION,693656100,704,11800
PVH CORPORATION,693656100,2278,38200
PVH CORPORATION,693656100,1408,23600
REINVENT TECHNOLOGY PARTNERS,G7483N111,86,7500
REINVENT TECHNOLOGY PARTNERS,G7483N111,191,16600
REINVENT TECHNOLOGY PARTNERS,G7483N111,298,25900
RESIDEO TECHNOLOGIES INC,76118Y104,3557,323400
RESIDEO TECHNOLOGIES INC,76118Y104,7893,717500
RESIDEO TECHNOLOGIES INC,76118Y104,12459,1132600
SPDR GOLD TR,78463V107,5473,30900
SPDR GOLD TR,78463V107,5999,33870
SPDR GOLD TR,78463V107,55621,314030
SYNNEX CORP,87162W100,12534,89490
SYNNEX CORP,87162W100,19992,142740
SYNNEX CORP,87162W100,5738,40970
TECK RESOURCES LTD,878742204,10176,731000
TECK RESOURCES LTD,878742204,16652,1196300
TECK RESOURCES LTD,878742204,4614,331500
TESLA INC,88160R101,13943,32500
TWITTER INC,90184L102,3182,71500
TWITTER INC,90184L102,7022,157800
TWITTER INC,90184L102,11490,258200
VANECK VECTORS ETF TR,92189F106,5635,143900
VANECK VECTORS ETF TR,92189F106,12633,322600
VANECK VECTORS ETF TR,92189F106,19682,502600
VAPOTHERM INC,922107107,835,28800
VAPOTHERM INC,922107107,84,2900
VAPOTHERM INC,922107107,531,18300
