Name of Issuer,CUSIP,Value,Shares
ADIENT PLC,G0084W101,17999,847000
ADIENT PLC,G0084W101,28594,1345587
ADIENT PLC,G0084W101,6843,322000
AERCAP HOLDINGS NV,N00985106,5268,85700
AERCAP HOLDINGS NV,N00985106,70939,1154043
AERCAP HOLDINGS NV,N00985106,1537,25000
AERCAP HOLDINGS NV,N00985106,119008,1936026
ALTICE USA INC,02156K103,22268,814500
ALTICE USA INC,02156K103,36724,1343240
BRIGHTHOUSE FINL INC,10922N103,1503,38300
BRIGHTHOUSE FINL INC,10922N103,66054,1683759
BRIGHTHOUSE FINL INC,10922N103,43941,1120078
BRIGHTHOUSE FINL INC,10922N103,28711,731863
CHEMOURS CO,163851108,34946,1931800
CHEMOURS CO,163851108,56783,3138942
CHEMOURS CO,163851108,31477,1740001
CNX RESOURCES CORPORATION,12653C108,19628,2217806
CNX RESOURCES CORPORATION,12653C108,155,17500
CNX RESOURCES CORPORATION,12653C108,32276,3646955
CONSOL COAL RES LP,20855T100,6761,719300
CONSOL COAL RES LP,20855T100,16973,1805600
CONSOL COAL RES LP,20855T100,27857,2963538
CONSOL ENERGY INC NEW,20854L108,5396,371862
CONSOL ENERGY INC NEW,20854L108,58,4017
CONSOL ENERGY INC NEW,20854L108,3398,234174
DXC TECHNOLOGY CO,23355L106,11416,303700
DXC TECHNOLOGY CO,23355L106,19145,509300
ECHOSTAR CORP,278768106,10966,253200
ECHOSTAR CORP,278768106,18355,423800
EXELA TECHNOLOGIES INC,30162V102,563,1380200
EXELA TECHNOLOGIES INC,30162V102,1027,2518107
EXELA TECHNOLOGIES INC,30162V102,1682,4124621
GENERAL MTRS CO,37045V100,17788,486000
GENERAL MTRS CO,37045V100,79543,2173302
GENERAL MTRS CO,37045V100,1581,43200
GENERAL MTRS CO,37045V100,126351,3452200
GREEN BRICK PARTNERS INC,392709101,89763,7819054
GREEN BRICK PARTNERS INC,392709101,147321,12832821
GREEN BRICK PARTNERS INC,392709101,39799,3466793
MEDICINES CO,584688105,11824,139200
MEDICINES CO,584688105,7704,90700
NEUBASE THERAPEUTICS INC,64132K102,4184,581131
NEUBASE THERAPEUTICS INC,64132K102,6893,957331
SCIENTIFIC GAMES CORP,80874P109,311,11600
SCIENTIFIC GAMES CORP,80874P109,11285,421408
SCIENTIFIC GAMES CORP,80874P109,18581,693834
TEEKAY LNG PARTNERS L P,Y8564M105,739,47500
TEEKAY LNG PARTNERS L P,Y8564M105,4750,305300
TEEKAY LNG PARTNERS L P,Y8564M105,7725,496474
TEMPUR SEALY INTL INC,88023U101,14594,167628
TEMPUR SEALY INTL INC,88023U101,8695,99872
