Name of Issuer,CUSIP,Value,Shares
AECOM,00766T100,105888,3849073
AECOM,00766T100,22526,818825
AECOM,00766T100,49560,1801514
AERCAP HOLDINGS NV,N00985106,22638,592000
AERCAP HOLDINGS NV,N00985106,164408,4299374
AERCAP HOLDINGS NV,N00985106,5009,131000
AERCAP HOLDINGS NV,N00985106,36294,949100
AERCAP HOLDINGS NV,N00985106,10592,277000
AERCAP HOLDINGS NV,N00985106,76252,1994026
AERCAP HOLDINGS NV,N00985106,3900,102000
APPLE INC,037833100,33862,307000
APPLE INC,037833100,733936,6653998
APPLE INC,037833100,7500,68000
APPLE INC,037833100,162017,1468876
APPLE INC,037833100,15563,141100
APPLE INC,037833100,333490,3023480
APPLE INC,037833100,8925,80920
APPLIED MATLS INC,038222105,43685,2973800
APPLIED MATLS INC,038222105,9643,656400
APPLIED MATLS INC,038222105,20122,1369800
BANK NEW YORK MELLON CORP,064058100,94109,2403800
BANK NEW YORK MELLON CORP,064058100,20107,513600
BANK NEW YORK MELLON CORP,064058100,42384,1082600
CHICAGO BRIDGE & IRON CO N V,167250109,174720,4405443
CHICAGO BRIDGE & IRON CO N V,167250109,38569,972500
CHICAGO BRIDGE & IRON CO N V,167250109,81034,2043228
CHICAGO BRIDGE & IRON CO N V,167250109,2391,60300
CNX COAL RES LP,12592V100,36547,3248638
CNX COAL RES LP,12592V100,8092,719300
CNX COAL RES LP,12592V100,17106,1520500
CONSOL ENERGY INC,20854P109,171007,17449716
CONSOL ENERGY INC,20854P109,37864,3863700
CONSOL ENERGY INC,20854P109,80038,8167149
CONSOL ENERGY INC,20854P109,1264,129000
DILLARDS INC,254067101,63559,727300
DILLARDS INC,254067101,14026,160500
DILLARDS INC,254067101,29468,337200
DILLARDS INC,254067101,1442,16500
FIFTH STR ASSET MGMT INC,31679P109,2846,380986
FIFTH STR ASSET MGMT INC,31679P109,633,84800
FIFTH STR ASSET MGMT INC,31679P109,940,125900
GARMIN LTD,H2906T109,13311,371000
GARMIN LTD,H2906T109,2939,81900
GARMIN LTD,H2906T109,6175,172100
GENERAL MTRS CO,37045V100,289297,9636816
GENERAL MTRS CO,37045V100,63279,2107900
GENERAL MTRS CO,37045V100,134216,4470902
GENERAL MTRS CO,37045V100,2498,83200
GREEN BRICK PARTNERS INC,392709101,186187,17191821
GREEN BRICK PARTNERS INC,392709101,37545,3466793
GREEN BRICK PARTNERS INC,392709101,37472,3460054
IAC INTERACTIVECORP,44919P508,57948,887823
IAC INTERACTIVECORP,44919P508,12831,196581
IAC INTERACTIVECORP,44919P508,27126,415596
INGRAM MICRO INC,457153104,19798,726804
INGRAM MICRO INC,457153104,4219,154900
INGRAM MICRO INC,457153104,8894,326500
KAPSTONE PAPER & PACKAGING C,48562P103,2795,169271
KAPSTONE PAPER & PACKAGING C,48562P103,599,36300
KAPSTONE PAPER & PACKAGING C,48562P103,1266,76700
LIBERTY GLOBAL PLC,G5480U138,1226,36396
LIBERTY GLOBAL PLC,G5480U138,168,4985
LIBERTY GLOBAL PLC,G5480U138,574,17035
LIBERTY GLOBAL PLC,G5480U153,3107,90754
LIBERTY GLOBAL PLC,G5480U153,761,22216
LIBERTY GLOBAL PLC,G5480U153,1454,42478
LIBERTY GLOBAL PLC,G5480U104,31259,727965
LIBERTY GLOBAL PLC,G5480U104,4282,99709
LIBERTY GLOBAL PLC,G5480U104,14632,340744
LIBERTY GLOBAL PLC,G5480U120,74456,1815118
