Name of Issuer,CUSIP,Value,Shares
AERCAP HOLDINGS NV,N00985106,327639,7127235
AERCAP HOLDINGS NV,N00985106,76940,1673700
AERCAP HOLDINGS NV,N00985106,158713,3452543
AERCAP HOLDINGS NV,N00985106,9517,207030
ALCOA CORP,013872106,25174,731800
ALCOA CORP,013872106,6522,189600
ALCOA CORP,013872106,12164,353600
AMAYA INC,02314M108,38306,2257384
AMAYA INC,02314M108,9252,545200
AMAYA INC,02314M108,19686,1160100
ALERE INC,01449J105,23619,594497
ALERE INC,01449J105,6269,157800
ALERE INC,01449J105,11697,294400
AMERCO,023586100,47877,125600
AMERCO,023586100,11474,30100
AMERCO,023586100,24511,64300
APPLE INC,037833100,334941,2331484
APPLE INC,037833100,55521,386476
APPLE INC,037833100,175981,1224980
APPLE INC,037833100,4031,28060
CALPINE CORP,131347304,70812,6408300
CALPINE CORP,131347304,16101,1457100
CALPINE CORP,131347304,34206,3095600
CHEMOURS CO,163851108,109321,2839500
CHEMOURS CO,163851108,29025,753900
CHEMOURS CO,163851108,54154,1406600
CIGNA CORPORATION,125509109,36227,247300
CIGNA CORPORATION,125509109,8877,60600
CIGNA CORPORATION,125509109,18619,127100
CLIPPER RLTY INC,18885T306,7065,591900
CLIPPER RLTY INC,18885T306,1564,131000
CLIPPER RLTY INC,18885T306,3308,277100
CNX COAL RES LP,12592V100,55064,3248638
CNX COAL RES LP,12592V100,12192,719300
CNX COAL RES LP,12592V100,25772,1520500
CONDUENT INC,206787103,56794,3384600
CONDUENT INC,206787103,15080,898700
CONDUENT INC,206787103,28135,1676700
CONSOL ENERGY INC,20854P109,211235,12588510
CONSOL ENERGY INC,20854P109,59624,3553265
CONSOL ENERGY INC,20854P109,107911,6430906
CONSOL ENERGY INC,20854P109,1517,90400
DILLARDS INC,254067101,54792,1048842
DILLARDS INC,254067101,14418,276000
DILLARDS INC,254067101,26543,508100
DILLARDS INC,254067101,3068,58730
DSW INC,23334L102,24231,1171706
DSW INC,23334L102,5948,287600
DSW INC,23334L102,12032,581800
F M C CORP,302491303,14063,202087
F M C CORP,302491303,1127,16200
F M C CORP,302491303,7982,114700
FREDS INC,356108100,16239,1239621
FREDS INC,356108100,4302,328400
FREDS INC,356108100,8026,612700
GENERAL MTRS CO,37045V100,355474,10053000
GENERAL MTRS CO,37045V100,1142036,32297398
GENERAL MTRS CO,37045V100,101483,2870000
GENERAL MTRS CO,37045V100,209922,5936700
GENERAL MTRS CO,37045V100,179523,5077000
GENERAL MTRS CO,37045V100,574625,16250702
GENERAL MTRS CO,37045V100,9554,270200
GREEN BRICK PARTNERS INC,392709101,171059,17191821
GREEN BRICK PARTNERS INC,392709101,34495,3466793
GREEN BRICK PARTNERS INC,392709101,34428,3460054
IAC INTERACTIVECORP,44919P508,34459,467436
IAC INTERACTIVECORP,44919P508,16631,225596
IAC INTERACTIVECORP,44919P508,623,8450
LIBERTY GLOBAL PLC,G5480U104,27088,755165
LIBERTY GLOBAL PLC,G5480U104,3577,99709
LIBERTY GLOBAL PLC,G5480U104,13923,388144
LIBERTY GLOBAL PLC,G5480U120,65974,1882818
LIBERTY GLOBAL PLC,G5480U120,15570,444347
LIBERTY GLOBAL PLC,G5480U120,33905,967615
MICRON TECHNOLOGY INC,595112103,26354,911900
MICRON TECHNOLOGY INC,595112103,6924,239600
MICRON TECHNOLOGY INC,595112103,12962,448500
MONSANTO CO NEW,61166W101,26511,234200
MONSANTO CO NEW,61166W101,6464,57100
MONSANTO CO NEW,61166W101,13437,118700
MYLAN N V,N59465109,195603,5016759
MYLAN N V,N59465109,47967,1230248
MYLAN N V,N59465109,94484,2423300
MYLAN N V,N59465109,858,22000
PERRIGO CO PLC,G97822103,64100,965500
PERRIGO CO PLC,G97822103,17016,256300
PERRIGO CO PLC,G97822103,31748,478200
PVH CORP,693656100,36325,351070
PVH CORP,693656100,8898,86000
PVH CORP,693656100,18387,177700
QUORUM HEALTH CORP,74909E106,8012,1472750
QUORUM HEALTH CORP,74909E106,3793,697250
RITE AID CORP,767754104,40793,9598289
RITE AID CORP,767754104,10742,2527600
RITE AID CORP,767754104,19776,4653100
SYNGENTA AG,87160A100,51401,580800
SYNGENTA AG,87160A100,13523,152800
SYNGENTA AG,87160A100,24904,281400
TIME WARNER INC,887317303,113536,1161974
TIME WARNER INC,887317303,30144,308500
TIME WARNER INC,887317303,56236,575535
TIME WARNER INC,887317303,1407,14400
TRI POINTE GROUP INC,87265H109,15226,1214182
TRI POINTE GROUP INC,87265H109,3569,284600
TRI POINTE GROUP INC,87265H109,7207,574700
VANECK VECTORS ETF TR,92189F106,110789,4857035
VANECK VECTORS ETF TR,92189F106,16917,741650
VANECK VECTORS ETF TR,92189F106,53517,2346211
VAREX IMAGING CORP,92214X106,12785,380500
VAREX IMAGING CORP,92214X106,3363,100100
VAREX IMAGING CORP,92214X106,6196,184400
VOYA FINL INC,929089100,130188,3429612
VOYA FINL INC,929089100,31681,834600
VOYA FINL INC,929089100,62886,1656641
YAHOO INC,984332106,115760,2494300
YAHOO INC,984332106,27052,582900
YAHOO INC,984332106,55919,1204900
