Name of Issuer,CUSIP,Value,Shares
AERCAP HOLDINGS NV,N00985106,65723,1435000
AERCAP HOLDINGS NV,N00985106,14670,320300
AERCAP HOLDINGS NV,N00985106,21512,469700
AETNA INC NEW,00817Y108,167430,2065000
AETNA INC NEW,00817Y108,37315,460230
AETNA INC NEW,00817Y108,56368,695210
AMDOCS LTD,G02602103,68848,1486045
AMDOCS LTD,G02602103,15210,328300
AMDOCS LTD,G02602103,22604,487900
AMERICAN CAPITAL AGENCY CORP,02503X105,79060,3377208
AMERICAN CAPITAL AGENCY CORP,02503X105,17625,752900
AMERICAN CAPITAL AGENCY CORP,02503X105,25943,1108200
ANADARKO PETE CORP,032511107,78599,718000
ANADARKO PETE CORP,032511107,17570,160500
ANADARKO PETE CORP,032511107,25890,236500
APPLE INC,037833100,588308,6330659
APPLE INC,037833100,93789,1009243
APPLE INC,037833100,189884,2043300
APPLE INC,037833100,6425,69140
BABCOCK & WILCOX CO NEW,05615F102,32368,997165
BABCOCK & WILCOX CO NEW,05615F102,5005,154200
BABCOCK & WILCOX CO NEW,05615F102,10919,336386
BIOFUEL ENERGY CORP,09064Y307,7417,1079638
BIOFUEL ENERGY CORP,09064Y307,1826,265748
BIOFUEL ENERGY CORP,09064Y307,566,82439
BP PLC,055622104,50250,952600
BP PLC,055622104,11157,211500
BP PLC,055622104,16664,315900
CHEMTURA CORP,163893209,49232,1884128
CHEMTURA CORP,163893209,10980,420200
CHEMTURA CORP,163893209,16125,617100
CHICOS FAS INC,168615102,20523,1210095
CHICOS FAS INC,168615102,4594,270900
CHICOS FAS INC,168615102,6698,394900
CIGNA CORPORATION,125509109,183647,1996818
CIGNA CORPORATION,125509109,40991,445700
CIGNA CORPORATION,125509109,60122,653712
CIVEO CORP,178787107,97611,3899778
CIVEO CORP,178787107,21809,871322
CIVEO CORP,178787107,34624,1383300
COMPUTER SCIENCES CORP,205363104,94709,1498564
COMPUTER SCIENCES CORP,205363104,20976,331900
COMPUTER SCIENCES CORP,205363104,31255,494536
CONNS INC,208242107,111315,2253800
CONNS INC,208242107,24883,503800
CONNS INC,208242107,36667,742400
DSW INC,23334L102,3271,117074
DSW INC,23334L102,724,25900
DSW INC,23334L102,1078,38600
E M C CORP MASS,268648102,100255,3806200
E M C CORP MASS,268648102,22439,851900
E M C CORP MASS,268648102,32712,1241900
EINSTEIN NOAH REST GROUP INC,28257U104,78318,4876611
EINSTEIN NOAH REST GROUP INC,28257U104,12045,750000
EINSTEIN NOAH REST GROUP INC,28257U104,17776,1106858
FIFTH STREET FINANCE CORP,31678A103,12387,1260170
FIFTH STREET FINANCE CORP,31678A103,2898,294835
FIFTH STREET FINANCE CORP,31678A103,4361,443687
IAC INTERACTIVECORP,44919P508,83883,1211653
IAC INTERACTIVECORP,44919P508,18580,268381
IAC INTERACTIVECORP,44919P508,27685,399896
INTREXON CORP,46122T102,6189,246261
INTREXON CORP,46122T102,861,34280
INTREXON CORP,46122T102,2374,94459
LAM RESEARCH CORP,512807108,114987,1701500
LAM RESEARCH CORP,512807108,25471,376900
LAM RESEARCH CORP,512807108,37953,561600
LIBERTY GLOBAL PLC,G5480U104,35335,799067
LIBERTY GLOBAL PLC,G5480U104,7880,178209
LIBERTY GLOBAL PLC,G5480U104,11924,269642
LIBERTY GLOBAL PLC,G5480U120,84299,1992403
LIBERTY GLOBAL PLC,G5480U120,18800,444347
LIBERTY GLOBAL PLC,G5480U120,28446,672330
MARKET VECTORS ETF TR,57060U100,146207,5527680
MARKET VECTORS ETF TR,57060U100,32019,1210550
MARKET VECTORS ETF TR,57060U100,50669,1915666
MARVELL TECHNOLOGY GROUP LTD,G5876H105,359290,25072588
MARVELL TECHNOLOGY GROUP LTD,G5876H105,88916,6204900
MARVELL TECHNOLOGY GROUP LTD,G5876H105,115618,8068240
MARVELL TECHNOLOGY GROUP LTD,G5876H105,3347,233600
MCDERMOTT INTL INC,580037109,55878,6907064
MCDERMOTT INTL INC,580037109,12455,1539500
MCDERMOTT INTL INC,580037109,18812,2325300
MICRON TECHNOLOGY INC,595112103,854476,25932493
MICRON TECHNOLOGY INC,595112103,189265,5744000
MICRON TECHNOLOGY INC,595112103,282012,8558800
MICRON TECHNOLOGY INC,595112103,3592,109000
NATIONAL OILWELL VARCO INC,637071101,93084,1130347
NATIONAL OILWELL VARCO INC,637071101,20695,251300
NATIONAL OILWELL VARCO INC,637071101,30675,372500
NORTHSTAR RLTY FIN CORP,66704R100,50880,2927475
NORTHSTAR RLTY FIN CORP,66704R100,11360,653600
NORTHSTAR RLTY FIN CORP,66704R100,16659,958500
OIL STS INTL INC,678026105,111446,1738900
OIL STS INTL INC,678026105,24931,389000
OIL STS INTL INC,678026105,39870,622100
SPIRIT AEROSYSTEMS HLDGS INC,848574109,70098,2080064
SPIRIT AEROSYSTEMS HLDGS INC,848574109,15569,462000
SPIRIT AEROSYSTEMS HLDGS INC,848574109,23263,690300
SUNEDISON INC,86732Y109,310311,13730588
SUNEDISON INC,86732Y109,68733,3041300
SUNEDISON INC,86732Y109,102414,4531600
TAKE-TWO INTERACTIVE SOFTWAR,874054109,68452,3077900
TAKE-TWO INTERACTIVE SOFTWAR,874054109,15254,685900
TAKE-TWO INTERACTIVE SOFTWAR,874054109,23045,1036200
TALMER BANCORP INC,87482X101,21545,1616945
TALMER BANCORP INC,87482X101,9183,689213
TEMPUR SEALY INTL INC,88023U101,69091,1157300
TEMPUR SEALY INTL INC,88023U101,15265,255700
TEMPUR SEALY INTL INC,88023U101,23104,387000
TIME INC NEW,887228104,52325,2160400
TIME INC NEW,887228104,11681,482300
TIME INC NEW,887228104,17131,707300
URS CORP NEW,903236107,56615,1234779
URS CORP NEW,903236107,12668,276300
URS CORP NEW,903236107,18468,402800
VODAFONE GROUP PLC NEW,92857W308,17683,529580
VODAFONE GROUP PLC NEW,92857W308,3867,115799
VODAFONE GROUP PLC NEW,92857W308,3473,104015
VOYA FINL INC,929089100,99581,2740268
VOYA FINL INC,929089100,13667,376100
VOYA FINL INC,929089100,33615,925000
