Name of Issuer,CUSIP,Value,Shares
ABERCROMBIE & FITCH CO,002896207,2649,109400
ABERCROMBIE & FITCH CO,002896207,1138,47000
ABERCROMBIE & FITCH CO,002896207,1358,56100
ADIENT PLC,G0084W101,42776,715798
ADIENT PLC,G0084W101,5851,97900
ADIENT PLC,G0084W101,22099,369800
AERCAP HOLDINGS NV,N00985106,173701,3424697
AERCAP HOLDINGS NV,N00985106,66306,1307292
AERCAP HOLDINGS NV,N00985106,88590,1746643
AERCAP HOLDINGS NV,N00985106,3729,73530
ALTABA INC,021346101,67310,909106
ALTABA INC,021346101,29024,392000
ALTABA INC,021346101,34295,463194
APPLE INC,037833100,56925,339284
APPLE INC,037833100,19190,114376
APPLE INC,037833100,29006,172880
APPLE INC,037833100,262,1560
BLOOMIN BRANDS INC,094235108,2724,112200
BLOOMIN BRANDS INC,094235108,1170,48200
BLOOMIN BRANDS INC,094235108,1399,57600
BRIGHTHOUSE FINL INC,10922N103,297783,5793437
BRIGHTHOUSE FINL INC,10922N103,116491,2266363
BRIGHTHOUSE FINL INC,10922N103,153182,2980200
CLIPPER RLTY INC,18885T306,4251,501900
CLIPPER RLTY INC,18885T306,938,110700
CLIPPER RLTY INC,18885T306,1990,234900
CNX RESOURCES CORPORATION,12653C108,80736,5232433
CNX RESOURCES CORPORATION,12653C108,37334,2419565
CNX RESOURCES CORPORATION,12653C108,45344,2938706
CNX RESOURCES CORPORATION,12653C108,751,48700
CONDUENT INC,206787103,38380,2059000
CONDUENT INC,206787103,13764,738400
CONDUENT INC,206787103,19557,1049200
CONSOL COAL RES LP,20855T100,45319,3248638
CONSOL COAL RES LP,20855T100,10034,719300
CONSOL COAL RES LP,20855T100,21211,1520500
CONSOL ENERGY INC NEW,20854L108,18819,649609
CONSOL ENERGY INC NEW,20854L108,4608,159044
CONSOL ENERGY INC NEW,20854L108,10300,355536
CONSOL ENERGY INC NEW,20854L108,147,5087
DILLARDS INC,254067101,5809,72300
DILLARDS INC,254067101,3286,40900
DSW INC,23334L102,15039,669600
DSW INC,23334L102,5509,245300
DSW INC,23334L102,7751,345100
ENSCO PLC,G3157S106,45191,10294100
ENSCO PLC,G3157S106,19427,4425300
ENSCO PLC,G3157S106,23182,5280600
EXELA TECHNOLOGIES INC,30162V102,25370,4587622
EXELA TECHNOLOGIES INC,30162V102,7633,1380200
EXELA TECHNOLOGIES INC,30162V102,13365,2416807
FIVE BELOW INC,33829M101,2670,36400
FIVE BELOW INC,33829M101,1144,15600
FIVE BELOW INC,33829M101,1371,18700
GENERAL MTRS CO,37045V100,427100,11752898
GENERAL MTRS CO,37045V100,172717,4752800
GENERAL MTRS CO,37045V100,219090,6028902
GENERAL MTRS CO,37045V100,2900,79800
GREEN BRICK PARTNERS INC,392709101,187391,17191821
GREEN BRICK PARTNERS INC,392709101,37788,3466793
GREEN BRICK PARTNERS INC,392709101,37715,3460054
IAC INTERACTIVECORP,44919P508,20110,128600
IAC INTERACTIVECORP,44919P508,8632,55200
IAC INTERACTIVECORP,44919P508,10305,65900
MEDICINES CO,584688105,17409,528500
MEDICINES CO,584688105,7181,218000
MEDICINES CO,584688105,8350,253500
MICRON TECHNOLOGY INC,595112103,89822,1722700
MICRON TECHNOLOGY INC,595112103,38615,740600
MICRON TECHNOLOGY INC,595112103,46076,883700
MYLAN N V,N59465109,163052,3960452
MYLAN N V,N59465109,65503,1591048
MYLAN N V,N59465109,83596,2030500
MYLAN N V,N59465109,2882,70000
OFFICE DEPOT INC,676220106,2324,1081000
OFFICE DEPOT INC,676220106,999,464600
OFFICE DEPOT INC,676220106,1192,554400
PAYPAL HLDGS INC,70450Y103,2618,34500
PAYPAL HLDGS INC,70450Y103,1115,14700
PAYPAL HLDGS INC,70450Y103,1350,17800
PERRIGO CO PLC,G97822103,100901,1210720
PERRIGO CO PLC,G97822103,34903,418800
PERRIGO CO PLC,G97822103,51762,621100
ROKU INC,77543R102,901,28960
ROKU INC,77543R102,190,6095
ROKU INC,77543R102,395,12705
SPROUTS FMRS MKT INC,85208M102,2500,106500
SPROUTS FMRS MKT INC,85208M102,1075,45800
SPROUTS FMRS MKT INC,85208M102,1284,54700
TAPESTRY INC,876030107,2846,54100
TAPESTRY INC,876030107,1210,23000
TAPESTRY INC,876030107,1468,27900
TEMPUR SEALY INTL INC,88023U101,18220,402300
TEMPUR SEALY INTL INC,88023U101,7835,173000
TEMPUR SEALY INTL INC,88023U101,9348,206400
TIME WARNER INC,887317303,33415,353300
TIME WARNER INC,887317303,13572,143500
TIME WARNER INC,887317303,15908,168200
TWITTER INC,90184L102,37481,1292000
TWITTER INC,90184L102,15906,548300
TWITTER INC,90184L102,19283,664700
URBAN OUTFITTERS INC,917047102,2598,70300
URBAN OUTFITTERS INC,917047102,1116,30200
URBAN OUTFITTERS INC,917047102,1331,36000
VENATOR MATLS PLC,G9329Z100,7347,406133
VENATOR MATLS PLC,G9329Z100,2426,134100
VENATOR MATLS PLC,G9329Z100,3889,215000
VOYA FINL INC,929089100,107061,2120027
VOYA FINL INC,929089100,35597,704900
VOYA FINL INC,929089100,54724,1083641
