Name of Issuer,CUSIP,Value,Shares
AETNA INC NEW,00817Y108,190097,2771500
AETNA INC NEW,00817Y108,42007,612430
AETNA INC NEW,00817Y108,62418,910010
AMDOCS LTD,G02602103,61284,1486045
AMDOCS LTD,G02602103,13539,328300
AMDOCS LTD,G02602103,20121,487900
ANADARKO PETE CORP,032511107,93693,1181200
ANADARKO PETE CORP,032511107,20703,261000
ANADARKO PETE CORP,032511107,30760,387800
APPLE INC,037833100,880022,1568611
APPLE INC,037833100,161395,287681
APPLE INC,037833100,286846,511294
APPLE INC,037833100,16898,30120
ASPEN INSURANCE HOLDINGS LTD,G05384105,57901,1401621
ASPEN INSURANCE HOLDINGS LTD,G05384105,12859,311278
ASPEN INSURANCE HOLDINGS LTD,G05384105,19503,472104
BABCOCK & WILCOX CO NEW,05615F102,87749,2566518
BABCOCK & WILCOX CO NEW,05615F102,19153,560200
BABCOCK & WILCOX CO NEW,05615F102,29615,866186
BIOFUEL ENERGY CORP,09064Y307,1846,1079638
BIOFUEL ENERGY CORP,09064Y307,454,265748
BIOFUEL ENERGY CORP,09064Y307,141,82439
BP PLC,055622104,30624,630000
BP PLC,055622104,6771,139300
BP PLC,055622104,10242,210700
CHICOS FAS INC,168615102,22625,1200908
CHICOS FAS INC,168615102,5013,266100
CHICOS FAS INC,168615102,7568,401700
CIGNA CORPORATION,125509109,236338,2701618
CIGNA CORPORATION,125509109,52873,604400
CIGNA CORPORATION,125509109,79188,905212
COMPUTER SCIENCES CORP,205363104,127430,2280428
COMPUTER SCIENCES CORP,205363104,28627,512300
COMPUTER SCIENCES CORP,205363104,42700,764136
DELPHI AUTOMOTIVE PLC,G27823106,92465,1537758
DELPHI AUTOMOTIVE PLC,G27823106,20347,338377
DELPHI AUTOMOTIVE PLC,G27823106,31284,520281
DST SYS INC DEL,233326107,68385,753640
DST SYS INC DEL,233326107,15108,166500
DST SYS INC DEL,233326107,22457,247490
E M C CORP MASS,268648102,46950,1866785
E M C CORP MASS,268648102,10374,412500
E M C CORP MASS,268648102,15414,612900
EINSTEIN NOAH REST GROUP INC,28257U104,70711,4876611
EINSTEIN NOAH REST GROUP INC,28257U104,10875,750000
EINSTEIN NOAH REST GROUP INC,28257U104,16049,1106858
FIFTH STREET FINANCE CORP,31678A103,11657,1260170
FIFTH STREET FINANCE CORP,31678A103,2727,294835
FIFTH STREET FINANCE CORP,31678A103,4104,443687
GENERAL MTRS CO,37045V100,443426,10849667
GENERAL MTRS CO,37045V100,97461,2384669
GENERAL MTRS CO,37045V100,149963,3669264
