Name of Issuer,CUSIP,Value,Shares
3M Company,88579y101,4948,30000
3M Company,88579y101,28701,174000
Aaron's Inc,002535300,8521,301000
Accenture,G1151C101,937,10000
Accenture,G1151C101,11711,125000
Alleghany Corporation,017175100,2108,4328
American Express,025816109,781,10000
American Express,025816109,27420,351000
Anheuser-Busch Inbev ADR,03524A108,51812,425000
Anthem Inc,036752103,34588,224000
Apollo Global Management - A,037612306,7258,336000
Archer Daniels,039483102,65222,1376000
Automatic Data Processing,053015103,45449,530700
Berkshire Hathaway Class B,084670702,70010,485100
Berkshire Hathaway Class B,084670702,148145,1026507
"Berkshire Hathaway, Inc.",084670108,59812,275
"Berkshire Hathaway, Inc.",084670108,174652,803
Blackrock Inc,09247X101,47193,129000
Blackstone Group,09253U108,17073,439000
Brookfield Asset Management,112585104,23052,430000
Brookfield Asset Management,112585104,154909,2889548
Brown Forman Class A,115637100,38264,421500
Brown-Forman Class B,115637209,9521,105375
CDK Global Inc,12508e101,8272,176897
CME Group Inc,12572q105,9566,101000
CVS Corporation,126650100,25286,245000
Carbo Ceramics Inc,140781105,6102,200000
Carmax,143130102,16217,235000
Carmax,143130102,322834,4678070
Caterpillar Inc,149123101,19287,241000
Charles Schwab,808513105,32175,1057000
Chubb Corp,171232101,28106,278000
Cisco,17275R102,633,23000
Coach Inc,189754104,746,18000
Colfax Corporation,194014106,51790,1085070
Copart Inc,217204106,33475,891000
Core Labs NV,N22717107,10658,102000
Costco,22160K105,757,5000
Costco,22160K105,5151,34000
Culp Inc,230215105,809,30227
Diageo PLC,25243Q205,36322,328500
Diageo PLC,25243Q205,101669,919500
Discovery Communications,25470f302,2653,90000
Disney,254687106,161688,1541500
Ecolab,278865100,14412,126000
Emerson Electric,291011104,8946,158000
Exxon Corporation,30231G102,16983,199800
Exxon Corporation,30231G102,56865,669000
Factset Research,303075105,22447,141000
Federated Investors,314211103,339,10000
Federated Investors,314211103,71982,2124000
General Dynamics,369550108,52528,387000
General Electric,369604103,73512,2963000
Google Class A,38259P508,6934,12500
Google Class C,38259P706,6850,12500
Graham Holdings Co,384637104,5458,5200
Halliburton,406216101,6801,155000
"Hasbro, Inc",418056107,22640,358000
Home Depot,437076102,2272,20000
Home Depot,437076102,102249,900000
Illinois Tool Works,452308109,22342,230000
Intel,458140100,1876,60000
Intel,458140100,29112,931000
Investors Title Company,461804106,15793,213300
John Deere,244199105,79447,906000
Johnson and Johnson,478160104,5533,55000
Johnson and Johnson,478160104,52232,519200
KKR & Co LLC,48248M102,10675,468000
"LGI Homes, Inc",50187T106,283,17000
Liberty Broadband A,530307107,4533,80250
Liberty Global PLC,G5480U104,3706,72000
Liberty Media,531229102,14649,380000
Liberty Media Class C,530307305,9742,172113
Liberty Media Corp Class C,531229300,19711,516000
Lowes,548661107,7067,95000
Lowes,548661107,33104,445000
MSCI,55354g100,6989,114000
Marriott International,571903202,109948,1368869
Marsh & McLennan,571748102,22492,401000
"Mastercard, Inc",57636Q104,9157,106000
Mattel,577081102,9643,422000
McDonalds,580135101,17637,181000
McGraw Hill Financial,580645109,12822,124000
Microsoft Corp,594918104,12928,318000
Monsanto Co,61166W101,17331,154000
Moody's Corp,615369105,27715,267000
National Oilwell,637071101,28744,575000
Nike,654106103,16053,160000
Norfolk Southern,655844108,9469,92000
Novo-Nordisk A/S,670100205,57394,1075000
Now Inc,67011P100,2023,93500
Oaktree Capital Group LLC,674001201,12889,249500
Oracle Corp,68389x105,27530,638000
Patterson Companies Inc.,703395103,7562,155000
Paychex,704326107,7442,150000
Pepsico,713448108,12842,134300
Philip Morris International,718172109,8625,114500
Procter & Gamble,742718109,10406,127000
RLI Corporation,749607107,62749,1197272
Rent-A-Center,76009N100,5900,215000
Ritchie Bros,767744105,2394,96000
"Rollins, Inc.",775711104,5119,207000
"Ross Stores, Inc",778296103,2423,23000
Rush Enterprises Inc,781846209,246,9000
SEI Investments Co,784117103,10449,237000
Schlumberger,806857108,45475,545000
Starz Liberty Capital,85571Q102,413,12000
Synalloy Corporation,871565107,6994,485343
Synalloy Corporation,871565107,4323,300000
T.Rowe Price,74144T108,891,11000
T.Rowe Price,74144T108,19354,239000
The Carlyle Group,14309L102,9512,351000
The Travelers Companies Inc,89417e109,28006,259000
Unilever PLC ADR,904767704,60938,1461000
United Health Group Inc,91324P102,78426,663000
United Parcel Service,911312106,72172,744500
United Technologies,913017109,6212,53000
Verisk Analytics Inc,92345Y106,643,9000
Visa,92826C839,52851,808000
W.P. Carey,92936U109,3060,45000
W.P. Carey,92936U109,61554,905200
Wal-Mart Stores,931142103,90310,1098000
Walgreens Boots Alliance Inc,931427108,180792,2135000
Watsco Inc,942622200,7291,58000
Wesco Aircraft Holdings,950814103,2451,160000
