Name of Issuer,CUSIP,Value,Shares
3M Company,88579y101,4253,30000
3M Company,88579y101,24668,174000
Aaron's Inc,002535300,11772,326000
Accenture,G1151C101,983,10000
Accenture,G1151C101,12282,125000
Alleghany Corporation,017175100,2026,4328
American Express,025816109,741,10000
American Express,025816109,27873,376000
American Tower,03027x100,1760,20000
Anheuser-Busch Inbev ADR,03524A108,45186,425000
Anthem Inc,036752103,31360,224000
Aon Corporation,G0408v102,2481,28000
Apollo Global Management - A,037612306,6649,387000
Apple Inc,037833100,1985,18000
Archer Daniels,039483102,57035,1376000
Automatic Data Processing,053015103,42647,530700
Baxter International Inc,071813109,328,10000
Becton Dickinson,075887109,531,4000
Berkshire Hathaway Cl B,084670702,63257,485100
Berkshire Hathaway Cl B,084670702,133857,1026507
"Berkshire Hathaway, Inc.",084670108,53691,275
"Berkshire Hathaway, Inc.",084670108,156973,804
Blackrock Inc,09247X101,45215,152000
Blackstone Group,09253U108,15423,487000
Brookfield Asset Management,112585104,20279,645000
Brookfield Asset Management,112585104,137513,4373821
Brown Forman Class A,115637100,45096,421500
Brown-Forman Class B,115637209,10211,105375
CDK Global Inc,12508e101,8452,176897
CME Group Inc,12572q105,10758,116000
CR Bard,067383109,745,4000
CVS Corporation,126650100,23831,247000
Cable One,12685j105,2181,5200
Capital One Financial Corp,14040H105,9065,125000
Carbo Ceramics Inc,140781105,4083,215000
Carmax,143130102,13940,235000
Carmax,143130102,277503,4678070
Caterpillar Inc,149123101,18170,278000
Charles Schwab,808513105,30188,1057000
Coach Inc,189754104,1562,54000
Colfax Corporation,194014106,32454,1085070
Colfax Corporation,194014106,1495,50000
Copart Inc,217204106,31748,965000
Core Labs NV,N22717107,10878,109000
Costco,22160K105,723,5000
Costco,22160K105,4915,34000
Culp Inc,230215105,969,30227
Cummins Inc.,231021106,2714,25000
Darling Ingredients Inc,237266101,731,65000
Diageo PLC,25243Q205,35409,328500
Diageo PLC,25243Q205,101592,942500
Discovery Communications,25470f302,12947,533000
Disney,254687106,161016,1575500
Donaldson,257651109,505,18000
Ecolab,278865100,16348,149000
Emerson Electric,291011104,6979,158000
Exxon Corporation,30231G102,14855,199800
Exxon Corporation,30231G102,55093,741000
Factset Research,303075105,26209,164000
Federated Investors,314211103,58060,2009000
Fedex Corp,31428X106,2160,15000
General Dynamics,369550108,53387,387000
General Electric,369604103,74727,2963000
Google Class A,38259P508,7980,12500
Google Class C,38259P706,7624,12531
Graham Holdings Co,384637104,3000,5200
Halliburton,406216101,8625,244000
Harley Davidson,412822108,11803,215000
"Hasbro, Inc",418056107,26259,364000
Home Depot,437076102,2310,20000
Home Depot,437076102,103941,900000
Illinois Tool Works,452308109,18931,230000
Intel,458140100,1808,60000
Intel,458140100,28060,931000
Investors Title Company,461804106,15251,213300
JP Morgan,46625H100,11158,183000
John Deere,244199105,76590,1035000
Johnson and Johnson,478160104,5134,55000
Johnson and Johnson,478160104,49214,527200
KKR & Co LLC,48248M102,8944,533000
Las Vegas Sands Corp,517834107,1823,48000
Liberty Broadband A,530307107,4128,80250
Liberty Broadband Class C,530307305,8807,172113
Liberty Global PLC,G5480U104,5067,118000
Liberty Media,531229102,15217,426000
Liberty Media Corp Cl C,531229300,17781,516000
Lowes,548661107,6547,95000
Lowes,548661107,30669,445000
MSCI,55354g100,8146,137000
Marriott International,571903202,97040,1422869
Marsh & McLennan,571748102,29191,559000
"Mastercard, Inc",57636Q104,11625,129000
Mattel,577081102,12299,584000
McDonalds,580135101,17834,181000
McGraw Hill Financial,580645109,12715,147000
Monsanto Co,61166W101,21250,249000
Moody's Corp,615369105,28478,290000
National Oilwell,637071101,22966,610000
Nike,654106103,19675,160000
Norfolk Southern,655844108,11613,152000
Novo-Nordisk A/S,670100205,58308,1075000
Now Inc,67011P100,1754,118500
Oaktree Capital Group LLC,674001201,22498,454500
Oracle Corp,68389x105,23045,638000
Paccar,693718108,3391,65000
Parker-Hannifin Corp,701094104,2919,30000
Patterson Companies Inc.,703395103,7266,168000
Paychex,704326107,7144,150000
Pepsico,713448108,13136,139300
Philip Morris International,718172109,9083,114500
Procter & Gamble,742718109,9136,127000
RLI Corporation,749607107,64090,1197272
Rent-A-Center,76009N100,5771,238000
Ritchie Bros,767744105,2821,109000
Rockwell  Automation Inc,773903109,3653,36000
"Rollins, Inc.",775711104,7416,276000
"Ross Stores, Inc",778296103,2230,46000
Rush Enterprises Inc,781846209,363,15000
SEI Investments Co,784117103,11431,237000
Schlumberger,806857108,44968,652000
Starz Liberty Capital,85571Q102,448,12000
Synalloy Corporation,871565107,4388,485343
Synalloy Corporation,871565107,2712,300000
T.Rowe Price,74144T108,764,11000
T.Rowe Price,74144T108,18626,268000
The Carlyle Group,14309L102,6703,399000
The Travelers Companies Inc,89417e109,30158,303000
Unilever PLC ADR,904767704,61048,1497000
United Health Group Inc,91324P102,76915,663000
United Parcel Service,911312106,75745,767500
United Technologies,913017109,4716,53000
Verisk Analytics Inc,92345Y106,3252,44000
Visa,92826C839,58096,834000
W.P. Carey,92936U109,2601,45000
W.P. Carey,92936U109,52330,905200
Wal-Mart Stores,931142103,71194,1098000
Walgreens Boots Alliance Inc,931427108,177418,2135000
Watsco Inc,942622200,12914,109000
Wesco Aircraft Holdings,950814103,3501,287000
