Name of Issuer,CUSIP,Value,Shares
3M Company,88579y101,4930,30000
3M Company,88579y101,28592,174000
Aaron's Inc,002535300,8193,268000
Accenture,G1151C101,893,10000
Accenture,G1151C101,11164,125000
Alleghany Corporation,017175100,2006,4328
American Express,025816109,930,10000
American Express,025816109,31541,339000
Anheuser-Busch Inbev ADR,03524A108,47736,425000
Anthem Inc,036752103,27270,217000
Apollo Global Management - A,037612306,7192,305000
Archer Daniels,039483102,71552,1376000
Automatic Data Processing,053015103,44244,530700
Berkshire Hathaway Class B,084670702,72838,485100
Berkshire Hathaway Class B,084670702,154130,1026507
"Berkshire Hathaway, Inc.",084670108,62150,275
Blackrock Inc,09247X101,41477,116000
Blackstone Group,09253U108,14073,416000
Brookfield Asset Management,112585104,21556,430000
Brookfield Asset Management,112585104,144552,2883548
Brown & Brown,115236101,5451,165628
Brown Forman Class A,115637100,36991,421500
Brown-Forman Class B,115637209,9256,105375
CDK Global Inc,12508e101,7210,176897
CME Group Inc,12572q105,4964,56000
CVS Corporation,126650100,22344,232000
Carbo Ceramics Inc,140781105,2443,61000
Carmax,143130102,15646,235000
Carmax,143130102,314795,4728070
Caterpillar Inc,149123101,22059,241000
Charles Schwab,808513105,31911,1057000
Chubb Corp,171232101,27420,265000
Cisco,17275R102,640,23000
Colfax Corporation,194014106,55957,1085070
Copart Inc,217204106,30798,844000
Core Labs NV,N22717107,3008,25000
Costco,22160K105,709,5000
Costco,22160K105,4819,34000
Culp Inc,230215105,655,30227
Diageo PLC,25243Q205,37479,328500
Diageo PLC,25243Q205,104335,914500
Disney,254687106,143969,1528500
Ecolab,278865100,11811,113000
Emerson Electric,291011104,9753,158000
Expeditors Int'l Wash Inc,302130109,6112,137000
Exxon Corporation,30231G102,18472,199800
Exxon Corporation,30231G102,61849,669000
Factset Research,303075105,18016,128000
Fairfax Financial Holdings Ltd,303901102,103282,197104
Fairfax Financial Holdings Ltd,303901102,43154,82355
Federated Investors,314211103,329,10000
Federated Investors,314211103,69943,2124000
General Dynamics,369550108,53259,387000
General Electric,369604103,74294,2940000
Google Class A,38259P508,6633,12500
Google Class C,38259P706,6580,12500
Graham Holdings Co,384637104,4491,5200
Halliburton,406216101,590,15000
"Hasbro, Inc",418056107,17542,319000
Home Depot,437076102,2099,20000
Home Depot,437076102,94473,900000
Illinois Tool Works,452308109,21781,230000
Intel,458140100,2177,60000
Intel,458140100,33786,931000
Investors Title Company,461804106,15550,213300
John Deere,244199105,73696,833000
Johnson and Johnson,478160104,5751,55000
Johnson and Johnson,478160104,54293,519200
KKR & Co LLC,48248M102,10096,435000
"LGI Homes, Inc",50187T106,254,17000
Liberty Broadband A,530307107,4020,80250
Liberty Global PLC,094506433,1657,33000
Liberty Media,531229102,12027,341000
Liberty Media Class C,530307305,6427,129000
Liberty Media Corp Class C,531229300,18075,516000
Lowes,548661107,6536,95000
Lowes,548661107,30616,445000
MSCI,55354g100,4791,101000
Marriott International,571903202,0,0
Marriott International,571903202,105798,1355869
Marsh & McLennan,571748102,19233,336000
"Mastercard, Inc",57636Q104,8013,93000
Mattel,577081102,10305,333000
McDonalds,580135101,16960,181000
McGraw Hill Financial,580645109,9877,111000
Microsoft Corp,594918104,37996,818000
Monsanto Co,61166W101,11350,95000
Moody's Corp,615369105,24336,254000
National Oilwell,637071101,31127,475000
Nicholas Financial,65373j209,670,45000
Nike,654106103,14903,155000
Norfolk Southern,655844108,10084,92000
Novo-Nordisk A/S,670100205,45494,1075000
Now Inc,67011P100,2406,93500
Oaktree Capital Group LLC,674001201,7930,153000
Oracle Corp,68389x105,28691,638000
Patterson Companies Inc.,703395103,7455,155000
Paychex,704326107,6925,150000
Pepsico,713448108,12699,134300
Philip Morris International,718172109,9326,114500
Procter & Gamble,742718109,11568,127000
RLI Corporation,749607107,59145,1197272
Rent-A-Center,76009N100,6901,190000
Ritchie Bros,767744105,1855,69000
"Rollins, Inc.",775711104,3376,102000
"Ross Stores, Inc",778296103,2168,23000
SEI Investments Co,784117103,9489,237000
Schlumberger,806857108,34591,405000
Starz Liberty Capital,85571Q102,356,12000
Synalloy Corporation,871565107,8547,485343
Synalloy Corporation,871565107,5283,300000
T.Rowe Price,74144T108,944,11000
T.Rowe Price,74144T108,20521,239000
The Carlyle Group,14309L102,8855,322000
The Travelers Companies Inc,89417e109,25827,244000
Unilever PLC ADR,904767704,56955,1407000
United Health Group Inc,91324P102,66315,656000
United Parcel Service,911312106,81321,731500
United Technologies,913017109,6095,53000
Visa,92826C839,49949,190500
W.P. Carey,92936U109,3154,45000
W.P. Carey,92936U109,63455,905200
Wal-Mart Stores,931142103,94296,1098000
Walgreens Boots Alliance Inc,931427108,162367,2135000
Watsco Inc,942622200,214,2000
Wesco Aircraft Holdings,950814103,419,30000
