Name of Issuer,CUSIP,Value,Shares
3M Company,88579Y101,6246,30000
3M Company,88579Y101,36225,174000
Accenture,G1151C101,1237,10000
Accenture,G1151C101,17117,138400
Albemarle Corp,012653101,6121,58000
Alleghany Corporation,017175100,2574,4328
"Allergan, Inc.",G0177J108,8022,33000
Alphabet Inc,02079K107,79088,87031
Alphabet Inc Class A,02079K305,11621,12500
Amazon.com,023135106,67760,70000
American Express,025816109,842,10000
American Express,025816109,31674,376000
American Tower,03027X100,4697,35500
Analog Devices Inc,032654105,40130,515811
Anthem Inc,036752103,42141,224000
Aon Corporation,G0408V102,4919,37000
Apollo Global Management - A,037612306,15473,585000
Apple Inc,037833100,14848,103100
Archer Daniels,039483102,60551,1463300
Automatic Data Processing,053015103,54376,530700
Baxter International Inc,071813109,1332,22000
Becton Dickinson,075887109,1756,9000
Berkshire Hathaway Class B,084670702,82161,485100
Berkshire Hathaway Class B,084670702,173859,1026507
"Berkshire Hathaway, Inc.",084670108,70042,275
"Berkshire Hathaway, Inc.",084670108,207071,813
Blackrock Inc,09247X101,73922,175000
Blackstone Group,09253U108,25346,760000
Boeing Co,097023105,16492,83400
Bristol Myers Squibb,110122108,557,10000
Brookfield Asset Management,112585104,25290,645000
Brookfield Asset Management,112585104,184907,4715821
Brookfield Business Partners,G16234109,349,12900
Brookfield Business Partners,G16234109,2399,88694
Brown Forman Class A,115637100,41560,843000
Brown-Forman Class B,115637209,10242,210750
Bunge Limited,G16962105,5356,71800
CDK Global Inc,12508E101,10978,176897
CME Group Inc,12572Q105,16907,135000
CVS Corporation,126650100,21483,267000
Cable One,12685J105,3697,5200
Carmax,143130102,14819,235000
Carmax,143130102,294999,4678070
Caterpillar Inc,149123101,29874,278000
Charles Schwab,808513105,45409,1057000
Choice Hotels Intl Inc,169905106,1735,27000
Cisco,17275R102,10705,342000
Colfax Corporation,194014106,42719,1085070
Colfax Corporation,194014106,1968,50000
Comcast Corp- Class A,20030N101,8212,211000
Core Labs NV,N22717107,11140,110000
Costco,22160K105,800,5000
Costco,22160K105,5438,34000
Diageo PLC,25243Q205,39364,328500
Diageo PLC,25243Q205,122143,1019300
Discovery Communications,25470F302,24328,965000
Disney,254687106,179265,1687200
Dollar Tree Inc,256746108,4335,62000
Ecolab,278865100,29046,218800
Exxon Corporation,30231G102,16130,199800
Exxon Corporation,30231G102,60144,745000
Facebook,30303M102,14872,98500
Factset Research,303075105,27254,164000
Flowserve,34354P105,2647,57000
General Dynamics,369550108,76665,387000
General Electric,369604103,1080,40000
Gilead Sciences Inc,375558103,2336,33000
Goldman Sachs,38141G104,3794,17100
Graham Holdings Co,384637104,3118,5200
"Hasbro, Inc",418056107,40590,364000
Healthcare Services Group,421906108,2576,55000
Heico Corp,422806109,269,3750
Heico Corp Class A,422806208,7593,122375
Hershey Foods,427866108,2588,24100
Hexcel Corp,428291108,3431,65000
Home Depot,437076102,3068,20000
Home Depot,437076102,138060,900000
Hormel Foods,440452100,239,7000
IBM,459200101,2415,15700
Illinois Tool Works,452308109,32947,230000
Investors Title Company,461804106,41261,213300
JP Morgan,46625H100,16726,183000
John Deere,244199105,135380,1095400
Johnson and Johnson,478160104,7276,55000
Johnson and Johnson,478160104,73527,555800
KKR & Co LLC,48248M102,15847,852000
Liberty Braves Group A,531229706,1018,42600
Liberty Braves Group C,531229888,2392,99788
Liberty Broadband A,530307107,15721,183250
Liberty Broadband Class C,530307305,14931,172113
Liberty Global PLC,G5480U104,3790,118000
Liberty Global PLC Lilac,G5480U138,320,14720
Liberty Media Group A,531229870,4536,129500
Liberty Media Group C,531229854,9503,259500
Liberty Sirius Group A,531229409,17883,426000
Liberty Sirius Group C,531229607,21767,522000
Live Nation,538034109,12779,366700
Lowes,548661107,7365,95000
Lowes,548661107,36827,475000
MSCI,55354G100,14110,137000
Marriott International,571903202,151294,1508269
Marsh & McLennan,571748102,47517,609500
"Mastercard, Inc",57636Q104,20902,172100
Maxim Integrated Products,57772K101,8396,187000
McKesson Corp,58155Q103,2485,15100
Merck,58933Y105,359,5600
Microsoft Corp,594918104,19300,280000
Monsanto Co,61166W101,46953,396700
Moody's Corp,615369105,35287,290000
NXP Semiconductors NV,N6596X109,3831,35000
Nike,654106103,21299,361000
Norfolk Southern,655844108,27930,229500
Novartis AG-Sponsored ADR,66987V109,309,3700
Novo-Nordisk A/S,670100205,46107,1075000
Oaktree Capital Group LLC,674001201,39633,850500
Paccar,693718108,7813,118300
Parker-Hannifin Corp,701094104,17356,108600
Patterson Companies Inc.,703395103,7888,168000
Paychex,704326107,8541,150000
Penske Automotive Group,70959W103,2722,62000
Pepsico,713448108,16815,145600
Philip Morris International,718172109,13448,114500
Praxair Inc.,74005P104,9862,74400
Priceline Group Inc,741503403,374,200
RLI Corporation,749607107,65395,1197272
Ritchie Bros,767744105,3276,114000
Rockwell Automation Inc,773903109,19079,117800
Rockwell Collins Inc,774341101,2942,28000
"Rollins, Inc.",775711104,16842,413700
S&P Global,78409V104,21461,147000
SEI Investments Co,784117103,16467,306200
Schlumberger,806857108,263,4000
Sensata Technologies Holding,N7902X106,6323,148000
Starbucks Corp,855244109,2274,39000
Stericycle Inc,858912108,15035,197000
Synalloy Corporation,871565107,4691,414804
T.Rowe Price,74144T108,816,11000
T.Rowe Price,74144T108,22486,303000
Texas Instruments Inc,882508104,38311,498000
The Carlyle Group,14309L102,13667,692000
The Travelers Companies Inc,89417E109,39857,315000
Tyson Foods,902494103,8893,142000
Under Armour Inc-Class C,904311206,1210,60000
Unilever PLC ADR,904767704,82674,1527600
Union Pacific,907818108,9214,84600
United Health Group Inc,91324P102,122933,663000
United Technologies,913017109,18622,152500
VF Corp,918204108,1774,30800
Verisk Analytics Inc,92345Y106,6159,73000
Visa,92826C839,84805,904300
W.P. Carey,92936U109,2970,45000
W.P. Carey,92936U109,59752,905200
WR Berkley Corp,084423102,553,8000
Walgreens Boots Alliance Inc,931427108,167192,2135000
Watsco Inc,942622200,33847,219500
