Name of Issuer,CUSIP,Value,Shares
3M Company,88579Y101,10511,77000
3M Company,88579Y101,21459,157200
Accenture,G1151C101,10955,67100
Accenture,G1151C101,15069,92300
Activision Blizzard Inc,00507V109,107,1800
Activision Blizzard Inc,00507V109,16773,282000
Albemarle Corp,012653101,4284,76000
Alleghany Corporation,017175100,2391,4328
Alphabet Inc,02079K107,49128,42249
Alphabet Inc,02079K107,110751,95244
Alphabet Inc Class A,02079K305,3834,3300
Alphabet Inc Class A,02079K305,10690,9200
Amazon.com,023135106,65121,33400
Amazon.com,023135106,126814,65042
American Airlines Group,02376R102,670,55000
American Express,025816109,856,10000
American Express,025816109,40575,473950
American Tower,03027X100,218,1000
American Tower,03027X100,10920,50150
Analog Devices Inc,032654105,18250,203565
Analog Devices Inc,032654105,61163,682246
Anthem Inc,036752103,6584,29000
Anthem Inc,036752103,32921,145000
Aon Corporation,G0408V102,6106,37000
Apollo Global Management - A,037612306,754,22500
Apollo Global Management - A,037612306,33165,990000
Apple Inc,037833100,3064,12050
Apple Inc,037833100,73384,288585
Archer Daniels,039483102,20897,594000
Archer Daniels,039483102,31110,884300
Automatic Data Processing,053015103,17358,127000
Automatic Data Processing,053015103,55178,403700
Autonation Inc,05329W102,34,1200
Autonation Inc,05329W102,1281,45660
Ball Corporation,058498106,2974,46000
Bank of New York Mellon Corp,064058100,11788,350000
Berkshire Hathaway Class B,084670702,137419,751620
Berkshire Hathaway Class B,084670702,142620,780067
"Berkshire Hathaway, Inc.",084670108,157760,580
"Berkshire Hathaway, Inc.",084670108,145248,534
Blackrock Inc,09247X101,5280,12000
Blackrock Inc,09247X101,91602,208200
Blackstone Group,09260D107,1572,34500
Blackstone Group,09260D107,54433,1194500
Boeing Co,097023105,1775,11900
Boeing Co,097023105,12304,82500
Booking Holdings Inc,09857L108,552,410
Brookfield Asset Management,112585104,85393,1929782
Brookfield Asset Management,112585104,171277,3870659
Brown Forman Class A,115637100,25310,492600
Brown Forman Class A,115637100,18004,350400
Brown-Forman Class B,115637209,12587,226750
Brown-Forman Class B,115637209,13735,247437
CVS Corporation,126650100,119,2000
CVS Corporation,126650100,19579,330000
Cable One,12685J105,8549,5200
Carmax,143130102,84466,1569126
Carmax,143130102,180005,3343944
Caterpillar Inc,149123101,1160,10000
Caterpillar Inc,149123101,32201,277500
Charles Schwab,808513105,4135,123000
Charles Schwab,808513105,32689,972300
Choice Hotels Intl Inc,169905106,184,3000
Choice Hotels Intl Inc,169905106,12862,210000
Cisco,17275R102,5818,148000
Cisco,17275R102,7626,194000
Citigroup Inc,172967424,56,1320
Citigroup Inc,172967424,897,21300
Colfax Corporation,194014106,21484,1085070
Colfax Corporation,194014106,990,50000
Comcast Corp- Class A,20030n101,3541,103000
Comcast Corp- Class A,20030n101,14405,419000
Costco,22160K105,3707,13000
Costco,22160K105,7456,26150
Crown Holdings Inc,228368106,6733,116000
DR Horton Inc,23331A109,29,850
DR Horton Inc,23331A109,1081,31797
Delta Air Lines,247361702,171,6000
Delta Air Lines,247361702,12967,454500
Diageo PLC,25243Q205,93853,738300
Diageo PLC,25243Q205,77734,611500
Disney,254687106,52618,544700
Disney,254687106,127288,1317680
Eastman Chemical Company,277432100,279,6000
Ecolab,278865100,3584,23000
Ecolab,278865100,44614,286300
Electronic Arts Inc,285512109,90,900
Electronic Arts Inc,285512109,12451,124300
Equifax Inc,294429105,13617,114000
Facebook,30303M102,3104,18610
Facebook,30303M102,21082,126390
Factset Research,303075105,5996,23000
Factset Research,303075105,24421,93680
General Dynamics,369550108,5822,44000
General Dynamics,369550108,45382,343000
Goldman Sachs,38141G104,2759,17850
Goldman Sachs,38141G104,50234,324950
Graham Holdings Co,384637104,1774,5200
