Name of Issuer,CUSIP,Value,Shares
3M Company,88579Y101,5357,30000
3M Company,88579Y101,31071,174000
Accenture,G1151C101,1171,10000
Accenture,G1151C101,16211,138400
Alleghany Corporation,017175100,2632,4328
"Allergan, Inc.",G0177J108,2940,14000
Alphabet Inc,02079K107,47105,61031
Alphabet Inc Class A,02079K305,9906,12500
Amazon.com,023135106,34494,46000
American Express,025816109,741,10000
American Express,025816109,27854,376000
American Tower,03027X100,1480,14000
Analog Devices Inc,032654105,28467,392000
Anthem Inc,036752103,32204,224000
Aon Corporation,G0408V102,4127,37000
Apollo Global Management - A,037612306,7492,387000
Apple Inc,037833100,8466,73100
Archer Daniels,039483102,66800,1463300
Automatic Data Processing,053015103,54545,530700
Baxter International Inc,071813109,975,22000
Becton Dickinson,075887109,1490,9000
Berkshire Hathaway Class B,084670702,79062,485100
Berkshire Hathaway Class B,084670702,167300,1026507
"Berkshire Hathaway, Inc.",084670108,67133,275
"Berkshire Hathaway, Inc.",084670108,197494,809
Blackrock Inc,09247X101,61457,161500
Blackstone Group,09253U108,15137,560000
Boeing Co,097023105,8158,52400
Bristol Myers Squibb,110122108,584,10000
Brookfield Asset Management,112585104,21291,645000
Brookfield Asset Management,112585104,148671,4503821
Brookfield Business Partners,G16234109,310,12900
Brookfield Business Partners,G16234109,2134,88694
Brown Forman Class A,115637100,38989,843000
Brown-Forman Class B,115637209,9467,210750
Bunge Limited,G16962105,5187,71800
CDK Global Inc,12508E101,10559,176897
CME Group Inc,12572Q105,15572,135000
CSX Corporation,126408103,5030,140000
CVS Corporation,126650100,19570,248000
Cable One,12685J105,3233,5200
Carmax,143130102,15132,235000
Carmax,143130102,301221,4678070
Caterpillar Inc,149123101,25782,278000
Charles Schwab,808513105,41720,1057000
Cisco,17275R102,9338,309000
Colfax Corporation,194014106,38987,1085070
Colfax Corporation,194014106,1796,50000
Comcast Corp- Class A,20030N101,6284,91000
Core Labs NV,N22717107,13204,110000
Costco,22160K105,801,5000
Costco,22160K105,5444,34000
Diageo PLC,25243Q205,34144,328500
Diageo PLC,25243Q205,103348,994300
Discovery Communications,25470F302,23888,892000
Disney,254687106,171567,1646200
Dollar Tree Inc,256746108,1698,22000
Ecolab,278865100,22483,191800
Exxon Corporation,30231G102,18034,199800
