Name of Issuer,CUSIP,Value,Shares
3M Company,88579Y101,6297,30000
3M Company,88579Y101,36523,174000
Accenture,G1151C101,1351,10000
Accenture,G1151C101,20179,149400
Albemarle Corp,012653101,9951,73000
Alleghany Corporation,017175100,2398,4328
"Allergan, Inc.",G0177J108,6763,33000
Alphabet Inc,02079K107,93063,97031
Alphabet Inc Class A,02079K305,12171,12500
Amazon.com,023135106,76908,80000
American Express,025816109,905,10000
American Express,025816109,34013,376000
American Tower,03027X100,4852,35500
Analog Devices Inc,032654105,46343,537811
Anthem Inc,036752103,42533,224000
Aon Corporation,G0408V102,5406,37000
Apollo Global Management - A,037612306,20618,685000
Apple Inc,037833100,17431,113100
Archer Daniels,039483102,62205,1463300
Automatic Data Processing,053015103,58016,530700
Baxter International Inc,071813109,1380,22000
Becton Dickinson,075887109,1764,9000
Berkshire Hathaway Class B,084670702,88929,485100
Berkshire Hathaway Class B,084670702,188179,1026507
"Berkshire Hathaway, Inc.",084670108,75553,275
"Berkshire Hathaway, Inc.",084670108,223364,813
Blackrock Inc,09247X101,80476,180000
Blackstone Group,09253U108,28364,850000
Boeing Co,097023105,23997,94400
Bristol Myers Squibb,110122108,637,10000
Brookfield Asset Management,112585104,26638,645000
Brookfield Asset Management,112585104,197861,4790821
Brookfield Business Partners,G16234109,382,12900
Brookfield Business Partners,G16234109,2630,88694
Brown Forman Class A,115637100,46947,843000
Brown-Forman Class B,115637209,11444,210750
Bunge Limited,G16962105,4987,71800
CDK Global Inc,12508E101,11160,176897
CME Group Inc,12572Q105,18317,135000
CVS Corporation,126650100,21712,267000
Cable One,12685J105,3755,5200
Carmax,143130102,17815,235000
Carmax,143130102,354644,4678070
Caterpillar Inc,149123101,34669,278000
Charles Schwab,808513105,46233,1057000
Choice Hotels Intl Inc,169905106,2875,45000
Cisco,17275R102,11501,342000
Colfax Corporation,194014106,45182,1085070
Colfax Corporation,194014106,2082,50000
Comcast Corp- Class A,20030N101,8119,211000
Costco,22160K105,821,5000
Costco,22160K105,5586,34000
Diageo PLC,25243Q205,43405,328500
Diageo PLC,25243Q205,134944,1021300
Discovery Communications,25470F302,20827,1028000
Disney,254687106,167490,1699200
Dollar Tree Inc,256746108,7640,88000
Ecolab,278865100,29426,228800
Exxon Corporation,30231G102,16380,199800
Exxon Corporation,30231G102,28283,345000
Facebook,30303M102,18539,108500
Factset Research,303075105,29538,164000
Flowserve,34354P105,2854,67000
General Dynamics,369550108,79559,387000
General Electric,369604103,2297,95000
Gilead Sciences Inc,375558103,2674,33000
Goldman Sachs,38141G104,9274,39100
Goodyear Tire & Rubber Co.,382550101,665,20000
Graham Holdings Co,384637104,3043,5200
"Hasbro, Inc",418056107,35552,364000
Healthcare Services Group,421906108,2968,55000
Heico Corp,422806109,337,3750
Heico Corp Class A,422806208,10544,138375
Hershey Foods,427866108,2631,24100
Hexcel Corp,428291108,4938,86000
Home Depot,437076102,3271,20000
Home Depot,437076102,147204,900000
Hormel Foods,440452100,611,19000
IBM,459200101,2278,15700
Illinois Tool Works,452308109,34031,230000
Intl Flavors & Fragrances,459506101,1143,8000
Investors Title Company,461804106,38196,213300
JP Morgan,46625H100,17478,183000
John Deere,244199105,137571,1095400
Johnson and Johnson,478160104,7151,55000
Johnson and Johnson,478160104,72260,555800
KKR & Co LLC,48248M102,19659,967000
Liberty Braves Group A,531229706,1081,42600
Liberty Braves Group C,531229888,2522,99788
Liberty Broadband A,530307107,19330,205250
Liberty Broadband Class C,530307305,16402,172113
Liberty Global PLC,G5480U104,4205,124000
Liberty Global PLC Lilac,G5480U138,350,14720
Liberty Media Group A,531229870,5747,157500
Liberty Media Group C,531229854,9884,259500
Liberty Sirius Group A,531229409,17849,426000
Liberty Sirius Group C,531229607,21856,522000
Live Nation,538034109,18191,417700
Lowes,548661107,7594,95000
Lowes,548661107,37971,475000
MSCI,55354G100,16015,137000
Marriott International,571903202,166302,1508269
Marsh & McLennan,571748102,51082,609500
"Mastercard, Inc",57636Q104,25713,182100
Maxim Integrated Products,57772K101,9399,197000
McKesson Corp,58155Q103,4009,26100
Merck,58933Y105,359,5600
Microchip Technology,595017104,718,8000
Microsoft Corp,594918104,23241,312000
Monsanto Co,61166W101,47533,396700
Moody's Corp,615369105,40371,290000
Nike,654106103,18977,366000
Norfolk Southern,655844108,30349,229500
Novartis AG-Sponsored ADR,66987V109,318,3700
Novo-Nordisk A/S,670100205,51761,1075000
Oaktree Capital Group LLC,674001201,41710,886500
Paccar,693718108,8558,118300
Parker-Hannifin Corp,701094104,20757,118600
Patterson Companies Inc.,703395103,6493,168000
Paychex,704326107,8994,150000
Penske Automotive Group,70959W103,3425,72000
Pepsico,713448108,16224,145600
Philip Morris International,718172109,12711,114500
Praxair Inc.,74005P104,11794,84400
Priceline Group Inc,741503403,366,200
RLI Corporation,749607107,68676,1197272
Ritchie Bros,767744105,3605,114000
Rockwell Automation Inc,773903109,22775,127800
Rockwell Collins Inc,774341101,4836,37000
"Rollins, Inc.",775711104,20472,443700
S&P Global,78409V104,22978,147000
SEI Investments Co,784117103,18697,306200
Schlumberger,806857108,279,4000
Sensata Technologies Holding,N7902X106,8076,168000
Starbucks Corp,855244109,2793,52000
Stericycle Inc,858912108,16616,232000
Synalloy Corporation,871565107,5185,414804
T.Rowe Price,74144T108,997,11000
T.Rowe Price,74144T108,27467,303000
Texas Instruments Inc,882508104,47151,526000
The Carlyle Group,14309L102,18809,797000
The Travelers Companies Inc,89417E109,38594,315000
Tyson Foods,902494103,12540,178000
Under Armour Inc-Class C,904311206,1652,110000
Unilever PLC ADR,904767704,88540,1527600
Union Pacific,907818108,9811,84600
United Health Group Inc,91324P102,129849,663000
United Technologies,913017109,19153,165000
VF Corp,918204108,1958,30800
Verisk Analytics Inc,92345Y106,6073,73000
Visa,92826C839,96221,914300
W.P. Carey,92936U109,3033,45000
W.P. Carey,92936U109,61001,905200
WR Berkley Corp,084423102,1201,18000
Walgreens Boots Alliance Inc,931427108,164865,2135000
Watsco Inc,942622200,37932,235500
