Name of Issuer,CUSIP,Value,Shares
3M Company,88579Y101,14290,75000
3M Company,88579Y101,24580,129000
Accenture,G1151C101,9462,67100
Accenture,G1151C101,13015,92300
Activision Blizzard Inc,00507V109,84,1800
Activision Blizzard Inc,00507V109,8196,176000
Albemarle Corp,012653101,5626,73000
Alleghany Corporation,017175100,2698,4328
Alphabet Inc,02079K107,11132,10749
Alphabet Inc,02079K107,108159,104440
Alphabet Inc Class A,02079K305,3448,3300
Alphabet Inc Class A,02079K305,9614,9200
Amazon.com,023135106,18624,12400
Amazon.com,023135106,116170,77345
American Express,025816109,953,10000
American Express,025816109,35840,376000
American Tower,03027X100,158,1000
American Tower,03027X100,5458,34500
Analog Devices Inc,032654105,17472,203565
Analog Devices Inc,032654105,42593,496246
Anthem Inc,036752103,7616,29000
Anthem Inc,036752103,51213,195000
Aon Corporation,G0408V102,5378,37000
Apollo Global Management - A,037612306,552,22500
Apollo Global Management - A,037612306,23215,946000
Apple Inc,037833100,1901,12050
Apple Inc,037833100,22752,144235
Archer Daniels,039483102,24336,594000
Archer Daniels,039483102,35615,869300
Automatic Data Processing,053015103,16652,127000
Automatic Data Processing,053015103,52933,403700
Autonation Inc,05329W102,43,1200
Autonation Inc,05329W102,1027,28760
Berkshire Hathaway Class B,084670702,135090,661620
Berkshire Hathaway Class B,084670702,175008,857127
"Berkshire Hathaway, Inc.",084670108,104040,340
"Berkshire Hathaway, Inc.",084670108,231336,756
Blackrock Inc,09247X101,4714,12000
Blackrock Inc,09247X101,72161,183700
Blackstone Group,09253U108,1028,34500
Blackstone Group,09253U108,32240,1081500
Boeing Co,097023105,3838,11900
Boeing Co,097023105,26606,82500
Booking Holdings Inc,09857L108,431,250
Brookfield Asset Management,112585104,57708,1504782
Brookfield Asset Management,112585104,159895,4169359
Brown Forman Class A,115637100,23359,492600
Brown Forman Class A,115637100,16616,350400
Brown-Forman Class B,115637209,10789,226750
Brown-Forman Class B,115637209,11773,247437
CDK Global Inc,12508E101,2027,42333
CDK Global Inc,12508E101,6443,134564
CME Group Inc,12572Q105,941,5000
CME Group Inc,12572Q105,24456,130000
CVS Corporation,126650100,131,2000
