Name of Issuer,CUSIP,Value,Shares
3M Company,88579y101,4250,30000
3M Company,88579y101,24652,174000
Aaron's Inc,002535300,4961,204000
Accenture,G1151C101,813,10000
Accenture,G1151C101,9596,118000
Alleghany Corporation,017175100,1810,4328
American Express,025816109,875,10000
American Express,025816109,29676,339000
Anheuser-Busch Inbev ADR,03524A108,47111,425000
Apollo Global Management - A,037612306,6556,275000
Archer Daniels,039483102,70314,1376000
Automatic Data Processing,053015103,44091,530700
Berkshire Hathaway Class B,084670702,67012,485100
Berkshire Hathaway Class B,084670702,141802,1026507
"Berkshire Hathaway, Inc.",084670108,56897,275
"Berkshire Hathaway, Inc.",084670108,166141,803
Blackrock Inc,09247X101,33817,103000
Blackstone Group,09253U108,12151,386000
Brookfield Asset Management,112585104,19333,430000
Brookfield Asset Management,112585104,128430,2856548
Brown & Brown,115236101,11755,365628
Brown Forman Class A,115637100,37594,421500
Brown-Forman Class B,115637209,9507,105375
CME Group Inc,12572q105,3598,45000
CVS Corporation,126650100,17351,218000
Carlyle Group,14309L102,8833,290000
Carmax,143130102,10916,235000
Carmax,143130102,219619,4728070
Caterpillar Inc,149123101,23866,241000
Charles Schwab,808513105,31065,1057000
Chubb Corp,171232101,20402,224000
Cisco,17275R102,579,23000
Coca Cola Co,191216100,5546,130000
Colfax Corporation,194014106,61816,1085070
Copart Inc,217204106,22328,713000
Core Labs NV,N22717107,1463,10000
Costco,22160K105,627,5000
Costco,22160K105,4261,34000
Culp Inc,230215105,549,30227
Diageo PLC,25243Q205,37909,328500
Diageo PLC,25243Q205,104033,901500
Disney,254687106,134836,1514500
Ecolab,278865100,11598,101000
Emerson Electric,291011104,9888,158000
Expeditors Int'l Wash Inc,302130109,5559,137000
Exxon Corporation,30231G102,18791,199800
Exxon Corporation,30231G102,62919,669000
Factset Research,303075105,14097,116000
Fairfax Financial Holdings Ltd,303901102,87950,197104
Fairfax Financial Holdings Ltd,303901102,36748,82355
Federated Investors,314211103,294,10000
Federated Investors,314211103,62361,2124000
General Dynamics,369550108,49184,387000
General Electric,369604103,73632,2874000
Google Class A,38259P508,7355,12500
Google Class C,38259P706,7217,12500
Graham Holdings Co,384637104,3638,5200
"Hasbro, Inc",418056107,15454,281000
Home Depot,437076102,1835,20000
Home Depot,437076102,82566,900000
Illinois Tool Works,452308109,19417,230000
Intel,458140100,2089,60000
Intel,458140100,32417,931000
International Game Technology,459902102,3627,215000
Investors Title Company,461804106,15614,213300
John Deere,244199105,44275,540000
Johnson and Johnson,478160104,5862,55000
Johnson and Johnson,478160104,55342,519200
KKR & Co LLC,48248M102,8898,399000
Laboratory Corp of America,50540R409,1526,15000
Liberty Media,531229102,13824,293000
Liberty Media Corp Class C,531229300,24247,516000
Lowes,548661107,5027,95000
Lowes,548661107,23549,445000
MSCI,55354g100,4044,86000
Marriott International,571903202,93028,1330869
Marsh & McLennan,571748102,12091,231000
"Mastercard, Inc",57636Q104,5914,80000
Mattel,577081102,8766,286000
McDonalds,580135101,17161,181000
McGraw Hill Financial,580645109,8361,99000
Microsoft Corp,594918104,37922,818000
Monsanto Co,61166W101,5851,52000
Moody's Corp,615369105,22869,242000
National Oilwell,637071101,32266,424000
Nicholas Financial,65373j209,116,10000
Nike,654106103,12756,143000
Norfolk Southern,655844108,10267,92000
Novo-Nordisk A/S,670100205,51191,1075000
Now Inc,67011P100,2843,93500
Oaktree Capital Group LLC,674001201,1788,35000
Oracle Corp,68389x105,24423,638000
Patterson Companies Inc.,703395103,6422,155000
Paychex,704326107,6630,150000
Pepsico,713448108,12502,134300
Philip Morris International,718172109,9549,114500
Procter & Gamble,742718109,10635,127000
RLI Corporation,749607107,51830,1197272
Rent-A-Center,76009N100,5281,174000
Ritchie Bros,767744105,1119,50000
"Rollins, Inc.",775711104,2547,87000
"Ross Stores, Inc",778296103,1738,23000
SEI Investments Co,784117103,8570,237000
Schlumberger,806857108,33253,327000
Sigma Aldrich,826552101,2448,18000
Starz Liberty Capital,85571Q102,397,12000
Synalloy Corporation,871565107,8445,485343
Synalloy Corporation,871565107,5220,300000
T.Rowe Price,74144T108,862,11000
T.Rowe Price,74144T108,18738,239000
Target,87612E106,2068,33000
Teva Pharmaceuticals,881624209,23865,444000
The Travelers Companies Inc,89417e109,20103,214000
Unilever PLC ADR,904767704,50154,1197000
United Health Group Inc,91324P102,55545,644000
United Parcel Service,911312106,71408,726500
United Technologies,913017109,5597,53000
Visa,92826C839,38087,178500
W.P. Carey,92936U109,2870,45000
W.P. Carey,92936U109,57725,905200
Wal-Mart Stores,931142103,83964,1098000
Walgreen,931422109,126541,2135000
Wellpoint Inc,94973V107,24522,205000
