Name of Issuer,CUSIP,Value,Shares
3M Company,88579y101,4297,30000
3M Company,88579y101,24924,174000
Aaron's Inc,002535300,4455,125000
Accenture,G1151C101,808,10000
Accenture,G1151C101,8569,106000
Alleghany Corporation,017175100,1896,4328
American Express,025816109,949,10000
American Express,025816109,32161,339000
Anheuser Busch,035229103,1149,10000
Anheuser-Busch Inbev ADR,03524A108,47700,415000
Apollo Global Management - A,037612306,6126,221000
Archer Daniels,039483102,60695,1376000
Automatic Data Processing,053015103,41836,527700
Berkshire Hathaway Class B,084670702,61394,485100
Berkshire Hathaway Class B,084670702,129915,1026507
"Berkshire Hathaway, Inc.",084670108,52223,275
"Berkshire Hathaway, Inc.",084670108,152490,803
Blackrock Inc,09247X101,28444,89000
Blackstone Group,09253U108,11804,353000
Brookfield Asset Management,112585104,18929,430000
Brookfield Asset Management,112585104,124777,2834548
Brown & Brown,115236101,11228,365628
Brown Forman Class A,115637100,38921,421500
Brown-Forman Class B,115637209,9923,105375
CME Group Inc,12572q105,1703,24000
CVS Corporation,126650100,14848,197000
Carlyle Group,14309L102,8728,257000
Carmax,143130102,12222,235000
Carmax,143130102,245907,4728070
Caterpillar Inc,149123101,26189,241000
Charles Schwab,808513105,28465,1057000
Chubb Corp,171232101,15853,172000
Cisco,17275R102,572,23000
Coca Cola Co,191216100,5507,130000
Colfax Corporation,194014106,80881,1085070
Copart Inc,217204106,22655,630000
Core Labs NV,N22717107,1671,10000
Costco,22160K105,576,5000
Costco,22160K105,3915,34000
Culp Inc,230215105,526,30227
Deere & Co,214199105,17204,190000
Diageo PLC,25243Q205,41808,328500
Diageo PLC,25243Q205,112952,887500
Disney,254687106,128567,1499500
Ecolab,278865100,9798,88000
Emerson Electric,291011104,10485,158000
Expeditors Int'l Wash Inc,302130109,6050,137000
Exxon Corporation,30231G102,20116,199800
Exxon Corporation,30231G102,67355,669000
Factset Research,303075105,12389,103000
Fairfax Financial Holdings Ltd,303901102,93132,197104
Fairfax Financial Holdings Ltd,303901102,38913,82355
Federated Investors,314211103,309,10000
Federated Investors,314211103,65674,2124000
General Dynamics,369550108,45105,387000
General Electric,369604103,74004,2816000
Google Class A,38259P508,7308,12500
Google Class C,38259P706,7191,12500
Graham Holdings Co,384637104,3734,5200
"Hasbro, Inc",418056107,12944,244000
Heritage Crystal Clean Inc,42726M106,903,46003
Home Depot,437076102,1619,20000
Home Depot,437076102,72864,900000
Illinois Tool Works,452308109,20139,230000
Intel,458140100,1854,60000
Intel,458140100,28768,931000
International Game Technology,459902102,3977,250000
International Game Technology,459902102,10580,665000
Investors Title Company,461804106,14372,213300
Johnson and Johnson,478160104,5754,55000
Johnson and Johnson,478160104,54319,519200
KKR & Co LLC,48248M102,8710,358000
Laboratory Corp of America,50540R409,1536,15000
Liberty Media,531229102,33623,246000
Lowes,548661107,4559,95000
Lowes,548661107,21356,445000
MSCI,55354g100,2659,58000
Marriott International,571903202,83706,1305869
Marsh & McLennan,571748102,7307,141000
"Mastercard, Inc",57636Q104,5878,80000
Mattel,577081102,9781,251000
McDonalds,580135101,18234,181000
McGraw Hill Financial,580645109,6642,80000
Microsoft Corp,594918104,34111,818000
Monsanto Co,61166W101,4116,33000
Moody's Corp,615369105,19899,227000
National Oilwell,637071101,32364,393000
Nike,654106103,10159,131000
Norfolk Southern,655844108,9479,92000
Northern Trust Corp,665859104,8989,140000
Novo-Nordisk A/S,670100205,49654,1075000
Now Inc,67011P100,3386,93500
Oracle Corp,68389x105,25858,638000
Patterson Companies Inc.,703395103,6124,155000
Paychex,704326107,6234,150000
Pepsico,713448108,11998,134300
Philip Morris International,718172109,9653,114500
Procter & Gamble,742718109,9981,127000
RLI Corporation,749607107,54811,1197272
Rent-A-Center,76009N100,3155,110000
Ritchie Bros,767744105,246,10000
"Rollins, Inc.",775711104,2610,87000
"Ross Stores, Inc",778296103,1521,23000
SEI Investments Co,784117103,7766,237000
Schlumberger,806857108,36564,310000
Sigma Aldrich,826552101,609,6000
Starz Liberty Capital,85571Q102,357,12000
Synalloy Corporation,871565107,7969,485343
Synalloy Corporation,871565107,4926,300000
T.Rowe Price,74144T108,929,11000
T.Rowe Price,74144T108,20174,239000
Target,87612E106,1912,33000
Teva Pharmaceuticals,881624209,36379,694000
The Travelers Companies Inc,89417e109,15992,170000
Unilever PLC ADR,904767704,41323,912000
United Health Group Inc,91324P102,51257,627000
United Parcel Service,911312106,73453,715500
United Technologies,913017109,6119,53000
Universal Technical Institute,913915104,410,33800
Visa,92826C839,34662,164500
W.P. Carey,92936U109,2898,45000
W.P. Carey,92936U109,58295,905200
Wal-Mart Stores,931142103,82427,1098000
Walgreen,931422109,158268,2135000
Wellpoint Inc,94973V107,20231,188000
