Name of Issuer,CUSIP,Value,Shares
3M Company,88579Y101,12334,77000
3M Company,88579Y101,25180,157200
Accenture,G1151C101,15164,67100
Accenture,G1151C101,20859,92300
Activision Blizzard Inc,00507V109,146,1800
Activision Blizzard Inc,00507V109,22828,282000
Albemarle Corp,012653101,6785,76000
Alleghany Corporation,017175100,2253,4328
Alphabet Inc,02079K107,62089,42249
Alphabet Inc,02079K107,139971,95244
Alphabet Inc Class A,02079K305,4836,3300
Alphabet Inc Class A,02079K305,13484,9200
Amazon.com,023135106,105168,33400
Amazon.com,023135106,204800,65042
American Express,025816109,1002,10000
American Express,025816109,47513,473950
American Tower,03027X100,242,1000
American Tower,03027X100,12123,50150
Analog Devices Inc,032654105,23764,203565
Analog Devices Inc,032654105,79645,682246
Aon Corporation,G0408V102,7633,37000
Apollo Global Management - A,03768E105,1007,22500
Apollo Global Management - A,03768E105,44302,990000
Apple Inc,037833100,5582,48200
Apple Inc,037833100,133684,1154340
Archer Daniels,039483102,27615,594000
Archer Daniels,039483102,41111,884300
Ball Corporation,058498106,3824,46000
Bank of New York Mellon Corp,064058100,12019,350000
Berkshire Hathaway Class B,084670702,160050,751620
Berkshire Hathaway Class B,084670702,166107,780067
"Berkshire Hathaway, Inc.",084670108,185601,580
"Berkshire Hathaway, Inc.",084670108,170881,534
Blackrock Inc,09247X101,6763,12000
Blackrock Inc,09247X101,117331,208200
Blackstone Group,09260D107,1801,34500
Blackstone Group,09260D107,62353,1194500
Brookfield Asset Management,112585104,95698,2894673
Brookfield Asset Management,112585104,191946,5805988
Brown Forman Class A,115637100,33832,492600
Brown Forman Class A,115637100,24065,350400
Brown-Forman Class B,115637209,17079,226750
Brown-Forman Class B,115637209,18637,247437
CVS Corporation,126650100,117,2000
CVS Corporation,126650100,19272,330000
Cable One,12685J105,9804,5200
Carrier Air Conditioning,14448C104,1667,54600
Carrier Air Conditioning,14448C104,5173,169400
Caterpillar Inc,149123101,1491,10000
Caterpillar Inc,149123101,41389,277500
Charles Schwab,808513105,4456,123000
Charles Schwab,808513105,35226,972300
Cisco,17275R102,5830,148000
Cisco,17275R102,7642,194000
Citigroup Inc,172967424,57,1320
Citigroup Inc,172967424,918,21300
Colfax Corporation,194014106,34028,1085070
Colfax Corporation,194014106,1568,50000
Comcast Corp- Class A,20030n101,4765,103000
Comcast Corp- Class A,20030n101,19383,419000
Costco,22160K105,4615,13000
Costco,22160K105,9283,26150
Crown Holdings Inc,228368106,8916,116000
DR Horton Inc,23331A109,64,850
DR Horton Inc,23331A109,994,13149
Diageo PLC,25243Q205,101634,738300
Diageo PLC,25243Q205,84179,611500
Disney,254687106,67586,544700
Disney,254687106,163498,1317680
Eastman Chemical Company,277432100,469,6000
Ecolab,278865100,4596,23000
Ecolab,278865100,57214,286300
Electronic Arts Inc,285512109,117,900
Electronic Arts Inc,285512109,16210,124300
Equifax Inc,294429105,17887,114000
Facebook,30303M102,4874,18610
Facebook,30303M102,33102,126390
Factset Research,303075105,7702,23000
Factset Research,303075105,31372,93680
General Dynamics,369550108,6091,44000
General Dynamics,369550108,47481,343000
Goldman Sachs,38141G104,3587,17850
Goldman Sachs,38141G104,65305,324950
Graham Holdings Co,384637104,2101,5200
Guidewire Software Inc,40171V100,1356,13000
Healthcare Services Group,421906108,431,20000
