Name of Issuer,CUSIP,Value,Shares
3M Company,88579Y101,5287,30000
3M Company,88579Y101,30664,174000
Accenture,G1151C101,1222,10000
Accenture,G1151C101,16664,136400
Alleghany Corporation,017175100,2272,4328
Allergan PLC,G0177J108,461,2000
Alphabet Inc,02079K107,38111,49031
Alphabet Inc Class A,02079K305,10051,12500
Amazon.com,023135106,28469,34000
American Express,025816109,640,10000
American Express,025816109,24079,376000
American Tower,03027X100,227,2000
Analog Devices Inc,032654105,20108,312000
Anthem Inc,036752103,28069,224000
Aon Corporation,G0408V102,4162,37000
Apollo Global Management - A,037612306,6951,387000
Apple Inc,037833100,6907,61100
Archer Daniels,039483102,61707,1463300
Automatic Data Processing,053015103,46808,530700
Baxter International Inc,071813109,1047,22000
Becton Dickinson,075887109,1618,9000
Berkshire Hathaway Class B,084670702,70082,485100
Berkshire Hathaway Class B,084670702,148300,1026507
"Berkshire Hathaway, Inc.",084670108,59460,275
"Berkshire Hathaway, Inc.",084670108,174922,809
Blackrock Inc,09247X101,56363,155500
Blackstone Group,09253U108,13684,536000
Boeing Co,097023105,5322,40400
Bristol Myers Squibb,110122108,539,10000
Brookfield Asset Management,112585104,22691,645000
Brookfield Asset Management,112585104,157178,4467821
Brookfield Business Partners,G16234109,341,12900
Brookfield Business Partners,G16234109,2344,88694
Brown Forman Class A,115637100,41939,843000
Brown-Forman Class B,115637209,9998,210750
Bunge Limited,G16962105,4253,71800
CDK Global Inc,12508E101,10147,176897
CME Group Inc,12572Q105,14110,135000
CSX Corporation,126408103,4270,140000
CVS Corporation,126650100,21981,247000
Cable One,12685J105,3037,5200
Carmax,143130102,12537,235000
Carmax,143130102,249575,4678070
Caterpillar Inc,149123101,24678,278000
Charles Schwab,808513105,33369,1057000
Cisco,17275R102,8533,269000
Colfax Corporation,194014106,34104,1085070
Colfax Corporation,194014106,1571,50000
Comcast Corp- Class A,20030N101,4976,75000
Core Labs NV,N22717107,12356,110000
Costco,22160K105,763,5000
Costco,22160K105,5185,34000
Cummins Inc.,231021106,4806,37500
Diageo PLC,25243Q205,38119,328500
Diageo PLC,25243Q205,113986,982300
Discovery Communications,25470F302,21916,833000
Disney,254687106,150173,1617200
Ecolab,278865100,21885,179800
Emerson Electric,291011104,8613,158000
Exxon Corporation,30231G102,17439,199800
Exxon Corporation,30231G102,65024,745000
Facebook,30303M102,6606,51500
Factset Research,303075105,26584,164000
General Dynamics,369550108,60047,387000
Goldman Sachs,38141G104,2758,17100
Graham Holdings Co,384637104,2503,5200
Harley Davidson,412822108,16040,305000
"Hasbro, Inc",418056107,28876,364000
Heico Corp,422806109,208,3000
Heico Corp Class A,422806208,2269,37500
Hershey Foods,427866108,2304,24100
Home Depot,437076102,2574,20000
Home Depot,437076102,115812,900000
Illinois Tool Works,452308109,27563,230000
Investors Title Company,461804106,21223,213300
JP Morgan,46625H100,12186,183000
John Deere,244199105,93492,1095400
Johnson and Johnson,478160104,6497,55000
Johnson and Johnson,478160104,65657,555800
KKR & Co LLC,48248M102,8527,598000
Liberty Braves Group A,531229706,743,42600
Liberty Braves Group C,531229888,1734,99788
Liberty Broadband A,530307107,8296,118250
Liberty Broadband Class C,530307305,12303,172113
Liberty Global PLC,G5480U104,4033,118000
Liberty Global PLC Lilac,G5480U138,406,14720
Liberty Media Group A,531229870,3481,121500
Liberty Media Group C,531229854,4798,170500
Liberty Sirius Group A,531229409,14475,426000
Liberty Sirius Group C,531229607,17440,522000
Linear Technology Corp,535678106,12214,206000
Live Nation,538034109,4993,181700
Lowes,548661107,6860,95000
Lowes,548661107,32133,445000
MSCI,55354G100,11500,137000
Marriott International,571903202,99128,1472269
Marsh & McLennan,571748102,40989,609500
"Mastercard, Inc",57636Q104,15327,150600
Maxim Integrated Products,57772K101,5111,128000
McKesson Corp,58155Q103,1517,9100
Mead Johnson Nutrition,582839106,2394,30300
Merck,58933Y105,349,5600
Microsoft Corp,594918104,11059,192000
Monsanto Co,61166W101,40543,396700
Moody's Corp,615369105,31401,290000
NXP Semiconductors NV,N6596X109,3366,33000
Nike,654106103,16848,320000
Norfolk Southern,655844108,22275,229500
Novartis AG-Sponsored ADR,66987V109,292,3700
Novo-Nordisk A/S,670100205,44709,1075000
Oaktree Capital Group LLC,674001201,28641,675500
Oracle Corp,68389X105,25061,638000
Paccar,693718108,6954,118300
Parker-Hannifin Corp,701094104,8862,70600
Patterson Companies Inc.,703395103,7718,168000
Paychex,704326107,8681,150000
Penske Automotive Group,70959W103,1494,31000
Pepsico,713448108,15837,145600
Philip Morris International,718172109,11132,114500
Praxair Inc.,74005P104,4398,36400
Priceline Group Inc,741503403,294,200
RLI Corporation,749607107,81846,1197272
Ritchie Bros,767744105,3998,114000
Rockwell Automation Inc,773903109,9763,79800
"Rollins, Inc.",775711104,10064,343700
S&P Global,78409V104,18604,147000
SEI Investments Co,784117103,12415,272200
Schlumberger,806857108,52099,662500
Stericycle Inc,858912108,2484,31000
Synalloy Corporation,871565107,3945,414804
T.Rowe Price,74144T108,732,11000
T.Rowe Price,74144T108,18819,283000
Texas Instruments Inc,882508104,23159,330000
The Carlyle Group,14309L102,7053,453000
The Travelers Companies Inc,89417E109,36083,315000
