Name of Issuer,CUSIP,Value,Shares
3M Company,88579Y101,5254,30000
3M Company,88579Y101,30471,174000
Accenture,G1151C101,1133,10000
Accenture,G1151C101,15453,136400
Alleghany Corporation,017175100,2379,4328
Alphabet Inc,02079K107,23207,33531
Alphabet Inc Class A,02079K305,8794,12500
Amazon.com,023135106,13955,19500
American Express,025816109,608,10000
American Express,025816109,22846,376000
Analog Devices Inc,032654105,11668,206000
Anthem Inc,036752103,29420,224000
Aon Corporation,G0408V102,4042,37000
Apollo Global Management - A,037612306,5863,387000
Apple Inc,037833100,3451,36100
Archer Daniels,039483102,62761,1463300
Automatic Data Processing,053015103,48755,530700
Baxter International Inc,071813109,995,22000
Becton Dickinson,075887109,1526,9000
Berkshire Hathaway Class B,084670702,70238,485100
Berkshire Hathaway Class B,084670702,148628,1026507
"Berkshire Hathaway, Inc.",084670108,59668,275
"Berkshire Hathaway, Inc.",084670108,175533,809
Blackrock Inc,09247X101,52921,154500
Blackstone Group,09253U108,12245,499000
Boeing Co,097023105,2182,16800
Bristol Myers Squibb,110122108,735,10000
Brookfield Asset Management,112585104,21330,645000
Brookfield Asset Management,112585104,146759,4437821
Brookfield Business Partners,G16234109,246,12900
Brookfield Business Partners,G16234109,1693,88694
Brown Forman Class A,115637100,45535,421500
Brown-Forman Class B,115637209,10512,105375
Bunge Limited,G16962105,4247,71800
CDK Global Inc,12508E101,9816,176897
CME Group Inc,12572Q105,11980,123000
CR Bard,067383109,2116,9000
CSX Corporation,126408103,3651,140000
CVS Corporation,126650100,23648,247000
Cable One,12685J105,2659,5200
Capital One Financial Corp,14040H105,8002,126000
Carbo Ceramics Inc,140781105,2816,215000
Carmax,143130102,11522,235000
Carmax,143130102,229366,4678070
Caterpillar Inc,149123101,21075,278000
Charles Schwab,808513105,26753,1057000
Cisco,17275R102,5595,195000
Colfax Corporation,194014106,28711,1085070
Colfax Corporation,194014106,1323,50000
Comcast Corp- Class A,20030N101,2282,35000
Copart Inc,217204106,47295,965000
Core Labs NV,N22717107,13628,110000
Costco,22160K105,785,5000
Costco,22160K105,5339,34000
Cummins Inc.,231021106,4216,37500
Diageo PLC,25243Q205,37081,328500
Diageo PLC,25243Q205,109923,973800
Discovery Communications,25470F302,18031,756000
Disney,254687106,157608,1611200
Ecolab,278865100,19664,165800
Emerson Electric,291011104,8241,158000
Exxon Corporation,30231G102,18729,199800
Exxon Corporation,30231G102,69836,745000
Facebook,30303M102,3486,30500
Factset Research,303075105,26473,164000
General Dynamics,369550108,53886,387000
Goldman Sachs,38141G104,2541,17100
Graham Holdings Co,384637104,2546,5200
Harley Davidson,412822108,13816,305000
"Hasbro, Inc",418056107,30572,364000
Heico Corp Class A,422806208,215,4000
Hershey Foods,427866108,2735,24100
Home Depot,437076102,2554,20000
Home Depot,437076102,114921,900000
Illinois Tool Works,452308109,23957,230000
Investors Title Company,461804106,20317,213300
JP Morgan,46625H100,11372,183000
John Deere,244199105,88528,1092400
Johnson and Johnson,478160104,6671,55000
Johnson and Johnson,478160104,67419,555800
KKR & Co LLC,48248M102,6725,545000
Liberty Braves Group A,531229706,641,42600
Liberty Braves Group C,531229888,1463,99788
Liberty Broadband A,530307107,5123,86250
Liberty Broadband Class C,530307305,10327,172113
Liberty Global PLC,G5480U104,3429,118000
Liberty Global PLC Lilac,G5480U138,475,14724
Liberty Media Group A,531229870,2326,121500
Liberty Media Group C,531229854,2514,132500
Liberty Sirius Group A,531229409,13359,426000
Liberty Sirius Group C,531229607,16114,522000
Linear Technology Corp,535678106,8189,176000
Live Nation,538034109,839,35700
Lowes,548661107,7521,95000
Lowes,548661107,35231,445000
MSCI,55354G100,10565,137000
Marriott International,571903202,97847,1472269
Marsh & McLennan,571748102,41726,609500
"Mastercard, Inc",57636Q104,13262,150600
Maxim Integrated Products,57772K101,3283,92000
McKesson Corp,58155Q103,1699,9100
Mead Johnson Nutrition,582839106,2750,30300
Merck,58933Y105,323,5600
Microsoft Corp,594918104,8187,160000
Monsanto Co,61166W101,41023,396700
Moody's Corp,615369105,27176,290000
National Oilwell,637071101,20526,610000
Nike,654106103,17664,320000
Norfolk Southern,655844108,19537,229500
Novartis AG-Sponsored ADR,66987V109,305,3700
Novo-Nordisk A/S,670100205,57813,1075000
Oaktree Capital Group LLC,674001201,28848,644500
Oracle Corp,68389X105,26113,638000
Paccar,693718108,6136,118300
Parker-Hannifin Corp,701094104,6159,57000
Patterson Companies Inc.,703395103,8046,168000
Paychex,704326107,8925,150000
Penske Automotive Group,70959W103,975,31000
Pepsico,713448108,15372,145100
Philip Morris International,718172109,11647,114500
Praxair Inc.,74005P104,2562,22800
Priceline Group Inc,741503403,250,200
RLI Corporation,749607107,82348,1197272
Ritchie Bros,767744105,3682,109000
Rockwell  Automation Inc,773903109,6751,58800
"Rollins, Inc.",775711104,9592,327700
S&P Global,78409V104,15767,147000
SEI Investments Co,784117103,11874,246800
Schlumberger,806857108,52390,662500
Stericycle Inc,858912108,729,7000
Synalloy Corporation,871565107,3177,414804
T.Rowe Price,74144T108,803,11000
T.Rowe Price,74144T108,19994,274000
Texas Instruments Inc,882508104,14096,225000
The Carlyle Group,14309L102,6671,411000
The Travelers Companies Inc,89417E109,37498,315000
Unilever PLC ADR,904767704,73187,1527600
Union Pacific,907818108,7381,84600
