Name of Issuer,CUSIP,Value,Shares
3M Company,88579Y101,12011,77000
3M Company,88579Y101,24522,157200
Accenture,G1151C101,14408,67100
Accenture,G1151C101,19819,92300
Activision Blizzard Inc,00507V109,137,1800
Activision Blizzard Inc,00507V109,21404,282000
Albemarle Corp,012653101,5868,76000
Alleghany Corporation,017175100,2117,4328
Alphabet Inc,02079K107,59724,42249
Alphabet Inc,02079K107,134638,95244
Alphabet Inc Class A,02079K305,4680,3300
Alphabet Inc Class A,02079K305,13046,9200
Amazon.com,023135106,92145,33400
Amazon.com,023135106,179439,65042
American Express,025816109,952,10000
American Express,025816109,45120,473950
American Tower,03027X100,259,1000
American Tower,03027X100,12966,50150
Analog Devices Inc,032654105,24965,203565
Analog Devices Inc,032654105,83671,682246
Aon Corporation,G0408V102,7126,37000
Apollo Global Management - A,03768E105,1123,22500
Apollo Global Management - A,03768E105,49421,990000
Apple Inc,037833100,4396,12050
Apple Inc,037833100,105276,288585
Archer Daniels,039483102,23701,594000
Archer Daniels,039483102,35284,884300
Ball Corporation,058498106,3197,46000
Bank of New York Mellon Corp,064058100,13527,350000
Berkshire Hathaway Class B,084670702,134172,751620
Berkshire Hathaway Class B,084670702,139250,780067
"Berkshire Hathaway, Inc.",084670108,155034,580
"Berkshire Hathaway, Inc.",084670108,142738,534
Blackrock Inc,09247X101,6529,12000
Blackrock Inc,09247X101,113280,208200
Blackstone Group,09260D107,1955,34500
Blackstone Group,09260D107,67680,1194500
Brookfield Asset Management,112585104,95235,2894673
Brookfield Asset Management,112585104,191017,5805988
Brown Forman Class A,115637100,28359,492600
Brown Forman Class A,115637100,20173,350400
Brown-Forman Class B,115637209,14435,226750
Brown-Forman Class B,115637209,15752,247437
CVS Corporation,126650100,130,2000
CVS Corporation,126650100,21440,330000
Cable One,12685J105,9229,5200
Carrier Air Conditioning,14448C104,1213,54600
Carrier Air Conditioning,14448C104,3764,169400
Caterpillar Inc,149123101,1265,10000
Caterpillar Inc,149123101,35104,277500
Charles Schwab,808513105,4150,123000
Charles Schwab,808513105,32805,972300
Cisco,17275R102,6903,148000
Cisco,17275R102,9048,194000
Citigroup Inc,172967424,67,1320
Citigroup Inc,172967424,1088,21300
Colfax Corporation,194014106,30273,1085070
Colfax Corporation,194014106,1395,50000
Comcast Corp- Class A,20030n101,4015,103000
Comcast Corp- Class A,20030n101,16333,419000
Costco,22160K105,3942,13000
Costco,22160K105,7929,26150
Crown Holdings Inc,228368106,7555,116000
DR Horton Inc,23331A109,47,850
DR Horton Inc,23331A109,729,13149
Diageo PLC,25243Q205,99220,738300
Diageo PLC,25243Q205,82179,611500
Disney,254687106,60739,544700
Disney,254687106,146934,1317680
Eastman Chemical Company,277432100,418,6000
Ecolab,278865100,4576,23000
Ecolab,278865100,56959,286300
Electronic Arts Inc,285512109,119,900
Electronic Arts Inc,285512109,16414,124300
Equifax Inc,294429105,19594,114000
Facebook,30303M102,4226,18610
Facebook,30303M102,28699,126390
Factset Research,303075105,7555,23000
Factset Research,303075105,30771,93680
General Dynamics,369550108,6576,44000
General Dynamics,369550108,51265,343000
Goldman Sachs,38141G104,3528,17850
Goldman Sachs,38141G104,64217,324950
Graham Holdings Co,384637104,1782,5200
Guidewire Software Inc,40171V100,1441,13000
Healthcare Services Group,421906108,489,20000
Healthcare Services Group,421906108,16596,678500
Heico Corp Class A,422806208,626,7702
Heico Corp Class A,422806208,27251,335442
Hexcel Corp,428291108,181,4000
Hexcel Corp,428291108,8366,185000
Home Depot,437076102,29310,117000
Home Depot,437076102,201160,803000
Illinois Tool Works,452308109,14862,85000
Illinois Tool Works,452308109,42401,242500
Illumina Inc,452327109,1481,4000
InterActiveCorp,44919P508,525,1650
Intl Flavors & Fragrances,459506101,1837,15000
Intl Flavors & Fragrances,459506101,11266,92000
Investors Title Company,461804106,25878,213300
JP Morgan,46625H100,20444,217350
John Deere,244199105,118774,755800
Johnson and Johnson,478160104,16060,114200
Johnson and Johnson,478160104,69837,496600
KKR & Co LLC,48251W104,1915,62000
KKR & Co LLC,48251W104,40681,1317400
Lamar Advertising Company,512816109,567,8500
Lennar Corp - B,526057302,599,13000
Liberty Broadband A,530307107,2658,21750
Liberty Broadband A,530307107,22422,183500
Liberty Broadband Class C,530307305,5064,40853
Liberty Broadband Class C,530307305,16271,131260
Liberty Global PLC,G5480U104,66,3000
Liberty Global PLC,G5480U104,3847,176000
Liberty Sirius Group A,531229409,1795,52000
Liberty Sirius Group A,531229409,12910,374000
Liberty Sirius Group C,531229607,4616,134000
Liberty Sirius Group C,531229607,13367,388000
Linde PLC,G5494J103,1251,5900
Linde PLC,G5494J103,18772,88500
Lowes,548661107,34726,257000
Lowes,548661107,44792,331500
MSCI,55354G100,334,1000
MSCI,55354G100,45400,136000
Marsh & McLennan,571748102,1879,17500
Marsh & McLennan,571748102,63563,592000
"Mastercard, Inc",57636Q104,10645,36000
"Mastercard, Inc",57636Q104,50674,171370
Maxim Integrated Products,57772K101,4243,70000
Maxim Integrated Products,57772K101,11031,182000
Microchip Technology,595017104,421,4000
Microchip Technology,595017104,16744,159000
Microsoft Corp,594918104,17298,85000
Microsoft Corp,594918104,80106,393620
Mohawk Industries,608190104,509,5000
Mohawk Industries,608190104,29510,290000
Moody's Corp,615369105,28572,104000
Moody's Corp,615369105,29418,107080
NVR Inc,62944T105,326,100
NVR Inc,62944T105,30616,9395
Nike,654106103,8040,82000
Nike,654106103,27846,284000
Norfolk Southern,655844108,12817,73000
Norfolk Southern,655844108,27477,156500
Novo-Nordisk A/S,670100205,34377,525000
Novo-Nordisk A/S,670100205,36014,550000
Otis Elevator,68902V107,1552,27300
Otis Elevator,68902V107,4816,84700
Owens-Illinois Inc,67098H104,3987,444000
PayPal Holdings Inc,70450Y103,319,1830
Paychex,704326107,5302,70000
Paychex,704326107,6060,80000
Pepsico,713448108,12644,95600
Philip Morris International,718172109,8022,114500
Progressive Corp,743315103,4807,60000
Progressive Corp,743315103,49228,614500
RLI Corporation,749607107,30952,377000
RLI Corporation,749607107,67344,820272
Raytheon Technologies Ord,75513E101,3364,54600
Raytheon Technologies Ord,75513E101,10438,169400
Rockwell  Automation Inc,773903109,1683,7900
Rockwell  Automation Inc,773903109,28585,134200
"Rollins, Inc.",775711104,1554,36650
"Rollins, Inc.",775711104,33581,792200
S&P Global,78409V104,329,1000
S&P Global,78409V104,48104,146000
SEI Investments Co,784117103,3244,59000
SEI Investments Co,784117103,17825,324200
Shake Shack Inc - Class A,819047101,159,3000
Shake Shack Inc - Class A,819047101,1462,27600
Sherwin Williams,824348106,17913,31000
Starbucks Corp,855244109,2980,40500
Starbucks Corp,855244109,35862,487318
Stericycle Inc,858912108,1399,25000
Stericycle Inc,858912108,31836,568700
T.Rowe Price,74144T108,3952,32000
T.Rowe Price,74144T108,34827,282000
Texas Instruments Inc,882508104,22347,176000
Texas Instruments Inc,882508104,69580,548000
The Carlyle Group,14316J108,1242,44500
The Carlyle Group,14316J108,32852,1177500
TransUnion,89400J107,261,3000
TransUnion,89400J107,7964,91500
Trupanion,898202106,213,5000
Trupanion,898202106,5477,128300
Twitter Inc,90184l102,253,8500
Tyson Foods,902494103,299,5000
Tyson Foods,902494103,21734,364000
Union Pacific,907818108,1877,11100
Union Pacific,907818108,12557,74270
Verisk Analytics Inc,92345Y106,170,1000
Verisk Analytics Inc,92345Y106,12425,73000
Visa,92826C839,35949,186100
Visa,92826C839,148847,770550
WR Berkley Corp,084423102,1547,27000
Watsco Inc,942622200,4816,27100
Watsco Inc,942622200,65731,369900
Wells Fargo,949746101,819,32000
Wells Fargo,949746101,4184,163450
Whirlpool Corp,963320106,677,5230
Whirlpool Corp,963320106,34417,265709
