Name of Issuer,CUSIP,Value,Shares
3M Company,88579Y101,15803,75000
3M Company,88579Y101,27182,129000
Accenture,G1151C101,11420,67100
Accenture,G1151C101,15709,92300
Activision Blizzard Inc,00507V109,150,1800
Activision Blizzard Inc,00507V109,3660,44000
Albemarle Corp,012653101,7284,73000
Alleghany Corporation,017175100,2824,4328
Alphabet Inc,02079K107,12829,10749
Alphabet Inc,02079K107,122999,103060
Alphabet Inc Class A,02079K305,3983,3300
Alphabet Inc Class A,02079K305,11105,9200
Amazon.com,023135106,17827,8900
Amazon.com,023135106,161081,80420
American Express,025816109,1065,10000
American Express,025816109,40040,376000
American Tower,03027X100,145,1000
American Tower,03027X100,5013,34500
Analog Devices Inc,032654105,10593,114565
Analog Devices Inc,032654105,50413,545246
Anthem Inc,036752103,7947,29000
Anthem Inc,036752103,53440,195000
Aon Corporation,G0408V102,5690,37000
Apollo Global Management - A,037612306,777,22500
Apollo Global Management - A,037612306,32650,945000
Apple Inc,037833100,2720,12050
Apple Inc,037833100,32128,142325
Archer Daniels,039483102,12618,251000
Archer Daniels,039483102,60942,1212300
Automatic Data Processing,053015103,13107,87000
Automatic Data Processing,053015103,66848,443700
Autonation Inc,05329W102,50,1200
Autonation Inc,05329W102,1093,26310
Berkshire Hathaway Class B,084670702,103976,485620
Berkshire Hathaway Class B,084670702,220850,1031477
"Berkshire Hathaway, Inc.",084670108,144960,453
"Berkshire Hathaway, Inc.",084670108,205760,643
Blackrock Inc,09247X101,5656,12000
Blackrock Inc,09247X101,86489,183500
Blackstone Group,09253U108,1314,34500
Blackstone Group,09253U108,41069,1078500
Boeing Co,097023105,4426,11900
Boeing Co,097023105,30682,82500
Booking Holdings Inc,09857L108,496,250
Brookfield Asset Management,112585104,39889,895782
Brookfield Asset Management,112585104,212331,4768259
Brown Forman Class A,115637100,16439,323600
Brown Forman Class A,115637100,26386,519400
Brown-Forman Class B,115637209,11462,226750
Brown-Forman Class B,115637209,12508,247437
CDK Global Inc,12508E101,2648,42333
CDK Global Inc,12508E101,8418,134564
CME Group Inc,12572Q105,851,5000
CME Group Inc,12572Q105,22127,130000
CVS Corporation,126650100,157,2000
CVS Corporation,126650100,21491,273000
Cable One,12685J105,4595,5200
Carmax,143130102,98892,1324386
Carmax,143130102,267967,3588684
Caterpillar Inc,149123101,1525,10000
Caterpillar Inc,149123101,40867,268000
Charles Schwab,808513105,5898,120000
Charles Schwab,808513105,46058,937100
Chipotle Mexican Grill Inc,169656105,12363,27200
Choice Hotels Intl Inc,169905106,250,3000
Choice Hotels Intl Inc,169905106,9288,111500
Cisco,17275R102,7200,148000
Cisco,17275R102,9438,194000
Citigroup Inc,172967424,95,1320
Citigroup Inc,172967424,757,10550
Colfax Corporation,194014106,39128,1085070
Colfax Corporation,194014106,1803,50000
Comcast Corp- Class A,20030N101,3647,103000
Comcast Corp- Class A,20030N101,10375,293000
Costco,22160K105,3053,13000
Costco,22160K105,6107,26000
Crown Holdings Inc,228368106,528,11000
DR Horton Inc,23331A109,36,850
DR Horton Inc,23331A109,319,7557
Delta Air Lines,247361702,347,6000
Delta Air Lines,247361702,2371,41000
Diageo PLC,25243Q205,63369,447300
Diageo PLC,25243Q205,127857,902500
Discovery Communications,25470F302,444,15000
Discovery Communications,25470F302,34194,1156000
Disney,254687106,12828,109700
Disney,254687106,197570,1689500
Dollar Tree Inc,256746108,1060,13000
Dollar Tree Inc,256746108,8970,110000
Ecolab,278865100,3606,23000
Ecolab,278865100,38584,246100
Electronic Arts Inc,285512109,108,900
Electronic Arts Inc,285512109,4036,33500
Facebook,30303M102,3061,18610
Facebook,30303M102,19474,118410
Factset Research,303075105,5145,23000
Factset Research,303075105,20805,93000
General Dynamics,369550108,9008,44000
General Dynamics,369550108,70219,343000
Goldman Sachs,38141G104,4003,17850
Goldman Sachs,38141G104,23254,103700
Graham Holdings Co,384637104,3012,5200
"Hasbro, Inc",418056107,10975,104400
"Hasbro, Inc",418056107,27289,259600
Healthcare Services Group,421906108,203,5000
Healthcare Services Group,421906108,5199,128000
Heico Corp Class A,422806208,582,7702
Heico Corp Class A,422806208,21324,282443
Hershey Foods,427866108,551,5400
Hershey Foods,427866108,1907,18700
Hexcel Corp,428291108,268,4000
Hexcel Corp,428291108,8582,128000
Home Depot,437076102,7665,37000
Home Depot,437076102,182913,883000
Illinois Tool Works,452308109,11995,85000
Illinois Tool Works,452308109,20462,145000
Illumina Inc,452327109,367,1000
Intl Flavors & Fragrances,459506101,2087,15000
Intl Flavors & Fragrances,459506101,6747,48500
Investors Title Company,461804106,35813,213300
JP Morgan,46625H100,20650,183000
John Deere,244199105,3758,25000
John Deere,244199105,160913,1070400
Johnson and Johnson,478160104,24898,180200
Johnson and Johnson,478160104,59496,430600
KKR & Co LLC,48251W104,491,18000
KKR & Co LLC,48251W104,33269,1220000
Liberty Broadband A,530307107,1666,19750
Liberty Broadband A,530307107,15643,185500
Liberty Broadband Class C,530307305,3444,40853
Liberty Broadband Class C,530307305,11065,131260
Liberty Global PLC,G5480U104,87,3000
Liberty Global PLC,G5480U104,5063,175000
Liberty Latin America,G9001E102,411,19720
Liberty Media Group A,531229870,676,19000
Liberty Media Group A,531229870,7490,210500
Liberty Media Group C,531229854,1079,29000
Liberty Media Group C,531229854,8572,230500
Liberty Sirius Group A,531229409,2259,52000
Liberty Sirius Group A,531229409,16247,374000
Liberty Sirius Group C,531229607,5822,134000
Liberty Sirius Group C,531229607,16859,388000
Live Nation,538034109,572,10500
Live Nation,538034109,25993,477200
Lowes,548661107,24916,217000
Lowes,548661107,40531,353000
MSCI,55354G100,177,1000
MSCI,55354G100,24128,136000
Marriott International,571903202,24247,183648
Marriott International,571903202,177926,1347621
Marsh & McLennan,571748102,1448,17500
Marsh & McLennan,571748102,48970,592000
"Mastercard, Inc",57636Q104,8014,36000
"Mastercard, Inc",57636Q104,32523,146100
Maxim Integrated Products,57772K101,3947,70000
Maxim Integrated Products,57772K101,10207,181000
McKesson Corp,58155Q103,491,3700
McKesson Corp,58155Q103,4431,33400
Microchip Technology,595017104,316,4000
Microchip Technology,595017104,8601,109000
Microsoft Corp,594918104,9493,83000
Microsoft Corp,594918104,34768,304000
Mohawk Industries,608190104,5260,30000
Moody's Corp,615369105,7858,47000
Moody's Corp,615369105,25582,153000
NXP Semiconductors NV,N6596X109,2394,28000
Nike,654106103,6947,82000
Nike,654106103,24060,284000
Norfolk Southern,655844108,13176,73000
Norfolk Southern,655844108,28248,156500
Novo-Nordisk A/S,670100205,24748,525000
Novo-Nordisk A/S,670100205,25927,550000
Oaktree Capital Group LLC,674001201,2401,58000
Oaktree Capital Group LLC,674001201,39806,961500
Parker-Hannifin Corp,701094104,1122,6100
Parker-Hannifin Corp,701094104,20692,112500
Paychex,704326107,5155,70000
Paychex,704326107,5892,80000
Penske Automotive Group,70959W103,1185,25000
Penske Automotive Group,70959W103,2227,47000
Pepsico,713448108,2124,19000
Pepsico,713448108,14154,126600
Philip Morris International,718172109,9336,114500
Praxair Inc.,74005P104,948,5900
Praxair Inc.,74005P104,14225,88500
Progressive Corp,743315103,3907,55000
Progressive Corp,743315103,26249,369500
RLI Corporation,749607107,94082,1197272
Rockwell Automation Inc,773903109,1106,5900
Rockwell Automation Inc,773903109,22859,121900
"Rollins, Inc.",775711104,1463,24100
"Rollins, Inc.",775711104,30199,497600
S&P Global,78409V104,195,1000
S&P Global,78409V104,28527,146000
SEI Investments Co,784117103,3605,59000
SEI Investments Co,784117103,16509,270200
Scotts Miracle-Gro Co,810186106,2756,35000
Scotts Miracle-Gro Co,810186106,10550,134000
Sensata Technologies Holding,N7902X106,99,2000
Sensata Technologies Holding,N7902X106,3964,80000
Shake Shack Inc - Class A,819047101,189,3000
Shake Shack Inc - Class A,819047101,1771,28100
Southwest Airlines,844741108,1062,17000
Southwest Airlines,844741108,3934,63000
Starbucks Corp,855244109,2188,38500
Starbucks Corp,855244109,21677,381368
Stericycle Inc,858912108,1467,25000
Stericycle Inc,858912108,21976,374500
Synalloy Corporation,871565107,9478,414804
Synchrony Financial,87165B103,30,950
Synchrony Financial,87165B103,210,6756
T.Rowe Price,74144T108,3494,32000
T.Rowe Price,74144T108,30789,282000
Texas Instruments Inc,882508104,11587,108000
Texas Instruments Inc,882508104,56542,527000
The Carlyle Group,14309L102,778,34500
The Carlyle Group,14309L102,23802,1055500
The Travelers Companies Inc,89417E109,40859,315000
Tyson Foods,902494103,13454,226000
Unilever PLC ADR,904767704,220,4000
Unilever PLC ADR,904767704,83752,1523600
Union Pacific,907818108,1807,11100
Union Pacific,907818108,12093,74270
United Health Group Inc,91324P102,12823,48200
United Health Group Inc,91324P102,163561,614800
United Technologies,913017109,7634,54600
United Technologies,913017109,23544,168400
Verisk Analytics Inc,92345Y106,121,1000
Verisk Analytics Inc,92345Y106,8680,72000
Verizon,92343V104,961,18000
Verizon,92343V104,4004,75000
Visa,92826C839,13373,89100
Visa,92826C839,125370,835300
WR Berkley Corp,084423102,1439,18000
Walgreens Boots Alliance Inc,931427108,55623,763000
Walgreens Boots Alliance Inc,931427108,100966,1385000
Watsco Inc,942622200,3936,22100
Watsco Inc,942622200,48069,269900
Wells Fargo,949746101,894,17000
Wells Fargo,949746101,1945,37000
Whirlpool Corp,963320106,27,230
Whirlpool Corp,963320106,2333,19649
