Name of Issuer,CUSIP,Value,Shares
3M Company,88579y101,4207,30000
3M Company,88579y101,24642,175700
Accenture,G1151C101,822,10000
Accenture,G1151C101,8584,104400
Air Products & Chemicals,009158106,2794,25000
Alleghany Corporation,017175100,1731,4328
Alliance Holdings GP,01861G100,9762,166500
Amazon.com,023135106,6261,15700
American Express,025816109,907,10000
American Express,025816109,31075,342500
Anheuser-Busch Inbev ADR,03524A108,43819,411600
Apollo Global Management - A,037612306,4909,155300
Apollo Group,037604105,2869,105000
Arch Coal Inc,039380100,1095,246000
Archer Daniels,039483102,60057,1383800
Automatic Data Processing,053015103,42993,532100
Bank of New York Mellon Corp,064058100,3899,111603
Berkshire Hathaway Class B,084670702,57513,485100
Berkshire Hathaway Class B,084670702,123558,1042157
"Berkshire Hathaway, Inc.",084670108,48922,275
"Berkshire Hathaway, Inc.",084670108,145700,819
Blackrock Inc,09247X101,18798,59400
Blackstone Group,09253U108,9274,294400
Brookfield Asset Management,112585104,16697,430000
Brookfield Asset Management,112585104,108241,2787573
Brookfield Property Partners,G16249107,3442,172624
Brown & Brown,115236101,11477,365628
Brown Forman Class A,115637100,31388,425490
Brown-Forman Class B,115637209,8039,106372
Calumet,131476103,260,10000
Calumet,131476103,1093,42000
Capital One,14040H105,14357,187400
Carlyle Group,14309L102,6982,196000
Carmax,143130102,11050,235000
Carmax,143130102,225286,4791288
Caterpillar Inc,149123101,21976,242000
Charles Schwab,808513105,25992,999700
Chevron,166764100,11866,95000
Coca Cola Co,191216100,5449,131900
Colfax Corporation,194014106,69108,1085070
Copart Inc,217204106,10262,280000
Core Labs NV,N22717107,1909,10000
Costco,22160K105,595,5000
Costco,22160K105,4082,34300
Diageo PLC,25243Q205,43500,328500
Diageo PLC,25243Q205,116837,882320
Disney,254687106,115249,1508500
ENI Spa ADR,26874R108,8098,167000
Ecolab,278865100,5881,56400
Emerson Electric,291011104,11432,162900
Enterprise Products Lmtd Ptnsh,293792107,418,6300
Expeditors Int'l Wash Inc,302130109,6062,137000
Exxon Corporation,30231G102,20220,199800
Exxon Corporation,30231G102,68560,677466
Factset Research,303075105,6080,56000
Fairfax Financial Holdings Ltd,303901102,78853,197104
Fairfax Financial Holdings Ltd,303901102,32947,82355
Federated Investors,314211103,288,10000
Federated Investors,314211103,61796,2145700
Fidelity National Financial,31620R105,2586,79700
General Dynamics,369550108,38067,398400
General Electric,369604103,72830,2598300
Google,38259P508,14009,12500
Graham Holdings Co,384637104,3516,5300
"Hasbro, Inc",418056107,12036,218800
Heritage Crystal Clean Inc,42726M106,5317,259500
Home Depot,437076102,1647,20000
Home Depot,437076102,75415,915900
Illinois Tool Works,452308109,20280,241200
Intel,458140100,1557,60000
Intel,458140100,24364,938700
International Business Machine,459200101,1876,10000
International Business Machine,459200101,2663,14200
International Game Technology,459902102,4540,250000
International Game Technology,459902102,14196,781700
Investors Title Company,461804106,17500,216100
Johnson and Johnson,478160104,5037,55000
Johnson and Johnson,478160104,48140,525600
KKR & Co LLC,48248M102,7059,290000
Liberty Media,531229102,19603,134000
Loews Corporation,540424108,11336,235000
Lowes,548661107,4707,95000
Lowes,548661107,23061,465400
MSCI,55354g100,219,5000
Marriott International,571903202,0,0
Marriott International,571903202,66255,1342533
"Mastercard, Inc",57636Q104,6684,8000
Mattel,577081102,8826,185500
McDonalds,580135101,17921,184700
McGraw Hill Financial,580645109,2346,30000
Microsoft Corp,594918104,30867,825100
Monsanto Co,61166W101,4161,35700
Moody's Corp,615369105,13921,177400
Mosaic Company,61945c103,7327,155000
National Oilwell,637071101,19246,242000
Nike,654106103,9468,120400
Norfolk Southern,655844108,8763,94400
Northern Trust Corp,665859104,8665,140000
Novo-Nordisk A/S,670100205,40869,221200
"Oneok,Inc",682680103,622,10000
Oracle Corp,68389x105,24544,641500
Patterson Companies Inc.,703395103,5974,145000
Paychex,704326107,6870,150900
Peabody Energy,704549104,5078,260000
Pepsico,713448108,10807,130300
Philip Morris International,718172109,9976,114500
Potash Corp,73755L107,2637,80000
Procter & Gamble,742718109,3411,41900
RLI Corporation,749607107,58551,601260
"Rollins, Inc.",775711104,1424,47000
"Ross Stores, Inc",778296103,1723,23000
SEI Investments Co,784117103,6946,200000
Schlumberger,806857108,15679,174000
Starz Liberty Capital,85571Q102,351,12000
Synalloy Corporation,871565107,7455,485343
Synalloy Corporation,871565107,4608,300000
Sysco Corp,871829107,372,10300
T.Rowe Price,74144T108,921,11000
T.Rowe Price,74144T108,20063,239500
Target,87612E106,1518,24000
Teva Pharmaceuticals,881624209,28052,699900
Unilever PLC ADR,904767704,8940,217000
United Health Group Inc,91324P102,45700,606900
United Parcel Service,911312106,77318,735800
United Technologies,913017109,6100,53600
Universal Technical Institute,913915104,320,23000
Visa,92826C839,30418,136600
W.P. Carey,92936U109,2761,45000
W.P. Carey,92936U109,55718,908200
Wal-Mart Stores,931142103,88920,1130000
Walgreen,931422109,123350,2147450
Wellpoint Inc,94973V107,9793,106000
