Name of Issuer,CUSIP,Value,Shares
3M Company,88579Y101,4999,30000
3M Company,88579Y101,28994,174000
Aaron's Inc,002535300,8183,326000
Accenture,G1151C101,1154,10000
Accenture,G1151C101,14921,129300
Alleghany Corporation,017175100,2148,4328
Alphabet Inc,02079K107,17157,23031
Alphabet Inc Class A,02079K305,9536,12500
Amazon.com,023135106,5343,9000
American Express,025816109,614,10000
American Express,025816109,23086,376000
American Tower,03027X100,2047,20000
Analog Devices Inc,032654105,3315,56000
Anthem Inc,036752103,31134,224000
Aon Corporation,G0408V102,3865,37000
Apollo Global Management - A,037612306,6625,387000
Apple Inc,037833100,2845,26100
Archer Daniels,039483102,51971,1431300
Automatic Data Processing,053015103,47609,530700
Baxter International Inc,071813109,904,22000
Becton Dickinson,075887109,1366,9000
Berkshire Hathaway Class B,084670702,68826,485100
Berkshire Hathaway Class B,084670702,145641,1026507
"Berkshire Hathaway, Inc.",084670108,58699,275
"Berkshire Hathaway, Inc.",084670108,172681,809
Blackrock Inc,09247X101,51767,152000
Blackstone Group,09253U108,13660,487000
Boeing Co,097023105,647,5100
Bristol Myers Squibb,110122108,639,10000
Brookfield Asset Management,112585104,22440,645000
Brookfield Asset Management,112585104,153181,4403021
Brown Forman Class A,115637100,44970,421500
Brown-Forman Class B,115637209,10376,105375
Bunge Limited,G16962105,669,11800
CDK Global Inc,12508E101,8235,176897
CME Group Inc,12572Q105,11142,116000
CR Bard,067383109,1824,9000
CSX Corporation,126408103,2317,90000
CVS Corporation,126650100,25621,247000
Cable One,12685J105,2273,5200
Capital One Financial Corp,14040H105,8733,126000
Carbo Ceramics Inc,140781105,3053,215000
Carmax,143130102,12008,235000
Carmax,143130102,239049,4678070
Caterpillar Inc,149123101,21278,278000
Charles Schwab,808513105,29617,1057000
Cisco,17275R102,1794,63000
Colfax Corporation,194014106,31022,1085070
Colfax Corporation,194014106,1429,50000
Copart Inc,217204106,39343,965000
Core Labs NV,N22717107,12365,110000
Costco,22160K105,788,5000
Costco,22160K105,5358,34000
Culp Inc,230215105,793,30227
Cummins Inc.,231021106,4123,37500
Diageo PLC,25243Q205,35435,328500
Diageo PLC,25243Q205,103361,958200
Discovery Communications,25470F302,19926,738000
Disney,254687106,158022,1591200
Ecolab,278865100,18066,162000
Emerson Electric,291011104,8592,158000
Exxon Corporation,30231G102,16701,199800
Exxon Corporation,30231G102,62275,745000
Facebook,30303M102,1597,14000
Factset Research,303075105,24851,164000
Federated Investors,314211103,21320,739000
General Dynamics,369550108,50840,387000
Genesee and Wyoming,371559105,690,11000
Goldman Sachs,38141G104,565,3600
Graham Holdings Co,384637104,2496,5200
Halliburton,406216101,8716,244000
Harley Davidson,412822108,14988,292000
"Hasbro, Inc",418056107,29156,364000
Hershey Foods,427866108,1510,16400
Home Depot,437076102,2669,20000
Home Depot,437076102,120087,900000
Illinois Tool Works,452308109,23561,230000
Investors Title Company,461804106,19425,213300
JP Morgan,46625H100,10837,183000
John Deere,244199105,84104,1092400
Johnson and Johnson,478160104,5951,55000
Johnson and Johnson,478160104,60138,555800
KKR & Co LLC,48248M102,7830,533000
Liberty Broadband A,530307107,5016,86250
Liberty Broadband Class C,530307305,9974,172113
Liberty Global PLC,G5480U104,4543,118000
Liberty Media,531229102,16456,426000
Liberty Media Corp Class C,531229300,19883,522000
Linear Technology Corp,535678106,2941,66000
Live Nation,538034109,745,33400
Lowes,548661107,7196,95000
Lowes,548661107,33709,445000
MSCI,55354G100,10149,137000
Marriott International,571903202,103337,1451769
Marsh & McLennan,571748102,35836,589500
"Mastercard, Inc",57636Q104,13570,143600
Mattel,577081102,21382,636000
Maxim Integrated Products,57772K101,736,20000
McGraw Hill Financial,580645109,14550,147000
Mead Johnson Nutrition,582839106,2447,28800
Microsoft Corp,594918104,3535,64000
Monsanto Co,61166W101,34806,396700
Moody's Corp,615369105,28002,290000
National Oilwell,637071101,18971,610000
Nike,654106103,19670,320000
Norfolk Southern,655844108,17358,208500
Novartis AG-Sponsored ADR,66987V109,268,3700
Novo-Nordisk A/S,670100205,58254,1075000
Now Inc,67011P100,2100,118500
Oaktree Capital Group LLC,674001201,29080,589500
Oracle Corp,68389X105,26101,638000
Paccar,693718108,6470,118300
Parker-Hannifin Corp,701094104,5132,46200
Patterson Companies Inc.,703395103,7817,168000
Paychex,704326107,8101,150000
Pepsico,713448108,14275,139300
Philip Morris International,718172109,11234,114500
Praxair Inc.,74005P104,1625,14200
Procter & Gamble,742718109,10453,127000
RLI Corporation,749607107,80050,1197272
Rent-A-Center,76009N100,3772,238000
Ritchie Bros,767744105,2952,109000
Rockwell  Automation Inc,773903109,5710,50200
"Rollins, Inc.",775711104,8193,302100
"Ross Stores, Inc",778296103,2663,46000
SEI Investments Co,784117103,10332,240000
Schlumberger,806857108,48859,662500
Synalloy Corporation,871565107,3844,485343
Synalloy Corporation,871565107,1625,205138
T.Rowe Price,74144T108,808,11000
T.Rowe Price,74144T108,20128,274000
Texas Instruments Inc,882508104,3158,55000
The Carlyle Group,14309L102,6735,399000
The Travelers Companies Inc,89417E109,36764,315000
Unilever PLC ADR,904767704,68940,1525900
Union Pacific,907818108,5449,68500
United Health Group Inc,91324P102,85461,663000
United Technologies,913017109,6186,61800
VF Corp,918204108,207,3200
Verisk Analytics Inc,92345Y106,4156,52000
Visa,92826C839,65367,854700
W.P. Carey,92936U109,2801,45000
W.P. Carey,92936U109,56340,905200
Walgreens Boots Alliance Inc,931427108,179852,2135000
Watsco Inc,942622200,17166,127400
Wesco Aircraft Holdings,950814103,4130,287000
