Name of Issuer,CUSIP,Value,Shares,Ratio
ARCOS DORADOS HOLDINGS INC,G0457F107,22801,3060500,0.000987299640006502
AUTONATION INC,05329W102,80050,1898717,0.003466222366673413
BERKSHIRE HATHAWAY INC DEL,084670702,10052105,59349971,0.4352633501954984
CANADIAN NATL RY CO,136375102,1388133,17126874,0.06010715368541492
CATERPILLAR INC DEL,149123101,1210092,11260857,0.052397850794910224
COCA COLA FEMSA S A B DE C V,191241108,526200,6214719,0.022784837093610868
CROWN CASTLE INTL CORP NEW,22822V101,534250,5332900,0.023133407862526805
ECOLAB INC,278865100,579643,4366426,0.025098957292762986
FEDEX CORP,31428X106,657423,3024999,0.02846688703267377
GRUPO TELEVISA SA,40049J206,411344,16879104,0.017811489983721528
LIBERTY GLOBAL PLC,G5480U120,113475,3639349,0.004913548820215685
LIBERTY GLOBAL PLC,G5480U104,68079,2119515,0.0029478694878295976
LIBERTY GLOBAL PLC,G5480U138,8064,370424,0.000349176978948837
LIBERTY GLOBAL PLC,G5480U153,13618,636044,0.0005896691591425177
MICROSOFT CORP,594918104,4411520,64000000,0.19102197745193122
UNITED PARCEL SERVICE INC,911312106,500456,4525329,0.021670103444546028
WAL-MART STORES INC,931142103,878115,11603000,0.03802300878840005
WALGREENS BOOTS ALLIANCE INC,931427108,272158,3475398,0.011784636438089977
WASTE MGMT INC DEL,94106L109,1366780,18633672,0.05918255348309666
