Name of Issuer,CUSIP,Value,Shares,Ratio
ARCOS DORADOS HOLDINGS INC,G0457F107,16527,3060500,0.0008689367189355385
AUTONATION INC,05329W102,92373,1898717,0.004856676440868428
BERKSHIRE HATHAWAY INC DEL,084670702,11302658,69349971,0.5942575517498951
CANADIAN NATL RY CO,136375102,1154351,17126874,0.06069207783868566
CATERPILLAR INC DEL,149123101,1044332,11260857,0.05490763124338288
COCA COLA FEMSA S A B DE C V,191241108,394883,6214719,0.020761683208290815
CROWN CASTLE INTL CORP NEW,22822V101,462736,5332900,0.02432917659426123
ECOLAB INC,278865100,511832,4366426,0.026910487004672027
FEDEX CORP,31428X106,563255,3024999,0.02961414362098607
GRUPO TELEVISA SA,40049J206,352604,16879104,0.01853878882093221
LIBERTY GLOBAL PLC,G5480U104,64836,2119515,0.0034088691903494026
LIBERTY GLOBAL PLC,G5480U120,108089,3639349,0.005682973377686418
LIBERTY GLOBAL PLC,G5480U138,8135,370424,0.000427712241092794
LIBERTY GLOBAL PLC,G5480U153,13465,636044,0.0007079465674633646
UNITED PARCEL SERVICE INC,911312106,518784,4525329,0.027276000895277694
WAL-MART STORES INC,931142103,801999,11603000,0.04216653837051994
WALGREENS BOOTS ALLIANCE INC,931427108,287624,3475398,0.0151223485718591
WASTE MGMT INC DEL,94106L109,1321314,18633672,0.06947045754484131
