Name of Issuer,CUSIP,Value,Shares,Ratio
AIR PRODS & CHEMS INC,009158106,102657,963279,0.005273610847619786
AUTONATION INC,05329W102,99056,1898716,0.005088623241686641
BERKSHIRE HATHAWAY INC DEL,084670702,9879888,87039804,0.5075414684830898
BP PLC,055622104,303720,7226278,0.015602453672317341
CANADIAN NATL RY CO,136375102,868076,8563437,0.04459408525632342
CATERPILLAR INC DEL,149123101,897133,10760857,0.046086777526692595
COCA COLA CO,191216100,1287996,34002000,0.06616586961718045
COCA COLA FEMSA SAB DE CV,191241108,782930,6214719,0.04022003507726662
CROWN CASTLE INTL CORP,228227104,389462,5332900,0.020007121072461664
DIAMOND FOODS INC,252603105,10403,441163,0.0005344143472708985
ECOLAB INC,278865100,431228,4366425,0.022152689622698743
EXXON MOBIL CORP,30231G102,657678,7643858,0.033785692500666153
FEDEX CORP,31428X106,345183,3024999,0.017732456756129056
GRUPO TELEVISA SA,40049J206,471771,16879103,0.024235431224294827
LIBERTY GLOBAL PLC,G5480U104,168184,2119515,0.008639809918428222
LIBERTY GLOBAL PLC,G5480U120,53292,706507,0.0027376727285168437
MCDONALDS CORP,580135101,949833,9872500,0.0487940385188272
PROCTER & GAMBLE CO,742718109,113385,1500000,0.00582472082719512
REPUBLIC SVCS INC,760759100,45036,1350000,0.0023135522968078617
TOYOTA MOTOR CORP,892331307,19627,153300,0.0010082620776589374
WAL-MART STORES INC,931142103,821178,11103000,0.04218487982920522
WASTE MGMT INC DEL,94106L109,768453,18633672,0.03947633455766258
