Name of Issuer,CUSIP,Value,Shares,Ratio
ARCOS DORADOS HOLDINGS INC,G0457F107,19128,3060500,0.0007409302858508113
AUTONATION INC,05329W102,78892,1898717,0.003055911339990705
BERKSHIRE HATHAWAY INC DEL,084670702,13291729,62078974,0.5148601300408573
CANADIAN NATL RY CO,136375102,1537993,17126874,0.05957473824375506
CATERPILLAR INC DEL,149123101,1717168,11260857,0.0665151493670988
COCA COLA FEMSA S A B DE C V,191241108,380589,6214719,0.014742258289506191
CROWN CASTLE INTL CORP NEW,22822V101,593712,5332900,0.022997657981652913
ECOLAB INC,278865100,684568,4366426,0.02651699936869083
FEDEX CORP,31428X106,728390,3024999,0.028214461047201614
GRUPO TELEVISA SA,40049J206,299435,16879104,0.011598727527380682
LIBERTY GLOBAL PLC,G5480U104,61318,2119515,0.0023751758295587643
LIBERTY GLOBAL PLC,G5480U120,102484,3639349,0.003969756347508079
LIBERTY LATIN AMERICA LTD,G9001E102,7720,370424,0.000299037108258483
LIBERTY LATIN AMERICA LTD,G9001E128,13122,636044,0.0005082856132859863
MICROSOFT CORP,594918104,2744880,24000000,0.10632396084411204
UNITED PARCEL SERVICE INC,911312106,528332,4525329,0.020465139051867986
WALMART INC,931142103,1089638,11603000,0.04220753841561618
WALGREENS BOOTS ALLIANCE INC,931427108,253357,3475398,0.009813878838995399
WASTE MGMT INC DEL,94106L109,1683739,18633672,0.06522026445881217
