Name of Issuer,CUSIP,Value,Shares,Ratio
ALIBABA GROUP HLDG LTD,01609W102,107427,552383,0.006191043189653667
ALPHABET INC,02079K305,50088,43107,0.0028865831800513175
ALPHABET INC,02079K107,49979,42981,0.0028803014845029708
AMAZON COM INC,023135106,117880,60460,0.006793452029716685
APPLE INC,037833100,127410,501044,0.007342668163439114
ARCOS DORADOS HOLDINGS INC,G0457F107,10222,3060500,0.0005890962559192734
BERKSHIRE HATHAWAY INC DEL,084670702,8211357,44912525,0.47322242855767144
CANADIAN NATL RY CO,136375102,1329559,17126874,0.07662279680334311
CATERPILLAR INC DEL,149123101,1306710,11260857,0.0753060035778002
COCA COLA FEMSA S A B DE C V,191241108,250018,6214719,0.014408595941344639
CROWN CASTLE INTL CORP NEW,22822V101,770071,5332900,0.044379372225788576
ECOLAB INC,278865100,680420,4366426,0.039212764082624925
FEDEX CORP,31428X106,366811,3024999,0.02113940390628102
GRUPO TELEVISA SA,40049J206,97899,16879104,0.005641942316400014
LIBERTY GLOBAL PLC,G5480U104,34993,2119515,0.002016654791956871
LIBERTY GLOBAL PLC,G5480U120,57174,3639349,0.003294951020928247
LIBERTY LATIN AMERICA LTD,G9001E102,3897,370424,0.00022458502341199456
LIBERTY LATIN AMERICA LTD,G9001E128,6526,636044,0.0003760949096193679
SCHRODINGER INC,80810D103,301049,6981665,0.017349524432424313
TWITTER INC,90184L102,6691,272420,0.0003856038982934708
UNITED PARCEL SERVICE INC,911312106,422756,4525329,0.024363527369145797
WALMART INC,931142103,1318333,11603000,0.07597583979209778
WASTE MGMT INC DEL,94106L109,1724733,18633672,0.09939676704758522
