Name of Issuer,CUSIP,Value,Shares,Ratio
ARCOS DORADOS HOLDINGS INC,G0457F107,21270,3060500,0.0009618219974524152
AUTONATION INC,05329W102,92240,1898717,0.004171060697931866
BERKSHIRE HATHAWAY INC DEL,084670702,9998835,53569972,0.4521438388292017
CANADIAN NATL RY CO,136375102,1400122,17126874,0.06331302955886556
CATERPILLAR INC DEL,149123101,1527760,11260857,0.06908477549731556
COCA COLA FEMSA S A B DE C V,191241108,350697,6214719,0.01585839628775598
CROWN CASTLE INTL CORP NEW,22822V101,574993,5332900,0.026000983346551793
ECOLAB INC,278865100,612741,4366426,0.027707934769205002
FEDEX CORP,31428X106,686856,3024999,0.031059389275137572
GRUPO TELEVISA SA,40049J206,319859,16879104,0.01446391266023188
LIBERTY GLOBAL PLC,G5480U104,58371,2119515,0.0026395163052794985
LIBERTY GLOBAL PLC,G5480U120,96843,3639349,0.004379206755960707
LIBERTY LATIN AMERICA LTD,G9001E102,7083,370424,0.0003202907949203318
LIBERTY LATIN AMERICA LTD,G9001E128,12327,636044,0.000557422649863466
MICROSOFT CORP,594918104,3155520,32000000,0.14269151619186862
UNITED PARCEL SERVICE INC,911312106,480726,4525329,0.02173826241407192
WALMART INC,931142103,993797,11603000,0.04493915447119031
WALGREENS BOOTS ALLIANCE INC,931427108,208576,3475398,0.009431734129790079
WASTE MGMT INC DEL,94106L109,1515663,18633672,0.06853775336740574
