Name of Issuer,CUSIP,Value,Shares,Ratio
ARCOS DORADOS HOLDINGS INC,G0457F107,11477,3060500,0.0006677042835059472
AUTONATION INC,05329W102,88632,1898717,0.0051563967984402815
BERKSHIRE HATHAWAY INC DEL,084670702,9843854,69381548,0.572691773286325
CANADIAN NATL RY CO,136375102,1069745,17126874,0.06223519375786961
CATERPILLAR INC DEL,149123101,861906,11260857,0.050143620125422755
COCA COLA FEMSA SAB DE CV,191241108,516132,6214719,0.030027319617887214
CROWN CASTLE INTL CORP NEW,22822V101,461296,5332900,0.026837092895718343
ECOLAB INC,278865100,486944,4366426,0.028329231909690684
FEDEX CORP,31428X106,492228,3024999,0.02863664233349877
GRUPO TELEVISA SA,40049J206,463500,16879104,0.026965316320031938
LIBERTY GLOBAL PLC,G5480U104,81601,2119515,0.0047473501122565825
LIBERTY GLOBAL PLC,G5480U120,136694,3639349,0.00795252847691574
LIBERTY GLOBAL PLC,G5480U138,3715,105975,0.0002161297737409248
LIBERTY GLOBAL PLC,G5480U153,6893,181967,0.00040101817776479
UNITED PARCEL SERVICE INC,911312106,477286,4525329,0.02776735267556152
WALGREENS BOOTS ALLIANCE INC,931427108,292768,3475398,0.017032538788313074
WAL-MART STORES INC,931142103,794689,11603000,0.04623309657184436
WASTE MGMT INC DEL,94106L109,1099387,18633672,0.0639596940952124
