Name of Issuer,CUSIP,Value,Shares,Ratio
ARCOS DORADOS HOLDINGS INC,G0457F107,24637,3060500,0.001306168714033242
AUTONATION INC,05329W102,80297,1898717,0.004257069823059919
BERKSHIRE HATHAWAY INC DEL,084670702,10725853,64349971,0.5686477095392941
CANADIAN NATL RY CO,136375102,1266190,17126874,0.06712902398919311
CATERPILLAR INC DEL,149123101,1044557,11260857,0.05537880721777899
COCA COLA FEMSA S A B DE C V,191241108,445595,6214719,0.02362390908510137
CROWN CASTLE INTL CORP NEW,22822V101,503692,5332900,0.02670401152367706
ECOLAB INC,278865100,547288,4366426,0.029015320987369603
FEDEX CORP,31428X106,590329,3024999,0.031297206266450044
GRUPO TELEVISA SA,40049J206,437844,16879104,0.02321297781496005
LIBERTY GLOBAL PLC,G5480U104,76027,2119515,0.004030689159467682
LIBERTY GLOBAL PLC,G5480U120,127523,3639349,0.00676082935908029
LIBERTY GLOBAL PLC,G5480U138,8238,370424,0.0004367503294315804
LIBERTY GLOBAL PLC,G5480U153,14654,636044,0.0007769045068572929
UNITED PARCEL SERVICE INC,911312106,485568,4525329,0.02574313959230804
WAL-MART STORES INC,931142103,836344,11603000,0.044340072531940486
WALGREENS BOOTS ALLIANCE INC,931427108,288632,3475398,0.015302272527858209
WASTE MGMT INC DEL,94106L109,1358767,18633672,0.0720371370321389
