Name of Issuer,CUSIP,Value,Shares,Ratio
ARCOS DORADOS HOLDINGS INC,G0457F107,31676,3060500,0.0011967390485493866
AUTONATION INC,05329W102,97461,1898717,0.0036821374040494933
BERKSHIRE HATHAWAY INC DEL,084670702,12600840,63569972,0.4760675992083297
CANADIAN NATL RY CO,136375102,1412967,17126874,0.05338277507297894
CATERPILLAR INC DEL,149123101,1774486,11260857,0.06704118851193985
COCA COLA FEMSA S A B DE C V,191241108,432669,6214719,0.016346504842682616
CROWN CASTLE INTL CORP NEW,22822V101,592005,5332900,0.0223663183620558
ECOLAB INC,278865100,585887,4366426,0.022135176503897413
FEDEX CORP,31428X106,754858,3024999,0.028519006336339588
GRUPO TELEVISA SA,40049J206,315133,16879104,0.011905921410105878
LIBERTY GLOBAL PLC,G5480U104,75963,2119515,0.002869929547447817
LIBERTY GLOBAL PLC,G5480U120,123156,3639349,0.004652910539940278
LIBERTY GLOBAL PLC,G5480U138,7464,370424,0.00028199457817819866
LIBERTY GLOBAL PLC,G5480U153,12651,636044,0.0004779626753124854
MICROSOFT CORP,594918104,4105920,48000000,0.1551242200473512
UNITED PARCEL SERVICE INC,911312106,539193,4525329,0.020371048042823883
WAL-MART STORES INC,931142103,1145796,11603000,0.04328888795528769
WALGREENS BOOTS ALLIANCE INC,931427108,252383,3475398,0.009535187248706901
WASTE MGMT INC DEL,94106L109,1608086,18633672,0.06075449266402288
