Name of Issuer,CUSIP,Value,Shares,Ratio
ARCOS DORADOS HOLDINGS INC,G0457F107,21944,3060500,0.0010506184664005808
AUTONATION INC,05329W102,67822,1898717,0.0032471311350811246
BERKSHIRE HATHAWAY INC DEL,084670702,10462145,52078974,0.5008987757546712
CANADIAN NATL RY CO,136375102,1532513,17126874,0.07337251448227093
CATERPILLAR INC DEL,149123101,1525734,11260857,0.07304795457597629
COCA COLA FEMSA S A B DE C V,191241108,410171,6214719,0.01963786123687535
CROWN CASTLE INTL CORP NEW,22822V101,682611,5332900,0.032681540374050626
ECOLAB INC,278865100,770849,4366426,0.03690613353109831
FEDEX CORP,31428X106,548765,3024999,0.026273361406959295
GRUPO TELEVISA SA,40049J206,186683,16879104,0.008937869447824445
LIBERTY GLOBAL PLC,G5480U104,52818,2119515,0.0025287808129031116
LIBERTY GLOBAL PLC,G5480U120,88109,3639349,0.004218416991254501
LIBERTY LATIN AMERICA LTD,G9001E102,7164,370424,0.00034299264916577476
LIBERTY LATIN AMERICA LTD,G9001E128,12371,636044,0.0005922895118411222
MICROSOFT CORP,594918104,943520,8000000,0.0451731468929218
UNITED PARCEL SERVICE INC,911312106,505660,4525329,0.024209612364205147
WALMART INC,931142103,1131641,11603000,0.0541798638323013
WASTE MGMT INC DEL,94106L109,1936225,18633672,0.09270113653419908
