Name of Issuer,CUSIP,Value,Shares,Ratio
ARCOS DORADOS HOLDINGS INC,G0457F107,15088,3060500,0.0008096379976935405
AUTONATION INC,05329W102,122144,1898716,0.006554375900734346
BERKSHIRE HATHAWAY INC,084670702,10625605,73625314,0.570181174210132
BP PLC,055622104,289634,7405614,0.015542066001058518
CANADIAN NATL RY CO,136375102,1145274,17126874,0.061456611092952806
CATERPILLAR INC,149123101,901206,11260857,0.048359664723581976
COCA COLA FEMSA SAB DE CV,191241108,496307,6214719,0.02663235721906734
CROWN CASTLE INTL CORP NEW,22822V101,440178,5332900,0.023620415863517184
ECOLAB INC,278865100,499432,4366425,0.026800048015912004
FEDEX CORP,31428X106,500486,3024999,0.026856606767871775
GRUPO TELEVISA SA,40049J206,557179,16879103,0.029898812958436456
LIBERTY GLOBAL PLC,G5480U104,109091,2119515,0.005853938149946052
LIBERTY GLOBAL PLC,G5480U120,181276,3639349,0.009727461404420351
REPUBLIC SVCS INC,760759100,54756,1350000,0.0029382647270484825
UNITED PARCEL SERVICE INC,911312106,438685,4525329,0.023540299908416676
WAL-MART STORES INC,931142103,954347,11603000,0.05121126684682114
WALGREENS BOOTS ALLIANCE INC,931427108,294297,3475398,0.015792287500478255
WASTE MGNT INC DEL,94106L109,1010504,18633672,0.05422471071191102
