Name of Issuer,CUSIP,Value,Shares,Ratio
ARCOS DORADOS HOLDINGS INC,G0457F107,9518,3060500,0.0005711541129576974
AUTONATION INC,05329W102,113277,1898716,0.006797502043865212
BERKSHIRE HATHAWAY INC DEL,084670702,9821340,74381548,0.5893568749480933
CANADIAN NATL RY CO,136375102,957050,17126874,0.05743045217547429
CATERPILLAR INC DEL,149123101,765288,11260857,0.04592323899949258
COCA COLA FEMSA SAB DE CV,191241108,440064,6214719,0.026407266606914913
CROWN CASTLE INTL CORP NEW,22822V101,461029,5332900,0.02766532985320175
ECOLAB INC,278865100,499432,4366425,0.02996980888240058
FEDEX CORP,31428X106,450695,3024999,0.027045209386369975
GRUPO TELEVISA SA,40049J206,459280,16879103,0.02756037623442018
LIBERTY GLOBAL PLC,G5480U104,89783,2119515,0.005387679105240696
LIBERTY GLOBAL PLC,G5480U120,148376,3639349,0.00890371534610331
LIBERTY GLOBAL PLC,G5480U138,4384,105975,0.00026307413649995226
LIBERTY GLOBAL PLC,G5480U153,7825,181967,0.0004695609302263062
UNITED PARCEL SERVICE INC,911312106,435472,4525329,0.0261317108508
WALGREENS BOOTS ALLIANCE INC,931427108,295948,3475398,0.017759184431771866
WAL-MART STORES INC,931142103,711264,11603000,0.04268137833565283
WASTE MGMT INC DEL,94106L109,994479,18633672,0.0596764836205146
