Name of Issuer,CUSIP,Value,Shares,Ratio
ARCOS DORADOS HOLDINGS INC,G0457F107,18302,3060500,0.0008430041365791986
AUTONATION INC,05329W102,95524,1898716,0.004399908597016248
BERKSHIRE HATHAWAY INC DEL,084670702,11552001,83625314,0.5320940131552311
BP PLC,055622104,325477,7405614,0.014991719886427049
CANADIAN NATL RY CO,136375102,1215323,17126874,0.055978708134621434
CATERPILLAR INC DEL,149123101,1115163,11260857,0.05136526182712648
COCA COLA CO,191216100,914191,21429710,0.04210833759280266
COCA COLA FEMSA SAB DE CV,191241108,625946,6214719,0.028831552140487545
CROWN CASTLE INTL CORP,228227104,429458,5332900,0.01978116438023328
ECOLAB INC,278865100,501397,4366425,0.023094729814686944
EXXON MOBIL CORP,30231G102,765930,8143858,0.03527932238717657
FEDEX CORP,31428X106,488386,3024999,0.022495433190217927
GRUPO TELEVISA SA,40049J206,571864,16879103,0.026340493801810014
LIBERTY GLOBAL PLC,G5480U104,90164,2119515,0.004153022892062445
LIBERTY GLOBAL PLC,G5480U120,144887,3532529,0.0066736061816495655
MCDONALDS CORP,580135101,1030822,10872500,0.0474804507746062
REPUBLIC SVCS INC,760759100,52677,1350000,0.0024263429626588595
WAL-MART STORES INC,931142103,887281,11603000,0.04086884238379018
WASTE MGMT INC DEL,94106L109,885658,18633672,0.0407940857608163
