Name of Issuer,CUSIP,Value,Shares,Ratio
ARCOS DORADOS HOLDINGS INC,G0457F107,24790,3060500,0.0011608975972182665
BERKSHIRE HATHAWAY INC DEL,084670702,11305187,49912525,0.5294136516499872
CANADIAN NATL RY CO,136375102,1549126,17126874,0.07254443933797274
CATERPILLAR INC DEL,149123101,1663003,11260857,0.07787721608982529
COCA COLA FEMSA S A B DE C V,191241108,376736,6214719,0.017642271770295315
CROWN CASTLE INTL CORP NEW,22822V101,758072,5332900,0.03549995818146211
ECOLAB INC,278865100,842677,4366426,0.03946194854905596
FEDEX CORP,31428X106,457410,3024999,0.02142017627848355
GRUPO TELEVISA SA,40049J206,197992,16879104,0.0092718207772666
LIBERTY GLOBAL PLC,G5480U104,48198,2119515,0.0022570771436355793
LIBERTY GLOBAL PLC,G5480U120,79320,3639349,0.0037144976769404154
LIBERTY LATIN AMERICA LTD,G9001E102,7149,370424,0.000334782449476135
LIBERTY LATIN AMERICA LTD,G9001E128,12377,636044,0.0005796058717535492
UNITED PARCEL SERVICE INC,911312106,529735,4525329,0.024807103213490053
WALMART INC,931142103,1378901,11603000,0.06457292689398406
WASTE MGMT INC DEL,94106L109,2123493,18633672,0.09944162651915321
