Name of Issuer,CUSIP,Value,Shares,Ratio
ABERCROMBIE & FITCH CO,002896207,5145,212500,0.001289631413566371
ADIENT PLC,G0084W101,70726,1183498,0.017727982770825105
AERCAP HOLDINGS NV,N00985106,332326,6552162,0.08329991237023475
ALTABA INC,021346101,130629,1764300,0.0327431024145309
APPLE INC,037833100,105383,628100,0.026415010156630687
BLOOMIN BRANDS INC,094235108,5293,218000,0.0013267286826057923
BRIGHTHOUSE FINL INC,10922N103,567456,11040000,0.14223694527049924
CLIPPER RLTY INC,18885T306,7179,847500,0.0017994682056351754
CNX RESOURCES CORPORATION,12653C108,164165,10639404,0.04114914305308519
CONDUENT INC,206787103,71701,3846600,0.017972373563483454
CONSOL COAL RES LP,20855T100,76564,5488438,0.019191319640096332
CONSOL ENERGY INC NEW,20854L108,33874,1169276,0.008490762780009185
DILLARDS INC,254067101,9095,113200,0.0022797274453617384
DSW INC,23334L102,28299,1260000,0.007093348760449899
ENSCO PLC,G3157S106,87800,20000000,0.022007704200413484
EXELA TECHNOLOGIES INC,30162V102,46368,8384629,0.011622474127161418
FIVE BELOW INC,33829M101,5185,70700,0.0012996577024959443
GENERAL MTRS CO,37045V100,821807,22614400,0.20599186065864697
GREEN BRICK PARTNERS INC,392709101,262894,24118668,0.06589628004628136
IAC INTERACTIVECORP,44919P508,39047,249700,0.009787412595826257
MEDICINES CO,584688105,32940,1000000,0.008256648933503646
MICRON TECHNOLOGY INC,595112103,174513,3347000,0.04374294399916581
MYLAN N V,N59465109,315033,7652000,0.07896529700875696
OFFICE DEPOT INC,676220106,4515,2100000,0.0011317173629255908
PAYPAL HLDGS INC,70450Y103,5083,67000,0.0012740906657255323
PERRIGO CO PLC,G97822103,187566,2250620,0.04701477273410883
ROKU INC,77543R102,1486,47760,0.00037247663373364965
SPROUTS FMRS MKT INC,85208M102,4859,207000,0.0012179434477199217
TAPESTRY INC,876030107,5524,105000,0.0013846305011740783
TEMPUR SEALY INTL INC,88023U101,35403,781700,0.008874017674342125
TIME WARNER INC,887317303,62895,665000,0.015765086055637884
TWITTER INC,90184L102,72670,2505000,0.01821526041280237
URBAN OUTFITTERS INC,917047102,5045,136500,0.0012645656912424377
VENATOR MATLS PLC,G9329Z100,13662,755233,0.0034244789838957746
VOYA FINL INC,929089100,197382,3908568,0.04947522403742613
