Name of Issuer,CUSIP,Value,Shares,Ratio
AECOM,00766T100,177974,6469412,0.029503706654505385
AERCAP HOLDINGS NV,N00985106,319093,8344500,0.052897761850079716
APPLE INC,037833100,1295293,11743374,0.21472768327752506
APPLIED MATLS INC,038222105,73450,5000000,0.012176201320268245
BANK NEW YORK MELLON CORP,064058100,156600,4000000,0.02596042378153856
CHICAGO BRIDGE & IRON CO N V,167250109,296714,7481471,0.04918787472487504
CNX COAL RES LP,12592V100,61745,5488438,0.010235800551667295
CONSOL ENERGY INC,20854P109,290173,29609565,0.04810353799463849
DILLARDS INC,254067101,108495,1241500,0.017985799349795824
FIFTH STR ASSET MGMT INC,31679P109,4419,591686,0.0007325613837204271
GARMIN LTD,H2906T109,22425,625000,0.0037175127924712783
GENERAL MTRS CO,37045V100,489290,16298818,0.0811122334104023
GREEN BRICK PARTNERS INC,392709101,261204,24118668,0.04330119114580458
IAC INTERACTIVECORP,44919P508,97905,1500000,0.01623023812472243
INGRAM MICRO INC,457153104,32911,1208204,0.005455833378507123
KAPSTONE PAPER & PACKAGING C,48562P103,4660,282271,0.0007725132491824373
LIBERTY GLOBAL PLC,G5480U138,1968,58416,0.00032624593871052285
LIBERTY GLOBAL PLC,G5480U153,5322,155448,0.0008822565476714444
LIBERTY GLOBAL PLC,G5480U104,50173,1168418,0.008317447907989361
LIBERTY GLOBAL PLC,G5480U120,127534,3109080,0.021141996721294624
MARKET VECTORS ETF TR,57060U100,117034,8517796,0.019401355280003727
MICHAEL KORS HLDGS LTD,G60754101,297526,7043700,0.0493224843296682
MICRON TECHNOLOGY INC,595112103,185332,12371980,0.030723481866411904
OIL STS INTL INC,678026105,6925,265028,0.0011479944743751885
ON SEMICONDUCTOR CORP,682189105,162673,17305600,0.026967177636106142
OWENS ILL INC,690768403,96762,4670000,0.016040756870684764
SANTANDER CONSUMER USA HDG I,80283M101,78070,3823180,0.01294208355443624
SCIENTIFIC GAMES CORP,80874P109,21266,2035000,0.003525379132427835
SUNEDISON INC,86732Y109,133586,18605373,0.02214526929297963
SUNEDISON SEMICONDUCTOR LTD,Y8213L102,19881,1886342,0.003295780237552797
TAKE-TWO INTERACTIVE SOFTWAR,874054109,119469,4158306,0.019805018319007855
TERRAFORM GLOBAL INC,88104M101,12654,1900000,0.0020977215998185753
TIME WARNER INC,887317303,262261,3814700,0.0434764157175612
TRI POINTE GROUP INC,87265H109,62649,4786061,0.010385661490993672
TWENTY FIRST CENTY FOX INC,90130A101,86336,3200000,0.01431238280717058
UIL HLDG CORP,902748102,263918,5250000,0.04375110551453444
VIVINT SOLAR INC,92854Q106,314,30000,5.205346786336595e-05
VODAFONE GROUP PLC NEW,92857W308,28226,889294,0.00467917574494066
VOYA FINL INC,929089100,141487,3649381,0.02345506053370719
YAHOO INC,984332106,58542,2025000,0.00970482202438589
