Name of Issuer,CUSIP,Value,Shares,Ratio
ADIENT PLC,G0084W101,134215,1705385,0.024389437246649416
AERCAP HOLDINGS NV,N00985106,513904,9768178,0.09338620391761071
ALTABA INC,021346101,154816,2216400,0.028133033690550802
APPLE INC,037833100,371105,2192900,0.06743688938954537
BEST BUY INC,086516101,7168,104700,0.001302562948880401
BRIGHTHOUSE FINL INC,10922N103,645040,11000000,0.11721612786632447
CARTER INC,146229109,6815,58000,0.0012384160849079147
CHEMOURS CO,163851108,52468,1048100,0.00953444096008048
CHILDRENS PL INC,168905107,6264,43100,0.0011382888269791897
CLIPPER RLTY INC,18885T306,8826,883377,0.0016038533184735517
CNX RESOURCES CORPORATION,12653C108,260519,17807181,0.04734129420750184
CONDUENT INC,206787103,70097,4337700,0.012737968056315494
CONSOL COAL RES LP,20855T100,85894,5488438,0.015608585648874605
CONSOL ENERGY INC NEW,20854L108,87936,2225663,0.01597965617644349
DILLARDS INC,254067101,48379,805659,0.008791391309135732
DSW INC,23334L102,51548,2407700,0.009367259331596945
ENSCO PLC,G3157S106,57327,9700000,0.01041741436529949
EXELA TECHNOLOGIES INC,30162V102,43181,8384629,0.007846815108203765
FIVE BELOW INC,33829M101,2937,44300,0.0005337091770175415
GAP INC DEL,364760108,6015,176600,0.0010930407557917985
GENERAL MTRS CO,37045V100,1060091,25862200,0.1926388475225409
GREEN BRICK PARTNERS INC,392709101,272542,24118668,0.04952610368495567
KOHLS CORP,500255104,7203,132800,0.0013089231195292312
LOWES COS INC,548661107,6330,68100,0.0011502822916312693
MEDICINES CO,584688105,27340,1000000,0.0049682018725432705
MICHAEL KORS HLDGS LTD,G60754101,3037,48250,0.000551881093157056
MICRON TECHNOLOGY INC,595112103,139976,3404100,0.02543632133544685
MYLAN N V,N59465109,430813,10182307,0.07828697707812671
NORDSTROM INC,655664100,5965,125900,0.0010839547977220412
PENNEY J C INC,708160106,20219,6397990,0.0036741797242484412
PERRIGO CO PLC,G97822103,247241,2836632,0.0449284271824971
SEAWORLD ENTMT INC,81282V100,1929,142148,0.00035053626233123516
SHUTTERFLY INC,82568P304,6915,139000,0.0012565880010474292
SIGNET JEWELERS LIMITED,G81276100,5881,104000,0.0010686903881648492
TEMPUR SEALY INTL INC,88023U101,177036,2824000,0.03217083345675093
TIME WARNER INC,887317303,60827,665000,0.011053431430182498
TWITTER INC,90184L102,66868,2785000,0.012151196884170571
UNDER ARMOUR INC,904311107,6529,452500,0.0011864444047489033
VAREX IMAGING CORP,92214X106,9315,231900,0.0016927139883957778
VENATOR MATLS PLC,G9329Z100,37604,1700000,0.0068333673451030415
VOYA FINL INC,929089100,282101,5702444,0.051263157148731864
WAYFAIR INC,94419L101,7024,87500,0.0012763953896395002
WEIGHT WATCHERS INTL INC NEW,948626106,5757,130000,0.001046157212151851
