Name of Issuer,CUSIP,Value,Shares,Ratio
ADIENT PLC,G0084W101,25691,1982292,0.018249689220387142
AERCAP HOLDINGS NV,N00985106,193750,4163078,0.13763097140827563
ALTICE USA INC,02156K103,88337,4112540,0.06275048836796306
BRIGHTHOUSE FINL INC,10922N103,119493,3292719,0.0848822589238146
CNX RESOURCES CORPORATION,12653C108,62359,5790100,0.044296927721541465
CONSOL COAL RES LP,20855T100,96981,5488438,0.0688907831646244
CONSOL ENERGY INC NEW,20854L108,11635,340000,0.008264961818504706
ECHOSTAR CORP,278768106,21870,600000,0.015535428875865743
ENSCO PLC,G3157S106,59422,15120000,0.042210619783342215
EXELA TECHNOLOGIES INC,30162V102,26796,8022928,0.019034629728289825
GENERAL MTRS CO,37045V100,338306,9118741,0.24031681761676435
GREEN BRICK PARTNERS INC,392709101,211038,24118668,0.1499115610015983
HILTON GRAND VACATIONS INC,43283X105,34552,1120000,0.02454413070502575
MEDICINES CO,584688105,26519,948800,0.018837861836263542
SEADRILL LTD,G7998G106,8699,1046800,0.0061793642337062684
TEEKAY LNG PARTNERS L P,Y8564M105,7480,500000,0.0053134434381104595
TEMPUR SEALY INTL INC,88023U101,38029,659425,0.027014029479666135
VOYA FINL INC,929089100,36793,736446,0.026136032676256436
