Name of Issuer,CUSIP,Value,Shares,Ratio
AECOM TECHNOLOGY CORP DELAWA,00766T100,202058,6653204,0.026854876834628488
AERCAP HOLDINGS NV,N00985106,145290,3742639,0.01931002511805112
AETNA INC NEW,00817Y108,119881,1349551,0.015932996910847864
AMDOCS LTD,G02602103,60750,1302245,0.008074086488551211
APPLE INC,037833100,949880,8605542,0.12624548598757243
CALIFORNIA RES CORP,13057Q107,10848,1968722,0.0014417726786469718
CHICAGO BRIDGE & IRON CO N V,167250109,123421,2940000,0.016403486888946158
CITIZENS FINL GROUP INC,174610105,251086,10100000,0.033371030124516365
CIVEO CORP,178787107,43808,10658929,0.0058223799323531104
CONNS INC,208242107,66592,3563000,0.008850527859186868
CONSOL ENERGY INC,20854P109,448187,13256028,0.05956708808303377
COVIDIEN PLC,G2554F113,87076,851341,0.01157299020703021
E M C CORP MASS,268648102,238818,8030200,0.03174052982753618
FCB FINL HLDGS INC,30255G103,33190,1346993,0.0044111758116051804
FIFTH STR ASSET MGMT INC,31679P109,8356,599000,0.0011105689991495295
GREEN BRICK PARTNERS INC,392709101,128263,15641805,0.01704702148610772
GREEN DOT CORP,39304D102,25612,1250000,0.003404008282218496
HALYARD HEALTH INC,40650V100,106999,2353181,0.014220891854954586
IAC INTERACTIVECORP,44919P508,182062,2994930,0.024197272992240504
KAPSTONE PAPER & PACKAGING C,48562P103,25646,875000,0.003408527112516615
KENNAMETAL INC,489170100,79275,2215000,0.010536184467158803
KEYSIGHT TECHNOLOGIES INC,49338L103,150778,4464846,0.020039417490876947
LAM RESEARCH CORP,512807108,196763,2480000,0.02615113546908316
LIBERTY GLOBAL PLC,G5480U104,58666,1168418,0.007797108772631199
LIBERTY GLOBAL PLC,G5480U120,150199,3109080,0.019962464469035445
LIFE TIME FITNESS INC,53217R207,103936,1835685,0.013813798407803436
MARKET VECTORS ETF TR,57060U100,156556,8517796,0.020807352828010262
MARVELL TECHNOLOGY GROUP LTD,G5876H105,358627,24732881,0.04766395745069391
MICRON TECHNOLOGY INC,595112103,1094272,31255970,0.1454361608230438
NOKIA CORP,654902204,61557,7831800,0.008181342254744805
NORTHSTAR ASSET MGMT GROUP I,66705Y104,102459,4539574,0.013617495103382199
OIL STS INTL INC,678026105,12960,265028,0.0017224717842242584
ON SEMICONDUCTOR CORP,682189105,179808,17750000,0.023897701124829897
SPIRIT AEROSYSTEMS HLDGS INC,848574109,94865,2204126,0.012608201065619929
SUNEDISON INC,86732Y109,486850,24953888,0.06470566266586267
TAKE-TWO INTERACTIVE SOFTWAR,874054109,131871,4704600,0.01752654912480225
TIME INC NEW,887228104,96376,3916091,0.012809023200339284
TIME WARNER INC,887317303,324229,3795700,0.04309223025673203
TRI POINTE HOMES INC,87265H109,67231,4408647,0.008935455287436814
VODAFONE GROUP PLC NEW,92857W308,21845,639294,0.0029033484665415836
VOYA FINL INC,929089100,234843,5541368,0.03121222540297666
YAHOO INC,984332106,102282,2025000,0.013593970604477283
