Name of Issuer,CUSIP,Value,Shares,Ratio
ADIENT PLC,G0084W101,53214,2192587,0.03925969208431826
AERCAP HOLDINGS NV,N00985106,181154,3483069,0.13364998421172228
ALTICE USA INC,02156K103,77621,3187740,0.057266444155238606
BRIGHTHOUSE FINL INC,10922N103,120809,3292719,0.08912925435062961
CARS COM INC,14575E105,4120,208900,0.0030396123461380693
CHEMOURS CO,163851108,89324,3721823,0.06590056631224196
CNX RESOURCES CORPORATION,12653C108,42999,5882261,0.031723371667861856
CONSOL COAL RES LP,20855T100,91492,5488438,0.06750005164389908
CONSOL ENERGY INC NEW,20854L108,18012,676882,0.013288713004524005
DILLARDS INC,254067101,24912,400000,0.018379325914318345
ECHOSTAR CORP,278768106,26242,592100,0.019360559996930878
ENSCO ROWAN PLC,G3166L100,11620,1362200,0.008572887248088438
EXELA TECHNOLOGIES INC,30162V102,17571,8022928,0.012963356440289325
GENERAL MTRS CO,37045V100,225812,5860702,0.16659731628789556
GREEN BRICK PARTNERS INC,392709101,200426,24118668,0.14786828739977395
HILTON GRAND VACATIONS INC,43283X105,27623,868100,0.020379420348876673
KAR AUCTION SVCS INC,48238T109,22125,885000,0.016323160960753588
MEDICINES CO,584688105,26681,731600,0.019684441021191705
SCIENTIFIC GAMES CORP,80874P109,29627,1494778,0.02185791140267781
TEEKAY LNG PARTNERS L P,Y8564M105,11975,849274,0.008834795593447423
TEMPUR SEALY INTL INC,88023U101,34633,472025,0.02555118795723295
VOYA FINL INC,929089100,17444,315446,0.012869659651949632
