Name of Issuer,CUSIP,Value,Shares,Ratio
AERCAP HOLDINGS NV,N00985106,572809,12460508,0.07961301012923429
ALCOA CORP,013872106,43860,1275000,0.006095970252332306
AMAYA INC,02314M108,67244,3962684,0.009346042490830679
ALERE INC,01449J105,41585,1046697,0.005779774804907409
AMERCO,023586100,83862,220000,0.011655728620635929
APPLE INC,037833100,570474,3971000,0.07928847546121796
CALPINE CORP,131347304,121119,10961000,0.01683396764688182
CHEMOURS CO,163851108,192500,5000000,0.026754999397491312
CIGNA CORPORATION,125509109,63723,435000,0.008856669229123839
CLIPPER RLTY INC,18885T306,11937,1000000,0.0016590879366641755
CNX COAL RES LP,12592V100,93028,5488438,0.012929683552986087
CONDUENT INC,206787103,100009,5960000,0.013899951868798487
CONSOL ENERGY INC,20854P109,380287,22663081,0.05285495301752612
DILLARDS INC,254067101,98821,1891672,0.013734835301088254
DSW INC,23334L102,42211,2041106,0.005866780673077952
F M C CORP,302491303,23172,332987,0.0032206069924086687
FREDS INC,356108100,28567,2180721,0.003970441910587711
GENERAL MTRS CO,37045V100,2572617,72755000,0.3575603443375372
GREEN BRICK PARTNERS INC,392709101,239982,24118668,0.03335438059952603
IAC INTERACTIVECORP,44919P508,51713,701482,0.007187435240740094
LIBERTY GLOBAL PLC,G5480U104,44588,1243018,0.006197152795508273
LIBERTY GLOBAL PLC,G5480U120,115449,3294780,0.016045911300992075
MICRON TECHNOLOGY INC,595112103,46240,1600000,0.0064267593357921985
MONSANTO CO NEW,61166W101,46412,410000,0.00645066510148762
MYLAN N V,N59465109,338912,8692307,0.0471043654846887
PERRIGO CO PLC,G97822103,112864,1700000,0.015686629880511477
PVH CORP,693656100,63610,614770,0.008840963697009986
QUORUM HEALTH CORP,74909E106,11805,2170000,0.0016407416513630386
RITE AID CORP,767754104,71311,16778989,0.009911302659919496
SYNGENTA AG,87160A100,89828,1015000,0.012484925121443375
TIME WARNER INC,887317303,201323,2060409,0.027981281785460485
TRI POINTE GROUP INC,87265H109,26002,2073482,0.003613940230304255
VANECK VECTORS ETF TR,92189F106,181223,7944896,0.02518764288733282
VAREX IMAGING CORP,92214X106,22344,665000,0.0031055257482469917
VOYA FINL INC,929089100,224755,5920853,0.031238025400432
YAHOO INC,984332106,198731,4282100,0.02762102745591089
