Name of Issuer,CUSIP,Value,Shares,Ratio
AECOM,00766T100,215467,6513504,0.02702157341562861
AERCAP HOLDINGS NV,N00985106,255591,5581800,0.03205349761621934
APPLE INC,037833100,925959,7382571,0.11612390342076538
APPLIED MATLS INC,038222105,153760,8000000,0.019282939514575576
BANK NEW YORK MELLON CORP,064058100,167880,4000000,0.021053719339925517
CHICAGO BRIDGE & IRON CO N V,167250109,336442,6723457,0.04219296784705278
CITIZENS FINL GROUP INC,174610105,342980,12558800,0.04301289408629767
CONSOL ENERGY INC,20854P109,496552,22840486,0.06227225664569154
DILLARDS INC,254067101,39446,375000,0.004946896670733274
FIFTH STR ASSET MGMT INC,31679P109,6157,599000,0.0007721452822011044
GENERAL MTRS CO,37045V100,488142,14645763,0.06121756412931809
GREEN BRICK PARTNERS INC,392709101,264099,24118668,0.03312048024752793
HALYARD HEALTH INC,40650V100,5165,127532,0.0006477392208167459
HERTZ GLOBAL HOLDINGS INC,42805T105,97849,5400000,0.01227117812540131
IAC INTERACTIVECORP,44919P508,127328,1598390,0.01596811994349557
INGRAM MICRO INC,457153104,30241,1208204,0.0037925037321818417
KAPSTONE PAPER & PACKAGING C,48562P103,21734,939998,0.002725646510209323
LAM RESEARCH CORP,512807108,133146,1636700,0.016697751460767945
LIBERTY GLOBAL PLC,G5480U104,63176,1168418,0.007922860215744188
LIBERTY GLOBAL PLC,G5480U120,157412,3109080,0.01974093440991396
MACYS INC,55616P104,68766,1019200,0.008623898404391935
MARKET VECTORS ETF TR,57060U100,151275,8517796,0.018971297314434313
MICHAEL KORS HLDGS LTD,G60754101,152366,3620000,0.019108118900089892
MICRON TECHNOLOGY INC,595112103,714970,37949546,0.0896639130120714
NORTHSTAR ASSET MGMT GROUP I,66705Y104,56477,3054474,0.00708274307339155
OIL STS INTL INC,678026105,9867,265028,0.0012374139190317196
ON SEMICONDUCTOR CORP,682189105,202303,17305600,0.025370684915564403
OWENS ILL INC,690768403,99317,4329433,0.012455279030756388
SANTANDER CONSUMER USA HDG I,80283M101,55544,2172251,0.006965736162835495
SCIENTIFIC GAMES CORP,80874P109,31625,2035000,0.0039660702533067934
SPIRIT AEROSYSTEMS HLDGS INC,848574109,117752,2136685,0.014767200141261077
SUNEDISON INC,86732Y109,743102,24844588,0.09319192845447541
SUNEDISON SEMICONDUCTOR LTD,Y8213L102,63898,3700000,0.008013405756388854
TAKE-TWO INTERACTIVE SOFTWAR,874054109,114645,4158306,0.014377553334082445
TIME WARNER INC,887317303,330270,3778400,0.04141894142481058
TRI POINTE HOMES INC,87265H109,73227,4786061,0.00918334945261333
TWENTY FIRST CENTY FOX INC,90130A101,55326,1700000,0.006938396927571594
UIL HLDG CORP,902748102,228693,4991123,0.028680237294529343
VODAFONE GROUP PLC NEW,92857W308,23302,639294,0.002922288349171696
VOYA FINL INC,929089100,273075,5876368,0.03424615444811866
YAHOO INC,984332106,79562,2025000,0.009977817596635418
