Name of Issuer,CUSIP,Value,Shares,Ratio
ADIENT PLC,G0084W101,29853,1982292,0.021603631650590403
AERCAP HOLDINGS NV,N00985106,152304,3846078,0.11021738233716949
ALTICE USA INC,02156K103,67940,4112540,0.04916593757214056
BRIGHTHOUSE FINL INC,10922N103,100362,3292719,0.07262866980593422
CHEMOURS CO,163851108,5645,200000,0.004085100347287805
CNX RESOURCES CORPORATION,12653C108,39857,3490100,0.028843196553029235
CONSOL COAL RES LP,20855T100,90066,5488438,0.06517779413265251
CONSOL ENERGY INC NEW,20854L108,4439,140000,0.0032123579170257864
DILLARDS INC,254067101,15077,250000,0.010910727712322096
ECHOSTAR CORP,278768106,22033,600000,0.01594455552733254
ENSCO PLC,G3157S106,71200,20000000,0.05152509206853706
EXELA TECHNOLOGIES INC,30162V102,32616,8384629,0.023603123636339953
GENERAL MTRS CO,37045V100,399534,11944243,0.2891295805408832
GREEN BRICK PARTNERS INC,392709101,174620,24118668,0.126366735632134
HILTON GRAND VACATIONS INC,43283X105,29557,1120000,0.021389426211653788
MEDICINES CO,584688105,18160,948800,0.013141793145570688
SEADRILL LTD,G7998G106,10206,1046800,0.007385745641172601
SHUTTERFLY INC,82568P304,20984,521200,0.015185428819749741
TEMPUR SEALY INTL INC,88023U101,55113,1331252,0.039883460662546104
VOYA FINL INC,929089100,42285,1053446,0.030600260085928224
