Name of Issuer,CUSIP,Value,Shares,Ratio
ADIENT PLC,G0084W101,44785,1139279,0.018910156804194056
AERCAP HOLDINGS NV,N00985106,217982,3789678,0.09204139333463947
ALTABA INC,021346101,100313,1472598,0.04235647112870645
ALTICE USA INC,02156K103,52661,2903019,0.02223574338429526
BRIGHTHOUSE FINL INC,10922N103,512300,11580000,0.21631513521912726
CNX RESOURCES CORPORATION,12653C108,50085,3500000,0.021148045183388618
CONSOL COAL RES LP,20855T100,98518,5488438,0.0415985447814132
ENSCO PLC,G3157S106,168800,20000000,0.07127463366189475
EXELA TECHNOLOGIES INC,30162V102,59782,8384629,0.02524253643113384
GENERAL MTRS CO,37045V100,501045,14881043,0.21156278923651695
GREEN BRICK PARTNERS INC,392709101,243598,24118668,0.10285757233868625
IAC INTERACTIVECORP,44919P508,94306,435150,0.03982005688458914
MEDICINES CO,584688105,28378,948800,0.011982414419770436
MICHAEL KORS HLDGS LTD,G60754101,3373,49200,0.001424225943966653
PERRIGO CO PLC,G97822103,15576,220001,0.0065768583762895304
SEADRILL LTD,G7998G106,25940,1046800,0.010952985765340937
SHERWIN WILLIAMS CO,824348106,3688,8100,0.0015572325174470845
TEMPUR SEALY INTL INC,88023U101,41352,781700,0.017460596274802558
TRACTOR SUPPLY CO,892356106,4045,44500,0.001707973300724907
VOYA FINL INC,929089100,101777,2049053,0.042974635013072644
