Name of Issuer,CUSIP,Value,Shares,Ratio
ADIENT PLC,G0084W101,57735,2514587,0.04153779410463337
AERCAP HOLDINGS NV,N00985106,190698,3483069,0.13719882671110026
ALTICE USA INC,02156K103,91425,3187740,0.06577626787938176
BRIGHTHOUSE FINL INC,10922N103,144639,3574000,0.10406140125573857
CHEMOURS CO,163851108,96861,6483341,0.0696872308784774
CNX RESOURCES CORPORATION,12653C108,42705,5882261,0.030724369918392103
CONSOL COAL RES LP,20855T100,74095,5488438,0.05330809481567177
CONSOL ENERGY INC NEW,20854L108,10580,676882,0.007611844836356128
DILLARDS INC,254067101,19646,297170,0.014134433237717627
ECHOSTAR CORP,278768106,23460,592100,0.01687843855018098
EXELA TECHNOLOGIES INC,30162V102,9467,8022928,0.006811090270868002
GENERAL MTRS CO,37045V100,230677,6154702,0.1659619594816751
GREEN BRICK PARTNERS INC,392709101,258070,24118668,0.1856700186123276
MEDICINES CO,584688105,36580,731600,0.02631770171208952
NEUBASE THERAPEUTICS INC,64132K102,7677,1538462,0.005523263970577126
SCIENTIFIC GAMES CORP,80874P109,30419,1494778,0.021885133088574392
TEEKAY LNG PARTNERS L P,Y8564M105,11592,849274,0.008339934342442366
TEMPUR SEALY INTL INC,88023U101,36440,472025,0.026216977867374036
VOYA FINL INC,929089100,17173,315446,0.012355218466421907
