Name of Issuer,CUSIP,Value,Shares,Ratio
AECOM,00766T100,202103,6557504,0.0264069460343327
AERCAP HOLDINGS NV,N00985106,243646,5581800,0.03183498895850643
APPLE INC,037833100,925407,7437171,0.12091444812196614
BANK NEW YORK MELLON CORP,064058100,13315,330901,0.0017397489717972516
CHICAGO BRIDGE & IRON CO N V,167250109,332586,6751657,0.04345596331461966
CITIZENS FINL GROUP INC,174610105,304333,12612200,0.03976440284145497
CIVEO CORP,178787107,27074,10658929,0.0035375113527929994
CONNS INC,208242107,107888,3563000,0.014096735791908514
CONSOL ENERGY INC,20854P109,574061,20583070,0.07500728760787848
E M C CORP MASS,268648102,107817,4218200,0.014087458872870016
FCB FINL HLDGS INC,30255G103,15054,550000,0.001966968157824696
FIFTH STR ASSET MGMT INC,31679P109,6750,599000,0.0008819606128149792
GENERAL MTRS CO,37045V100,355049,9467986,0.04639099757323638
GREEN BRICK PARTNERS INC,392709101,129436,15641805,0.016912215389676983
HALYARD HEALTH INC,40650V100,35179,715021,0.004596517392328615
IAC INTERACTIVECORP,44919P508,171690,2544689,0.022433158165067225
INGRAM MICRO INC,457153104,27918,1111352,0.003647789094602754
KAPSTONE PAPER & PACKAGING C,48562P103,46305,1409998,0.006050249803910757
KEYSIGHT TECHNOLOGIES INC,49338L103,164443,4426446,0.02148625911898276
LAM RESEARCH CORP,512807108,116238,1655000,0.015187753735168525
LIBERTY GLOBAL PLC,G5480U104,60139,1168418,0.007857811747271116
LIBERTY GLOBAL PLC,G5480U120,154863,3109080,0.020234528352943128
LIFE TIME FITNESS INC,53217R207,128515,1811085,0.016791876763839562
MACYS INC,55616P104,109049,1680000,0.01424843301731269
MARKET VECTORS ETF TR,57060U100,155364,8517796,0.02029998942953873
MARVELL TECHNOLOGY GROUP LTD,G5876H105,133018,9048864,0.0173802424882108
MICRON TECHNOLOGY INC,595112103,910199,33549546,0.1189273581960861
NOKIA CORP,654902204,48891,6450000,0.00638813871424254
NORTHSTAR ASSET MGMT GROUP I,66705Y104,74109,3175149,0.009683143563719302
OIL STS INTL INC,678026105,10541,265028,0.0013772958251381771
ON SEMICONDUCTOR CORP,682189105,212294,17530500,0.02773851056843603
SANTANDER CONSUMER USA HDG I,80283M101,50266,2172251,0.0065677973575937396
SCIENTIFIC GAMES CORP,80874P109,21307,2035000,0.002783990337370187
SPIRIT AEROSYSTEMS HLDGS INC,848574109,115077,2204126,0.01503605650976435
SUNEDISON INC,86732Y109,598894,24953888,0.0782519880372169
SUNEDISON SEMICONDUCTOR LTD,Y8213L102,69714,2700000,0.009108889209153105
TAKE-TWO INTERACTIVE SOFTWAR,874054109,119755,4704600,0.015647287879653013
TIME INC NEW,887228104,16606,740000,0.0021697537683563767
TIME WARNER INC,887317303,319047,3778400,0.0416869463165601
TRI POINTE HOMES INC,87265H109,73850,4786061,0.009649302408353513
VODAFONE GROUP PLC NEW,92857W308,20892,639294,0.0027297660922860068
VOYA FINL INC,929089100,254740,5909068,0.033284540223479674
YAHOO INC,984332106,89981,2025000,0.01175699228173402
