Name of Issuer,CUSIP,Value,Shares,Ratio
AETNA INC NEW,00817Y108,294522,4293940,0.04038087633255507
AMDOCS LTD,G02602103,94944,2302245,0.01301743816257566
ANADARKO PETE CORP,032511107,145156,1830000,0.019901829014227677
APPLE INC,037833100,1345161,2397706,0.18443029718790485
ASPEN INSURANCE HOLDINGS LTD,G05384105,90263,2185003,0.012375642703789254
BABCOCK & WILCOX CO NEW,05615F102,136517,3992904,0.018717366085696217
BIOFUEL ENERGY CORP,09064Y307,2441,1427825,0.00033467693118940836
BP PLC,055622104,47637,980000,0.006531341651401002
CHICOS FAS INC,168615102,35206,1868708,0.0048269709297231915
CIGNA CORPORATION,125509109,368399,4211230,0.05050989216437806
COMPUTER SCIENCES CORP,205363104,198757,3556864,0.02725087374535569
DELPHI AUTOMOTIVE PLC,G27823106,144096,2396416,0.01975649613956124
DST SYS INC DEL,233326107,105950,1167630,0.014526432142366987
E M C CORP MASS,268648102,72738,2892185,0.009972851544799339
EINSTEIN NOAH REST GROUP INC,28257U104,97635,6733469,0.013386391715148662
FIFTH STREET FINANCE CORP,31678A103,18488,1998692,0.0025348247045595173
GENERAL MTRS CO,37045V100,696725,17047339,0.09552551613393713
IAC INTERACTIVECORP,44919P508,130858,1906155,0.01794148048405719
ING U S INC,45685E106,150054,4268968,0.020573376580375044
INTREXON CORP,46122T102,50962,2209228,0.006987220715802798
LEGG MASON INC,524901105,32274,742269,0.004424974714136405
LIBERTY GLOBAL PLC,G5480U104,110976,1246918,0.015215529338662754
LIBERTY GLOBAL PLC,G5480U120,78508,931081,0.01076395596633268
MARKET VECTORS ETF TR,57060U100,185879,8796896,0.025485216424644012
MARVELL TECHNOLOGY GROUP LTD,G5876H105,636876,44289000,0.08731983008119035
MCDERMOTT INTL INC,580037109,71842,7843005,0.009850004133760538
MICRON TECHNOLOGY INC,595112103,1037480,47700200,0.14224523661220295
NCR CORP NEW,62886E108,124418,3652909,0.01705851471721582
OIL STS INTL INC,678026105,279730,2750000,0.0383527971985306
PENN NATL GAMING INC,707569109,14330,1000000,0.001964735937707588
RITE AID CORP,767754104,61327,12120000,0.00840832943836659
SPIRIT AEROSYSTEMS HLDGS INC,848574109,91415,2682364,0.012533589375124853
SUNEDISON INC,86732Y109,17038,1305581,0.0023360203005346743
TAKE-TWO INTERACTIVE SOFTWAR,874054109,72316,4163272,0.009914992607903832
TEMPUR SEALY INTL INC,88023U101,97129,1800000,0.013317015833468268
URS CORP NEW,903236107,68327,1289435,0.009368074837107212
VODAFONE GROUP PLC NEW,92857W209,54008,1373896,0.007404847070740503
WPX ENERGY INC,98212B103,33219,1630000,0.004554540342966389
