Name of Issuer,CUSIP,Value,Shares,Ratio
ADIENT PLC,G0084W101,16819,1854406,0.02396032777169949
AERCAP HOLDINGS NV,N00985106,74548,3271091,0.10620099380014587
ALTICE USA INC,02156K103,36229,1625380,0.05161179111962071
ALTRIA GROUP INC,02209S103,11810,305400,0.016824512217359592
AMERICAN EXPRESS CO,025816109,10889,127200,0.015512456692195477
BERKSHIRE HATHAWAY INC DEL,084670702,10512,57500,0.014975382932166301
BRIGHTHOUSE FINL INC,10922N103,87986,3640332,0.1253447529175784
CENTENE CORP DEL,15135B101,12162,204700,0.01732597100656455
CHANGE HEALTHCARE INC,15912K100,52887,5294005,0.07534275847921225
CHEMOURS CO,163851108,43318,4883549,0.06171077224653537
CNX RESOURCES CORPORATION,12653C108,39309,7388923,0.05599955552516411
CONSOL COAL RES LP,20855T100,31284,5488438,0.04456714989059081
CROWN HLDGS INC,228368106,12391,213500,0.01765220413931437
DANAHER CORPORATION,235851102,10630,76800,0.0151434855944566
DISNEY WALT CO,254687106,10501,108700,0.014959712345003647
EXELA TECHNOLOGIES INC,30162V102,1541,7518723,0.0021953068016046682
GOLDMAN SACHS GROUP INC,38141G104,10683,69100,0.015218989332603938
GREEN BRICK PARTNERS INC,392709101,194155,24118668,0.27659298641502555
GULFPORT ENERGY CORP,402635304,312,700000,0.00044447483588621445
NEUBASE THERAPEUTICS INC,64132K102,10954,1538462,0.015605055616338438
PAYCHEX INC,704326107,11640,185000,0.016582330415754923
TEEKAY LNG PARTNERS L P,Y8564M105,5680,580201,0.008091721371261852
TESLA INC,88160R101,5712,10900,0.00813730853391685
