Name of Issuer,CUSIP,Value,Shares,Ratio
AECOM TECHNOLOGY CORP DELAWA,00766T100,102601,3040000,0.014803700658238836
AERCAP HOLDINGS NV,N00985106,91003,2225000,0.013130292794433862
AETNA INC NEW,00817Y108,243744,3009188,0.03516840199648899
AMDOCS LTD,G02602103,105627,2302245,0.015240304572351083
AMERICAN CAPITAL AGENCY CORP,02503X105,120877,5688308,0.017440638243934617
ANADARKO PETE CORP,032511107,113106,1115000,0.016319405918565722
APPLE INC,037833100,924083,9172042,0.13333055345822475
BABCOCK & WILCOX CO NEW,05615F102,36762,1327642,0.005304174848180584
BIOFUEL ENERGY CORP,09064Y307,9109,1427829,0.0013142845517675028
BIOFUEL ENERGY CORP,09064Y117,6361,2208787,0.0009177916383569092
BP PLC,055622104,90675,2063139,0.013082967584972918
CHEMTURA CORP,163893209,92153,3950000,0.01329621959589754
CIGNA CORPORATION,125509109,188074,2073800,0.027136101963895192
CITIZENS FINL GROUP INC,174610105,187360,8000000,0.02703308306281253
CIVEO CORP,178787107,71452,6154400,0.01030939288537618
COLONY FINL INC,19624R106,19595,875569,0.0028272484127658598
CONNS INC,208242107,107852,3563000,0.0155613368621395
CONSOL ENERGY INC,20854P109,184568,4875000,0.026630241645693758
E M C CORP MASS,268648102,169128,5780200,0.024402493980824922
EINSTEIN NOAH REST GROUP INC,28257U104,135746,6733469,0.01958599964477236
FCB FINL HLDGS INC,30255G103,29716,1346993,0.004287548549821398
FIFTH STREET FINANCE CORP,31678A103,18348,1998692,0.0026473260463091603
IAC INTERACTIVECORP,44919P508,197366,2994930,0.028476790519721698
INTERPUBLIC GROUP COS INC,460690100,44488,2428400,0.0064189143856661175
INTREXON CORP,46122T102,3666,197278,0.0005289457862311631
KENNAMETAL INC,489170100,24126,584016,0.003481000010532745
LAM RESEARCH CORP,512807108,197208,2640000,0.02845399362004234
LIBERTY GLOBAL PLC,G5480U104,53044,1246918,0.00765340978855587
LIBERTY GLOBAL PLC,G5480U120,127503,3109080,0.018396665188715765
MARKET VECTORS ETF TR,57060U100,134980,6319308,0.019475477966580033
MARVELL TECHNOLOGY GROUP LTD,G5876H105,355651,26383588,0.05131481118900693
MCDERMOTT INTL INC,580037109,16090,2813064,0.0023215323787396116
MICRON TECHNOLOGY INC,595112103,1044059,30474593,0.15064119166031695
NATIONAL OILWELL VARCO INC,637071101,169106,2222162,0.024399319728970834
NOKIA CORP,654902204,66257,7831800,0.009559836595285918
NORTHSTAR ASSET MGMT GROUP I,66705Y104,83619,4539574,0.012064898444861874
OIL STS INTL INC,678026105,167173,2700688,0.024120418418336672
ON SEMICONDUCTOR CORP,682189105,134100,15000000,0.019348507892416524
SPIRIT AEROSYSTEMS HLDGS INC,848574109,87391,2296126,0.012609138353662733
SUNEDISON INC,86732Y109,401660,21274288,0.057953181805130656
SYNCHRONY FINL,87165B103,51923,2115000,0.007491667228172582
TAKE-TWO INTERACTIVE SOFTWAR,874054109,108535,4704600,0.015659882953791407
TALMER BANCORP INC,87482X101,18488,1336828,0.0026675258308351732
TIME INC NEW,887228104,103469,4416091,0.014928939322300114
URS CORP NEW,903236107,110259,1913879,0.015908628871811735
VODAFONE GROUP PLC NEW,92857W308,24648,749394,0.003556316349979735
VOYA FINL INC,929089100,158018,4041368,0.022799496794510623
