Name of Issuer,CUSIP,Value,Shares,Ratio
AERCAP HOLDINGS NV,N00985106,525174,12621325,0.09025338879413991
ALCOA CORP,013872106,35802,1275000,0.0061527261928575995
AMAYA INC,02314M108,56084,3962684,0.009638274280772739
AMERCO,023586100,81311,220000,0.01397364168111961
APPLE INC,037833100,672827,5807740,0.1156281857483325
AVANGRID INC,05351W103,59569,1572591,0.01023718637456942
CALPINE CORP,131347304,125285,10961000,0.02153076088129614
CHEMOURS CO,163851108,197598,8945144,0.033958057936882745
CIGNA CORPORATION,125509109,58024,435000,0.009971671543890547
CNX COAL RES LP,12592V100,100164,5488438,0.01721361003243921
CONSOL ENERGY INC,20854P109,280800,15403173,0.04825667602241254
DILLARDS INC,254067101,110753,1766672,0.019033374784580687
DSW INC,23334L102,48498,2141206,0.00833458786942651
F M C CORP,302491303,40700,719600,0.006994468355100394
FREDS INC,356108100,27840,1500000,0.004784422579999876
GENERAL MTRS CO,37045V100,1329772,38167964,0.2285269821498418
GREEN BRICK PARTNERS INC,392709101,242393,24118668,0.04165626948397665
IAC INTERACTIVECORP,44919P508,60740,937496,0.010438427712255477
LIBERTY GLOBAL PLC,G5480U104,38023,1243018,0.006534414502849687
LIBERTY GLOBAL PLC,G5480U120,97855,3294780,0.016816798547625283
MONSANTO CO NEW,61166W101,43135,410000,0.0074129334765910436
MYLAN N V,N59465109,330772,8670307,0.05684457707010485
PVH CORP,693656100,55478,614770,0.009534130599613258
QUORUM HEALTH CORP,74909E106,18188,2501800,0.0031256852688591147
RITE AID CORP,767754104,168615,20462962,0.028977205938458303
SYNGENTA AG,87160A100,73121,925000,0.012566155297132578
TIME WARNER INC,887317303,319554,3310409,0.0549167159888391
TRI POINTE GROUP INC,87265H109,23804,2073482,0.0040908187893073655
VANECK VECTORS ETF TR,92189F106,166207,7944896,0.028563380881969806
VOYA FINL INC,929089100,232215,5920853,0.039907136832423536
YAHOO INC,984332106,165589,4282100,0.02845717494969826
YELP INC,985817105,32994,865300,0.005670159432633474
