Name of Issuer,CUSIP,Value,Shares,Ratio
ALEXANDER & BALDWIN INC NEW,014491104,9197,500356,0.08883587048914303
ALPHABET INC,02079K305,8360,8000,0.08075110115137933
ALTABA INC,021346101,3374,58225,0.032590217139324626
BIOGEN INC,09062X103,3009,10000,0.029064600880921103
CELGENE CORP,151020104,2884,45000,0.02785719805270072
CLEVELAND CLIFFS INC,185899101,8012,1041934,0.07738969167761378
COREPOINT LODGING INC,21872L104,11086,904984,0.10708214202920949
DISNEY WALT CO,254687106,8772,80000,0.08473070087319373
FACEBOOK INC,30303M102,8521,65000,0.08230623599412719
FIVE POINT HOLDINGS LLC,33833Q106,9186,1323626,0.08872961904025964
GAMESTOP CORP NEW,36467W109,6775,536862,0.06544123328954486
MCKESSON CORP,58155Q103,4419,40000,0.042684104783247044
MOHAWK INDS INC,608190104,2200,18809,0.021250289776678772
SPORTSMANS WHSE HLDGS INC,84920Y106,5334,1217869,0.05152229348582026
TAILORED BRANDS INC,87403A107,8702,638005,0.0840545552893903
WESTERN DIGITAL CORP,958102105,3697,100000,0.0357101460474461
