Name of Issuer,CUSIP,Value,Shares,Ratio
ALPHABET INC,02079K305,8827,7500,0.08990537884111997
ALTABA INC,021346101,7783,105000,0.07927195689593709
CLEVELAND CLIFFS INC,185899101,7493,750000,0.07631822857783074
COREPOINT LODGING INC,21872L104,7345,657600,0.07481080860859025
DISNEY WALT CO,254687106,7772,70000,0.0791599189252503
FACEBOOK INC,30303M102,7501,45000,0.07639971073833023
FIVE POINT HOLDINGS LLC,33833Q106,8929,1238381,0.09094427638748842
GAMESTOP CORP NEW,36467W109,6604,650000,0.0672635234923254
GREENSKY INC,39572G100,3520,272021,0.03585215061977368
JD COM INC,47215P106,9045,300000,0.09212576771473095
PETIQ INC,71639T106,3337,106232,0.03398824619834795
SPORTSMANS WHSE HLDGS INC,84920Y106,6001,1250119,0.06112180564467667
TAILORED BRANDS INC,87403A107,6815,869200,0.06941261547549933
WESTERN DIGITAL CORP,958102105,7209,150000,0.073425611880099
