Name of Issuer,CUSIP,Value,Shares,Ratio
ALIBABA GROUP HLDG LTD,01609W102,8473,50000,0.09056123812272207
ALPHABET INC,02079K107,9728,9000,0.10397494682613483
CARDINAL HEALTH INC,14149Y108,9420,200000,0.10068297688139288
CLEVELAND CLIFFS INC,185899101,11737,1100000,0.12544756896570153
DISNEY WALT CO,254687106,8378,60000,0.0895458577826231
FEDEX CORP,31428X106,9851,60000,0.10528959716121034
GREENSKY INC,39572G100,7374,600000,0.0788148908198929
SPORTSMANS WHSE HLDGS INC,84920Y106,6037,1597011,0.06452474855976315
TAILORED BRANDS INC,87403A107,10675,1850000,0.11409668558480564
WESTERN DIGITAL CORP,958102105,11888,250000,0.12706148929575356
