Name of Issuer,CUSIP,Value,Shares,Ratio
ALPHABET INC,02079K107,113089,80000,0.35867793234251205
BED BATH & BEYOND INC,075896100,10600,1000000,0.03361941552963266
BK OF AMERICA CORP,060505104,8130,342300,0.025785457382633353
BOOKING HOLDINGS INC,09857L108,18471,11600,0.05858341738187216
COPA HOLDINGS SA,P31076105,7837,155000,0.024856165991106714
CRACKER BARREL OLD CTRY STOR,22410J106,1653,14900,0.005242725836837999
DESIGNER BRANDS INC,250565108,3893,575000,0.012347206099703769
DISCOVERY INC,25470F104,11862,562200,0.037622028963443646
FACEBOOK INC,30303M102,21163,93200,0.06712148026920906
FOOT LOCKER INC,344849104,5249,180000,0.016647953973117153
GAMESTOP CORP NEW,36467W109,11935,2750000,0.03785355890058168
GOLDMAN SACHS GROUP INC,38141G104,14545,73600,0.0461315470640101
HELMERICH & PAYNE INC,423452101,7657,392500,0.024285270255697856
JPMORGAN CHASE & CO,46625H100,8089,86000,0.025655420020679113
KIMBALL INTL INC,494274103,1924,166452,0.006102241082925777
LAS VEGAS SANDS CORP,517834107,6968,153000,0.022100008246271733
MAXAR TECHNOLOGIES INC,57778K105,5388,300000,0.01708881234657177
NATIONAL OILWELL VARCO INC,637071101,2112,172400,0.006698509962130583
PRECISION DRILLING CORP,74022D308,3054,4024093,0.0096861976441036
QORVO INC,74736K101,12490,113000,0.03961382075142565
RETAIL OPPORTUNITY INVTS COR,76131N101,5665,500000,0.01796735745050651
TRIP COM GROUP LTD,89677Q107,8424,325000,0.026717920417134482
UNITI GROUP INC,91325V108,5955,636894,0.018887133913109668
VIACOMCBS INC,92556H206,2006,86000,0.006362315806834256
WESTERN DIGITAL CORP.,958102105,11921,270000,0.03780915589893877
WYNN RESORTS LTD,983134107,5214,70000,0.016536946469009876
