Name of Issuer,CUSIP,Value,Shares,Ratio
AMERICAN EXPRESS CO,025816109,9211866,151610700,0.07102181955105401
APPLE INC,037833100,1455768,15227702,0.011223707792123635
BANK OF NEW YORK MELLON CORP,064058100,809137,20827212,0.006238299819611052
CHARTER COMMUNICATIONS INC N,16119P108,2134924,9337491,0.016459877627748212
COCA COLA CO,191216100,18132000,400000000,0.13979443818437123
COSTCO WHSL CORP NEW,22160K105,680511,4333363,0.005246616640375284
DAVITA HEALTHCARE PARTNERS I,23918K108,2981889,38565570,0.022989824480650595
DEERE & CO,244199105,1779577,21959246,0.013720216574058506
GENERAL ELECTRIC CO,369604103,333233,10585502,0.0025691661162305637
GENERAL MTRS CO,37045V100,1415000,50000000,0.010909393890959922
GOLDMAN SACHS GROUP INC,38141G104,1628365,10959519,0.012554399422793606
GRAHAM HLDGS CO,384637104,52663,107575,0.0004060221982188144
INTERNATIONAL BUSINESS MACHS,459200101,12329439,81232303,0.09505774311347209
JOHNSON & JOHNSON,478160104,39677,327100,0.0003059024886301179
KINDER MORGAN INC DEL,49456B101,496708,26533525,0.0038295287779441137
KRAFT HEINZ CO,500754106,28812169,325634818,0.22213660810876668
LEE ENTERPRISES INC,523768109,170,88863,1.310669230716033e-06
LIBERTY MEDIA CORP DELAWARE,531229409,313600,10000000,0.0024177992397208703
LIBERTY MEDIA CORP DELAWARE,531229607,617399,20000000,0.004760034543381459
LIBERTY MEDIA CORP DELAWARE,531229854,94850,4999998,0.0007312763325495043
LIBERTY MEDIA CORP DELAWARE,531229870,47850,2499998,0.00036891483935154223
M & T BK CORP,55261F104,636319,5382040,0.0049059043189411495
MASTERCARD INC,57636Q104,434555,4934756,0.003350340397375328
MEDIA GEN INC NEW,58441K100,59672,3471309,0.000460060319619336
MONDELEZ INTL INC,609207105,26305,578000,0.00020280678890579557
MOODYS CORP,615369105,2311805,24669778,0.017823598123032226
NOW INC,67011P100,33116,1825569,0.00025531836614348325
PHILLIPS 66,718546104,6250563,78782000,0.04819070940442412
PROCTER & GAMBLE CO,742718109,26705,315400,0.00020589071650748035
RESTAURANT BRANDS INTL INC,76131D103,351030,8438225,0.002706377765048524
SANOFI,80105N105,163461,3905875,0.0012602547242474911
SUNCOR ENERGY INC NEW,867224107,617696,22275381,0.00476232435962571
TORCHMARK CORP,891027104,392788,6353727,0.003028324387026407
TWENTY FIRST CENTY FOX INC,90130A101,242148,8951869,0.0018669172522319175
US BANCORP DEL,902973304,3430598,85063167,0.026449289656211537
U S G CORP,903293405,1051494,39002016,0.00810682842401485
UNITED PARCEL SERVICE INC,911312106,6399,59400,4.9335131807952324e-05
VERISIGN INC,92343E102,1119894,12952745,0.008634180043902947
VERIZON COMMUNICATIONS INC,92343V104,837652,15000928,0.0064581453085161555
VERISK ANALYTICS INC,92345Y106,126763,1563434,0.0009773197864309205
VISA INC,92826C839,759438,10239160,0.005855129524920722
WABCO HLDGS INC,92927K102,296420,3237094,0.002285344549228509
WAL MART STORES INC,931142103,2937332,40226402,0.022646298075279923
WELLS FARGO & CO NEW,949746101,22704405,479704270,0.17504685314832502
AXALTA COATING SYS LTD,G0750C108,618786,23324000,0.0047707280623403014
LIBERTY GLOBAL PLC,G5480U104,562802,19366897,0.004339101555208499
LIBERTY GLOBAL PLC,G5480U120,210491,7346968,0.0016228475120155794
LIBERTY GLOBAL PLC,G5480U138,87581,2714854,0.0006752336582078876
LIBERTY GLOBAL PLC,G5480U153,41718,1284020,0.0003216382292177145
